osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,ref,bridge
924586304,True,Boulevard Camino Real,secondary,False,43.098,"LINESTRING (-103.6601973 19.2820637, -103.6602665 19.2817758, -103.6602724 19.2816836)",,,,
228004238,False,Calle Mariano Arista,residential,True,89.57,"LINESTRING (-103.6613843 19.2737108, -103.6608086 19.2743054)",,,,
698327733,False,Calle Constitución,residential,True,110.389,"LINESTRING (-103.6613843 19.2737108, -103.6621432 19.2743981)",,,,
228004240,False,Calle José María Morelos,residential,False,98.015,"LINESTRING (-103.663991 19.2737261, -103.663399 19.2744078)",,,,
704980603,False,Calle Humberto Silva,residential,True,107.776,"LINESTRING (-103.663991 19.2737261, -103.6647497 19.2743792)",,,,
228004264,False,Calle Independencia,residential,True,85.429,"LINESTRING (-103.6626708 19.2738131, -103.6621432 19.2743981)",,,,
698327732,False,Calle Heliodoro Silva,residential,False,101.069,"LINESTRING (-103.6626708 19.2738131, -103.663399 19.2744078)",,,,
182367292,False,Boulevard Camino Real,secondary,True,126.331,"LINESTRING (-103.6662271 19.2740634, -103.665463 19.2749412)",60,,,
228004238,False,Calle Mariano Arista,residential,False,89.57,"LINESTRING (-103.6608086 19.2743054, -103.6613843 19.2737108)",,,,
228004238,False,Calle Mariano Arista,residential,True,66.709,"LINESTRING (-103.6608086 19.2743054, -103.6603929 19.2747592)",,,,
228004267,False,Calle Francisco Velasco Curiel,residential,True,110.44,"LINESTRING (-103.6608086 19.2743054, -103.661541 19.2750185)",,,,
228004242,False,Calle Benito Juárez,residential,False,96.823,"LINESTRING (-103.6647497 19.2743792, -103.6641425 19.2750347)",,,,
704980603,False,Calle Humberto Silva,residential,False,107.776,"LINESTRING (-103.6647497 19.2743792, -103.663991 19.2737261)",,,,
704980603,False,Calle Humberto Silva,residential,True,97.523,"LINESTRING (-103.6647497 19.2743792, -103.665463 19.2749412)",,,,
228004240,False,Calle José María Morelos,residential,False,90.393,"LINESTRING (-103.663399 19.2744078, -103.6628277 19.2750161)",,,,
228004240,False,Calle José María Morelos,residential,True,98.015,"LINESTRING (-103.663399 19.2744078, -103.663991 19.2737261)",,,,
698327732,False,Calle Heliodoro Silva,residential,False,104.639,"LINESTRING (-103.663399 19.2744078, -103.6641425 19.2750347)",,,,
698327732,False,Calle Heliodoro Silva,residential,True,101.069,"LINESTRING (-103.663399 19.2744078, -103.6626708 19.2738131)",,,,
228004264,False,Calle Independencia,residential,False,85.429,"LINESTRING (-103.6621432 19.2743981, -103.6626708 19.2738131)",,,,
228004264,False,Calle Independencia,residential,True,93.564,"LINESTRING (-103.6621432 19.2743981, -103.661541 19.2750185)",,,,
698327733,False,Calle Constitución,residential,False,110.389,"LINESTRING (-103.6621432 19.2743981, -103.6613843 19.2737108)",,,,
698327733,False,Calle Constitución,residential,True,99.419,"LINESTRING (-103.6621432 19.2743981, -103.6628277 19.2750161)",,,,
182367292,False,Boulevard Camino Real,secondary,False,126.331,"LINESTRING (-103.665463 19.2749412, -103.6662271 19.2740634)",60,,,
182367292,False,Boulevard Camino Real,secondary,True,100.804,"LINESTRING (-103.665463 19.2749412, -103.6648475 19.2756371)",60,,,
