osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,maxspeed
379073220,False,,Calle 5 Sur,residential,False,72.491,"LINESTRING (-97.80658 19.2240955, -97.8066256 19.223445)",,
379073220,False,,Calle 5 Sur,residential,True,105.64099999999999,"LINESTRING (-97.80658 19.2240955, -97.8065193 19.2245104, -97.8064422 19.2250366)",,
169907471,False,2,Calle 7 Poniente,residential,False,113.148,"LINESTRING (-97.8086868 19.2243477, -97.8076186 19.2242132)",,
169907471,False,2,Calle 7 Poniente,residential,True,58.575,"LINESTRING (-97.8086868 19.2243477, -97.8092386 19.2244253)",,
360947622,True,,Calle 9 Sur,residential,False,108.726,"LINESTRING (-97.8086868 19.2243477, -97.8085667 19.2253189)",,
169907470,False,,Calle 5 Poniente,residential,False,58.774,"LINESTRING (-97.8085667 19.2253189, -97.8091229 19.2253786)",,
169907470,False,,Calle 5 Poniente,residential,True,113.31,"LINESTRING (-97.8085667 19.2253189, -97.8082885 19.2252813, -97.8074978 19.2251784)",,
169908407,True,,Calle 11 Sur,residential,False,105.208,"LINESTRING (-97.8096458 19.2254453, -97.8097407 19.2245034)",,
169907470,False,,Calle 5 Poniente,residential,True,55.573,"LINESTRING (-97.8096458 19.2254453, -97.8095908 19.2254504, -97.8091229 19.2253786)",,
169907471,False,2,Calle 7 Poniente,residential,False,109.83,"LINESTRING (-97.8076186 19.2242132, -97.80658 19.2240955)",,
169907471,False,2,Calle 7 Poniente,residential,True,113.148,"LINESTRING (-97.8076186 19.2242132, -97.8086868 19.2243477)",,
169908429,True,,Calle 7 Sur,residential,False,118.779,"LINESTRING (-97.8076186 19.2242132, -97.8076945 19.2231474)",,
169907509,False,2,Calle 9 Poniente,residential,False,109.812,"LINESTRING (-97.8076945 19.2231474, -97.8066522 19.2230658)",,
169907509,False,2,Calle 9 Poniente,residential,True,119.269,"LINESTRING (-97.8076945 19.2231474, -97.8088072 19.2233633)",,
169908429,True,,Calle 7 Sur,residential,False,33.122,"LINESTRING (-97.8076945 19.2231474, -97.8077797 19.2228606)",,
169907509,False,2,Calle 9 Poniente,residential,False,74.647,"LINESTRING (-97.809847 19.2234861, -97.8091419 19.2234001)",,
169907509,False,2,Calle 9 Poniente,residential,False,34.222,"LINESTRING (-97.8066522 19.2230658, -97.8063288 19.2230275)",,
169907509,False,2,Calle 9 Poniente,residential,True,109.812,"LINESTRING (-97.8066522 19.2230658, -97.8076945 19.2231474)",,
379073220,False,,Calle 5 Sur,residential,False,52.459,"LINESTRING (-97.8066522 19.2230658, -97.8067448 19.2226022)",,
379073220,False,,Calle 5 Sur,residential,True,42.258,"LINESTRING (-97.8066522 19.2230658, -97.8066256 19.223445)",,
169907509,False,2,Calle 9 Poniente,residential,False,119.269,"LINESTRING (-97.8088072 19.2233633, -97.8076945 19.2231474)",,
169907509,False,2,Calle 9 Poniente,residential,True,35.379,"LINESTRING (-97.8088072 19.2233633, -97.8091419 19.2234001)",,
360947622,True,,Calle 9 Sur,residential,False,54.556000000000004,"LINESTRING (-97.8088072 19.2233633, -97.8087605 19.2237448, -97.8087476 19.2238507)",,
169906640,False,,Calle 7 Oriente,residential,False,114.63,"LINESTRING (-97.8029264 19.2236038, -97.8018473 19.2234472)",,
