osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,maxspeed,access
331195007,True,2,شارع فوزي قاوقجي,tertiary,False,44.852,"LINESTRING (35.8350031 34.4348743, 35.8345324 34.4349838)",,,,
452311806,False,,,residential,False,68.144,"LINESTRING (35.8350031 34.4348743, 35.8350393 34.4349717, 35.8351144 34.4350868, 35.8353263 34.4353058, 35.8354256 34.4353633)",,,,
74661095,True,,شارع رياض الصلح,tertiary,False,13.629999999999999,"LINESTRING (35.8341394 34.4369914, 35.8341334 34.4370318, 35.8341186 34.4370639, 35.8340871 34.4371037)",,,,
183868842,True,,,residential,False,125.39099999999999,"LINESTRING (35.8341394 34.4369914, 35.8342628 34.4369992, 35.835506 34.4369759)",,,,
74661096,True,,شارع حازم الجسر,tertiary,False,13.543,"LINESTRING (35.8326749 34.4380289, 35.8327688 34.4381229)",,,,
74661100,True,,شارع رياض الصلح,tertiary,False,37.313,"LINESTRING (35.8326749 34.4380289, 35.8329579 34.4377878)",,,,
74661101,False,,شارع نديم الجسر,residential,False,82.376,"LINESTRING (35.8307826 34.4396471, 35.8314009 34.4401845)",,,,
74661095,True,,شارع رياض الصلح,tertiary,False,101.57,"LINESTRING (35.8307826 34.4396471, 35.8301362 34.4401426, 35.8299686 34.4402665)",,,,
74661156,True,,شارع عبد القادر المنلا,residential,False,82.407,"LINESTRING (35.8348979 34.4410365, 35.8347454 34.4408201, 35.8344528 34.4403927)",,,,
92163378,False,,شارع عمر بن عبد العزيز,residential,True,78.137,"LINESTRING (35.8348979 34.4410365, 35.8352629 34.4415386, 35.835336 34.4416392)",,,,
74661095,True,,شارع رياض الصلح,tertiary,False,83.841,"LINESTRING (35.8326776 34.4381959, 35.8319902 34.438693)",,,,
709495470,True,,شارع عبد القادر المنلا,tertiary,False,12.926,"LINESTRING (35.8326776 34.4381959, 35.8325878 34.4381063)",,,,
331196544,False,,شارع الشيخ كاظم الميقاتي,residential,True,136.393,"LINESTRING (35.836276 34.4344378, 35.8370751 34.4334033)",,,,
331196100,True,,Place El Nour,trunk,False,35.5,"LINESTRING (35.836276 34.4344378, 35.836324 34.4344879, 35.836353 34.4345471, 35.8363608 34.4346106, 35.8363466 34.4346734, 35.8363117 34.4347304)",A2,roundabout,,
327746141,True,2,,trunk,False,26.984,"LINESTRING (35.8392749 34.4409982, 35.8391079 34.4407984)",A2,,,
327746143,True,,,tertiary,False,12.19,"LINESTRING (35.8392749 34.4409982, 35.8393781 34.4409291)",,,,
108283351,True,2,شارع عشير الدايه,tertiary,False,142.034,"LINESTRING (35.8305171 34.4337417, 35.8309624 34.4349651)",,,50,
183789727,False,,Dr. Hachem El Husseini,residential,False,80.995,"LINESTRING (35.8305171 34.4337417, 35.8313569 34.4335163)",,,40,
183789727,False,,Dr. Hachem El Husseini,residential,True,13.492,"LINESTRING (35.8305171 34.4337417, 35.8303756 34.4337749)",,,40,
108283339,False,,Rue Cheikh Mohammad Salaheddine Kabbara,residential,True,14.086,"LINESTRING (35.8308175 34.4350071, 35.8309624 34.4349651)",,,,
108283345,True,2,شارع عشير الدايه,tertiary,False,142.883,"LINESTRING (35.8308175 34.4350071, 35.8303756 34.4337749)",,,50,
331209736,True,,,tertiary,False,4.26,"LINESTRING (35.8311396 34.4358588, 35.831179 34.4358791)",,roundabout,,
114315421,False,,شارع البطريرك إلياس الحويك,residential,False,37.986,"LINESTRING (35.8336566 34.4377755, 35.8333924 34.4375124)",,,,
114315421,False,,شارع البطريرك إلياس الحويك,residential,True,59.657,"LINESTRING (35.8336566 34.4377755, 35.834004 34.4382291)",,,,
114315395,False,,شارع جبران خليل جبران,residential,True,62.729,"LINESTRING (35.8336566 34.4377755, 35.8338404 34.4378055, 35.8343218 34.4379062)",,,,
327746141,True,2,,trunk,False,11.19,"LINESTRING (35.8376169 34.4388319, 35.83757 34.438739)",A2,,,
74661102,True,,شارع عزمي بك,residential,False,111.351,"LINESTRING (35.8376169 34.4388319, 35.8370858 34.4392036, 35.8367211 34.4395066)",,,,
114315416,True,,شارع المطران,residential,False,24.866,"LINESTRING (35.8348529 34.4401359, 35.8350467 34.4399795)",,,,
74661101,False,,شارع نديم الجسر,residential,True,30.103,"LINESTRING (35.832948 34.4415484, 35.8327253 34.4413495)",,,,
114315415,True,,شارع رفيق فتال,residential,False,36.405,"LINESTRING (35.832948 34.4415484, 35.8332475 34.4413335)",,,,
74661101,False,,شارع نديم الجسر,residential,False,43.418,"LINESTRING (35.832404 34.4410627, 35.8327253 34.4413495)",,,,
74661101,False,,شارع نديم الجسر,residential,True,62.275,"LINESTRING (35.832404 34.4410627, 35.8319347 34.4406579)",,,,
114315418,False,,شارع شفيق كرامي,residential,False,117.594,"LINESTRING (35.832404 34.4410627, 35.8333267 34.4403283)",,,,
114315416,True,,شارع المطران,residential,False,46.493,"LINESTRING (35.8344528 34.4403927, 35.8348529 34.4401359)",,,,
74661156,True,,شارع عبد القادر المنلا,residential,False,137.046,"LINESTRING (35.8344528 34.4403927, 35.8343004 34.4402173, 35.8336714 34.4393429)",,,,
327746141,True,2,,trunk,False,43.192,"LINESTRING (35.8375029 34.4385344, 35.8373702 34.4381617)",A2,,,
1018241103,False,,شارع جبران خليل جبران,residential,False,150.13,"LINESTRING (35.8375029 34.4385344, 35.835907 34.4382335)",,,,
114315421,False,,شارع البطريرك إلياس الحويك,residential,False,68.227,"LINESTRING (35.83527 34.4397809, 35.8348462 34.4392766)",,,,
114315416,True,,شارع المطران,residential,False,117.088,"LINESTRING (35.83527 34.4397809, 35.8355436 34.4396216, 35.8359057 34.4394402, 35.8363643 34.4392412)",,,,
74661101,False,,شارع نديم الجسر,residential,False,62.275,"LINESTRING (35.8319347 34.4406579, 35.832404 34.4410627)",,,,
74661101,False,,شارع نديم الجسر,residential,True,71.883,"LINESTRING (35.8319347 34.4406579, 35.8314009 34.4401845)",,,,
114315407,True,,شارع سابا زريق,residential,False,116.542,"LINESTRING (35.8319347 34.4406579, 35.832848 34.4399291)",,,,
114315400,True,,شارع فؤاد المنلا,residential,False,76.839,"LINESTRING (35.8305547 34.441713, 35.829986 34.4412055)",,,,
114315407,True,,شارع سابا زريق,residential,False,172.567,"LINESTRING (35.8305547 34.441713, 35.8319347 34.4406579)",,,,
74661095,True,,شارع رياض الصلح,tertiary,False,48.852,"LINESTRING (35.8333924 34.4375124, 35.8330357 34.4378387)",,,,
114315421,False,,شارع البطريرك إلياس الحويك,residential,True,37.986,"LINESTRING (35.8333924 34.4375124, 35.8336566 34.4377755)",,,,
114315398,True,,شارع فوزي قاوقجي,tertiary,False,40.425,"LINESTRING (35.8305493 34.4360778, 35.8309615 34.435949)",,,,
452311810,True,,,tertiary_link,False,63.086,"LINESTRING (35.8305493 34.4360778, 35.8307666 34.4358677, 35.8309945 34.4356453)",,,,
74661156,True,,شارع عبد القادر المنلا,residential,False,25.577,"LINESTRING (35.8336714 34.4393429, 35.8335158 34.439152)",,,,
74661156,True,,شارع عبد القادر المنلا,residential,False,84.288,"LINESTRING (35.8332275 34.438801, 35.8329727 34.4384802, 35.8328667 34.4383674, 35.8326776 34.4381959)",,,,
114315401,False,,شارع أمين المقدم,residential,True,227.464,"LINESTRING (35.8332275 34.438801, 35.832274 34.4395, 35.8314009 34.4401845)",,,,
114315406,False,,,residential,False,31.829,"LINESTRING (35.8338632 34.4408327, 35.8336397 34.4406137)",,,,
114315415,True,,شارع رفيق فتال,residential,False,72.919,"LINESTRING (35.8338632 34.4408327, 35.8344528 34.4403927)",,,,
74661101,False,,شارع نديم الجسر,residential,False,71.883,"LINESTRING (35.8314009 34.4401845, 35.8319347 34.4406579)",,,,
74661101,False,,شارع نديم الجسر,residential,True,82.376,"LINESTRING (35.8314009 34.4401845, 35.8307826 34.4396471)",,,,
114315401,False,,شارع أمين المقدم,residential,True,172.408,"LINESTRING (35.8314009 34.4401845, 35.829986 34.4412055)",,,,
114315401,False,,شارع أمين المقدم,residential,False,227.464,"LINESTRING (35.8314009 34.4401845, 35.832274 34.4395, 35.8332275 34.438801)",,,,
74661095,True,,شارع رياض الصلح,tertiary,False,39.972,"LINESTRING (35.8330357 34.4378387, 35.8327688 34.4381229)",,,,
114315394,True,,شارع الكاردينال السمعاني,residential,False,147.415,"LINESTRING (35.8330357 34.4378387, 35.8335692 34.438471, 35.8336989 34.4386247, 35.8339316 34.4389005, 35.833952 34.4389279)",,,,
114315406,False,,,residential,True,62.43,"LINESTRING (35.832848 34.4399291, 35.8333267 34.4403283)",,,,
114315407,True,,شارع سابا زريق,residential,False,99.752,"LINESTRING (35.832848 34.4399291, 35.8336714 34.4393429)",,,,
331209736,True,,,tertiary,False,1.754,"LINESTRING (35.8312071 34.4360088, 35.831197 34.4360222)",,roundabout,,
114315400,True,,شارع فؤاد المنلا,residential,False,78.045,"LINESTRING (35.829986 34.4412055, 35.829404 34.4406934)",,,,
114315401,False,,شارع أمين المقدم,residential,False,172.408,"LINESTRING (35.829986 34.4412055, 35.8314009 34.4401845)",,,,
114315406,False,,,residential,False,62.43,"LINESTRING (35.8333267 34.4403283, 35.832848 34.4399291)",,,,
114315406,False,,,residential,True,42.79,"LINESTRING (35.8333267 34.4403283, 35.8336397 34.4406137)",,,,
114315418,False,,شارع شفيق كرامي,residential,True,117.594,"LINESTRING (35.8333267 34.4403283, 35.832404 34.4410627)",,,,
331209735,True,2,شارع فوزي قاوقجي,tertiary,False,19.865,"LINESTRING (35.8310286 34.4360532, 35.8308276 34.4361198)",,,,
331209736,True,,,tertiary,False,13.798000000000002,"LINESTRING (35.8310286 34.4360532, 35.8309901 34.4360267, 35.8309666 34.4359901, 35.8309615 34.435949)",,roundabout,,
74661100,True,,شارع رياض الصلح,tertiary,False,11.742,"LINESTRING (35.8325878 34.4381063, 35.8326749 34.4380289)",,,,
114315417,True,,شارع حازم الجسر,tertiary,False,121.968,"LINESTRING (35.8325878 34.4381063, 35.831883 34.4371761)",,,,
