osmid,oneway,lanes,highway,reversed,length,name,geometry,junction
216603738,True,2,secondary,False,56.497,,"LINESTRING (13.3970386 9.3070079, 13.3974459 9.3066971)",
608272320,False,,tertiary,True,11.003,,"LINESTRING (13.3970386 9.3070079, 13.3970959 9.3070891)",
216498132,True,2,tertiary,False,82.813,Rue Baba Kassoua,"LINESTRING (13.3970386 9.3070079, 13.397009 9.3069663, 13.3966039 9.3063991)",
218897260,False,,unclassified,True,84.824,,"LINESTRING (13.3922924 9.3042551, 13.3928289 9.3048043)",
608531912,False,,residential,False,64.124,,"LINESTRING (13.3922924 9.3042551, 13.3927324 9.3038756)",
218897260,False,,unclassified,False,86.944,,"LINESTRING (13.3922924 9.3042551, 13.3920336 9.3039798, 13.3917659 9.303671)",
218897260,False,,unclassified,False,101.983,,"LINESTRING (13.3934861 9.3054528, 13.3928289 9.3048043)",
219905297,True,2,secondary,False,32.232,Rue Dominik,"LINESTRING (13.3934861 9.3054528, 13.3933544 9.3051937)",
218897260,False,,unclassified,False,84.824,,"LINESTRING (13.3928289 9.3048043, 13.3922924 9.3042551)",
218897260,False,,unclassified,True,101.983,,"LINESTRING (13.3928289 9.3048043, 13.3934861 9.3054528)",
219905303,False,,unclassified,True,32.31,,"LINESTRING (13.3928289 9.3048043, 13.3930777 9.3046489)",
219905303,False,,unclassified,False,177.739,,"LINESTRING (13.3928289 9.3048043, 13.3922287 9.3052563, 13.3916514 9.3056725, 13.3915944 9.3057248, 13.3915399 9.3057712)",
219920502,True,2,secondary,False,29.903,Boulevard Lamido Hayatou,"LINESTRING (13.3964025 9.3030398, 13.3962502 9.3032628)",
608562817,False,,residential,True,9.952,,"LINESTRING (13.3964025 9.3030398, 13.396333 9.3029823)",
216498112,False,2,residential,True,178.72299999999998,Rue Wakili Yadji,"LINESTRING (13.3964025 9.3030398, 13.3964693 9.3030732, 13.3968709 9.3032744, 13.3971472 9.3033843, 13.3977022 9.3035793, 13.3979034 9.303658)",
219905296,True,2,secondary,False,58.117,Boulevard Lamido Hayatou,"LINESTRING (13.396016 9.3034008, 13.3962643 9.3030811, 13.3963156 9.3030094, 13.396333 9.3029823)",
220463414,False,,tertiary,False,11.658000000000001,,"LINESTRING (13.396016 9.3034008, 13.396072 9.3034319, 13.3961086 9.3034522)",
"[218897244, 220463414, 220463415]",False,,tertiary,"[False, True]",92.656,,"LINESTRING (13.396016 9.3034008, 13.3959209 9.3033464, 13.3958501 9.3033087, 13.3956424 9.3031913, 13.3954779 9.303094, 13.3952852 9.3029835)",
216498103,True,1,tertiary,False,22.274,Rue Bakari Mayha,"LINESTRING (13.3961086 9.3034522, 13.3962186 9.3034789, 13.3962524 9.3034872, 13.3963057 9.3035001)",
219920502,True,2,secondary,False,155.70600000000002,Boulevard Lamido Hayatou,"LINESTRING (13.3961086 9.3034522, 13.3960185 9.3035775, 13.3952805 9.3045893)",
220463414,False,,tertiary,True,11.658000000000001,,"LINESTRING (13.3961086 9.3034522, 13.396072 9.3034319, 13.396016 9.3034008)",
216498103,True,1,tertiary,False,74.03,Rue Bakari Mayha,"LINESTRING (13.3963057 9.3035001, 13.3964062 9.3035312, 13.3964552 9.303557, 13.3965662 9.3036546, 13.3966638 9.3037713, 13.3967089 9.3038385, 13.3967289 9.3038682, 13.3967808 9.3039455)",
216498103,True,1,tertiary,False,70.935,Rue Bakari Mayha,"LINESTRING (13.3967808 9.3039455, 13.3970379 9.3043402, 13.3971001 9.3044356, 13.3971304 9.3044821)",
216498118,False,,residential,True,171.785,,"LINESTRING (13.3967808 9.3039455, 13.3967069 9.3039858, 13.3966928 9.3039967, 13.395916 9.3044926, 13.3954961 9.3048245)",
216498103,True,1,tertiary,False,21.595,Rue Bakari Mayha,"LINESTRING (13.3971304 9.3044821, 13.3971858 9.3045617, 13.3971992 9.3045809, 13.3972418 9.3046422)",
216498107,False,,residential,False,168.624,,"LINESTRING (13.3971304 9.3044821, 13.3970865 9.3045158, 13.397077 9.3045438, 13.3959304 9.3053252, 13.3958764 9.3053453)",
608531911,False,,tertiary,True,10.654,,"LINESTRING (13.3952805 9.3045893, 13.3952105 9.3045229)",
