osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,access,maxspeed
269937903,True,,深南大道辅路,secondary,False,424.12500000000017,"LINESTRING (114.0571969 22.5428668, 114.0567295 22.5429754, 114.055439 22.5432399, 114.0552921 22.5432699, 114.0551566 22.5432927, 114.0550103 22.5433167, 114.0548815 22.5433282, 114.0547256 22.5433338, 114.0545887 22.5433362, 114.0544408 22.5433341, 114.0543211 22.5433285, 114.0541858 22.5433137, 114.0540521 22.5432896, 114.0539347 22.5432639, 114.0538073 22.5432361, 114.0536672 22.5431998, 114.0535311 22.5431647, 114.0533982 22.5431238, 114.0532845 22.5430793, 114.0531703 22.5430332)",,,
616351220,True,4,深南大道,primary,False,123.011,"LINESTRING (114.0571969 22.5428668, 114.0569623 22.5428667, 114.0568862 22.5428686, 114.0568121 22.542878, 114.0567391 22.5428894, 114.0560157 22.5430254)",,,
493095872,True,,,busway,False,89.00199999999998,"LINESTRING (114.0524821 22.5421851, 114.0524929 22.5415694, 114.0524847 22.541516, 114.0524609 22.5414745, 114.0524294 22.5414525, 114.05238 22.5414402)",,no,
493095872,True,,,busway,False,269.466,"LINESTRING (114.05238 22.5414402, 114.0518314 22.541434, 114.051787 22.5414236, 114.0517468 22.5413941, 114.0517282 22.5413656, 114.0517129 22.5413278, 114.0517078 22.5412862, 114.0517188 22.5403675, 114.0517212 22.5403436, 114.0517274 22.5403214, 114.0517407 22.5402981, 114.0517617 22.5402797, 114.0517907 22.5402673, 114.051824 22.5402611, 114.051856 22.540259, 114.0525079 22.5402655)",,no,
492863312,True,,,busway,False,111.087,"LINESTRING (114.0525079 22.5402655, 114.0525357 22.5403489, 114.0525239 22.5412606)",,no,
492863312,True,,,busway,False,27.059,"LINESTRING (114.0525239 22.5412606, 114.0525119 22.5413314, 114.052485 22.5413823, 114.0524417 22.5414189, 114.05238 22.5414402)",,no,
493095874,True,,,busway,False,148.573,"LINESTRING (114.0525239 22.5412606, 114.0526128 22.5415962, 114.0526182 22.541655, 114.0526111 22.5420601, 114.0526249 22.5421118, 114.0526538 22.5421495, 114.052703 22.5421773, 114.0527626 22.5421933, 114.0528264 22.5421911, 114.0528908 22.5421825, 114.0530979 22.5421338)",,no,
996625943,True,3,益田路,primary,False,18.037,"LINESTRING (114.0512016 22.54483, 114.0511998 22.5449922)",,,
616351220,True,4,深南大道,primary,False,38.037,"LINESTRING (114.0509518 22.5427015, 114.0505815 22.5426948)",,,
1050725174,True,4,深南大道,primary,False,121.9,"LINESTRING (114.0517209 22.5424104, 114.0518472 22.5424059, 114.0519573 22.5423983, 114.0520815 22.5423877, 114.0522075 22.5423697, 114.0523129 22.5423524, 114.0524498 22.5423255, 114.0526964 22.5422729, 114.0528892 22.542232)",,,
853286945,True,,,primary_link,False,43.777,"LINESTRING (114.0510064 22.5420637, 114.0510156 22.5416701)",,,
616351220,True,4,深南大道,primary,False,48.652,"LINESTRING (114.0518184 22.542732, 114.0516828 22.5427203, 114.0515785 22.542713, 114.0513456 22.5427087)",,,
616988612,True,1,,primary_link,False,76.765,"LINESTRING (114.0518184 22.542732, 114.0517303 22.5427431, 114.0516745 22.5427535, 114.0516299 22.5427701, 114.0515888 22.5427929, 114.0515418 22.5428249, 114.0514979 22.5428644, 114.0514597 22.5429041, 114.051426 22.5429465, 114.0513948 22.5429949, 114.0513694 22.5430472, 114.0513537 22.5430898, 114.0513417 22.5431316, 114.0513333 22.5431798)",,,
