osmid,oneway,lanes,name,highway,reversed,length,geometry,tunnel,ref
512326914,True,3,徽州大道,primary,False,21.717,"LINESTRING (117.2815358 31.8634526, 117.2815591 31.8636469)",,
512326913,True,4,长江中路,trunk,False,175.666,"LINESTRING (117.2815358 31.8634526, 117.2817344 31.8634401, 117.2833941 31.8633852)",,
92000399,False,,舒城路,tertiary,False,8.196,"LINESTRING (117.2781846 31.8637486, 117.2781948 31.8636754)",,
513226043,True,4,长江中路,trunk,False,107.667,"LINESTRING (117.2781846 31.8637486, 117.2793241 31.863718)",,
526571644,True,,宿州路,secondary,False,87.826,"LINESTRING (117.2838452 31.8663884, 117.2837011 31.8656081)",,
305821895,True,,淮河路,tertiary,False,87.994,"LINESTRING (117.2838452 31.8663884, 117.283151 31.866573, 117.2829584 31.866631)",,
512326913,True,4,长江中路,trunk,False,5.162,"LINESTRING (117.2833941 31.8633852, 117.2834482 31.8633786)",,
526571644,True,,宿州路,secondary,False,13.255,"LINESTRING (117.2833941 31.8633852, 117.28338 31.8632666)",,
526571546,True,,阜阳路,primary,False,11.234,"LINESTRING (117.2805762 31.8695921, 117.2805446 31.8694947)",,
526571545,True,2,寿春路,primary,False,340.17900000000003,"LINESTRING (117.2805762 31.8695921, 117.2798238 31.8697563, 117.2788354 31.8699721, 117.2782617 31.8700973, 117.2782144 31.8701076, 117.2781458 31.8701226, 117.2776795 31.8702228, 117.2770862 31.8703502)",,
328170803,True,,安庆路,secondary,False,17.531,"LINESTRING (117.2794241 31.8655368, 117.2796081 31.8655577)",,
512331058,True,3,花园街,primary,False,181.398,"LINESTRING (117.2794241 31.8655368, 117.2793845 31.8650233, 117.2793414 31.8642272, 117.2793318 31.8639075)",,
526571644,True,,宿州路,secondary,False,9.416,"LINESTRING (117.284127 31.8688535, 117.2841144 31.8687695)",,
92353550,True,2,寿春路,primary,False,337.568,"LINESTRING (117.284127 31.8688535, 117.2836846 31.8689455, 117.2820363 31.8692884, 117.280655 31.8695759)",,
90953196,False,,无为路,tertiary,False,11.262,"LINESTRING (117.2858171 31.8637187, 117.2858243 31.8636176)",,
328170802,True,,淮河路,tertiary,False,79.28399999999999,"LINESTRING (117.2821566 31.8668733, 117.2814819 31.8670953, 117.2813737 31.8671308)",,
92000399,False,,舒城路,tertiary,True,112.768,"LINESTRING (117.278296 31.8626649, 117.2781948 31.8636754)",,
512333510,True,4,长江中路,trunk,False,6.215,"LINESTRING (117.2768109 31.8639126, 117.2767451 31.8639115)",,
