osmid,highway,oneway,reversed,length,lanes,geometry,ref,bridge
618697316,secondary,False,False,241.506,,"LINESTRING (79.2356827 41.2221279, 79.236396 41.2200233)",,
618697316,secondary,False,True,9.261,,"LINESTRING (79.2356827 41.2221279, 79.2356575 41.222209)",,
183435183,tertiary,False,False,8.806,,"LINESTRING (79.2304944 41.2216904, 79.2304839 41.2217692)",,
183435194,primary,True,False,217.901,4,"LINESTRING (79.2304944 41.2216904, 79.2330848 41.2218998)",,
183435183,tertiary,False,True,238.2,,"LINESTRING (79.2304944 41.2216904, 79.2305176 41.2211403, 79.2304929 41.2195486)",,
38164048,primary,False,False,261.044,,"LINESTRING (79.2316668 41.2146273, 79.2346313 41.215361)",s306,
38164048,primary,False,True,495.76,,"LINESTRING (79.2316668 41.2146273, 79.2306575 41.2144073, 79.2258397 41.2138422)",s306,
875895366,tertiary,False,False,218.563,,"LINESTRING (79.2316668 41.2146273, 79.2312774 41.215699, 79.2309927 41.2165263)",,
194983424,tertiary,False,False,69.455,,"LINESTRING (79.2254596 41.2161416, 79.2255615 41.2155217)",,
194983433,unclassified,False,False,81.204,,"LINESTRING (79.2337741 41.2149824, 79.2347087 41.21518)",,
38164048,primary,False,False,48.533,,"LINESTRING (79.2362419 41.2157696, 79.2367917 41.2159091)",s306,
38164048,primary,False,True,142.174,,"LINESTRING (79.2362419 41.2157696, 79.2346313 41.215361)",s306,
306851453,unclassified,False,True,458.81100000000004,,"LINESTRING (79.2362419 41.2157696, 79.2360588 41.2158601, 79.2318603 41.2148446, 79.2317443 41.2149053, 79.231544 41.2154213)",,
194983430,unclassified,False,False,21.142,,"LINESTRING (79.2347087 41.21518, 79.2346313 41.215361)",,
194983433,unclassified,False,True,81.204,,"LINESTRING (79.2347087 41.21518, 79.2337741 41.2149824)",,
194983433,unclassified,False,False,200.97400000000002,,"LINESTRING (79.2347087 41.21518, 79.2367245 41.2157168, 79.2367917 41.2159091)",,
38164048,primary,False,False,142.174,,"LINESTRING (79.2346313 41.215361, 79.2362419 41.2157696)",s306,
38164048,primary,False,True,261.044,,"LINESTRING (79.2346313 41.215361, 79.2316668 41.2146273)",s306,
194983430,unclassified,False,True,21.142,,"LINESTRING (79.2346313 41.215361, 79.2347087 41.21518)",,
38164048,primary,False,True,48.533,,"LINESTRING (79.2367917 41.2159091, 79.2362419 41.2157696)",s306,
194983433,unclassified,False,True,200.97400000000002,,"LINESTRING (79.2367917 41.2159091, 79.2367245 41.2157168, 79.2347087 41.21518)",,
194983405,unclassified,False,False,482.49999999999994,,"LINESTRING (79.2309927 41.2165263, 79.2283775 41.2156119, 79.2277123 41.2156523, 79.2270042 41.2157895, 79.2255615 41.2155217)",,
"[183435183, 875895366, 875895367]",tertiary,False,False,341.30899999999997,,"LINESTRING (79.2309927 41.2165263, 79.230761 41.2172109, 79.2305294 41.2179167, 79.2304754 41.2181419, 79.2304604 41.2183857, 79.2304766 41.2189671, 79.2304929 41.2195486)",,yes
875895366,tertiary,False,True,218.563,,"LINESTRING (79.2309927 41.2165263, 79.2312774 41.215699, 79.2316668 41.2146273)",,
194983424,tertiary,False,False,188.196,,"LINESTRING (79.2255615 41.2155217, 79.2258397 41.2138422)",,
194983424,tertiary,False,True,69.455,,"LINESTRING (79.2255615 41.2155217, 79.2254596 41.2161416)",,
194983405,unclassified,False,True,482.5,,"LINESTRING (79.2255615 41.2155217, 79.2270042 41.2157895, 79.2277123 41.2156523, 79.2283775 41.2156119, 79.2309927 41.2165263)",,
194983424,tertiary,False,True,188.196,,"LINESTRING (79.2258397 41.2138422, 79.2255615 41.2155217)",,
38164048,primary,False,False,495.76,,"LINESTRING (79.2258397 41.2138422, 79.2306575 41.2144073, 79.2316668 41.2146273)",s306,
195078611,residential,False,False,249.064,,"LINESTRING (79.236396 41.2200233, 79.2334353 41.2197834)",,
618697316,secondary,False,True,241.506,,"LINESTRING (79.236396 41.2200233, 79.2356827 41.2221279)",,
195078611,residential,False,True,247.482,,"LINESTRING (79.2304929 41.2195486, 79.2334353 41.2197834)",,
183435183,tertiary,False,False,238.2,,"LINESTRING (79.2304929 41.2195486, 79.2305176 41.2211403, 79.2304944 41.2216904)",,
"[875895366, 875895367, 183435183]",tertiary,False,True,341.309,,"LINESTRING (79.2304929 41.2195486, 79.2304766 41.2189671, 79.2304604 41.2183857, 79.2304754 41.2181419, 79.2305294 41.2179167, 79.230761 41.2172109, 79.2309927 41.2165263)",,yes
306851453,unclassified,False,False,458.81100000000004,,"LINESTRING (79.231544 41.2154213, 79.2317443 41.2149053, 79.2318603 41.2148446, 79.2360588 41.2158601, 79.2362419 41.2157696)",,
183435194,primary,True,False,218.755,4,"LINESTRING (79.2330848 41.2218998, 79.2356827 41.2221279)",,
867997033,residential,False,False,237.152,,"LINESTRING (79.2330848 41.2218998, 79.2334353 41.2197834)",,
195078611,residential,False,False,247.482,,"LINESTRING (79.2334353 41.2197834, 79.2304929 41.2195486)",,
195078611,residential,False,True,249.064,,"LINESTRING (79.2334353 41.2197834, 79.236396 41.2200233)",,
867997033,residential,False,True,237.152,,"LINESTRING (79.2334353 41.2197834, 79.2330848 41.2218998)",,
618697316,secondary,False,False,9.261,,"LINESTRING (79.2356575 41.222209, 79.2356827 41.2221279)",,
867997037,primary,True,False,435.458,,"LINESTRING (79.2356575 41.222209, 79.2304839 41.2217692)",,
183435183,tertiary,False,True,8.806,,"LINESTRING (79.2304839 41.2217692, 79.2304944 41.2216904)",,
