osmid,highway,oneway,reversed,length,name,bridge,geometry,lanes
549974009,tertiary,False,True,179.208,,,"LINESTRING (106.629922 30.4631726, 106.6313165 30.462099)",
1001076256,secondary,False,False,286.153,广宁北路,,"LINESTRING (106.629922 30.4631726, 106.6279042 30.4612759)",
502576258,secondary,False,True,280.232,广宁南路,,"LINESTRING (106.6245664 30.4581372, 106.6265417 30.4599952)",
"[532436708, 532436709, 532436710]",tertiary,False,False,175.898,,yes,"LINESTRING (106.6245664 30.4581372, 106.6249567 30.4577614, 106.6254605 30.4570486, 106.6256302 30.4568548)",
502350235,tertiary,False,True,62.443,滨河路二段,,"LINESTRING (106.6279457 30.4572266, 106.6282842 30.4567468)",
502350235,tertiary,False,False,264.849,滨河路二段,,"LINESTRING (106.6279457 30.4572266, 106.6277233 30.4575017, 106.6275581 30.4575848, 106.6274151 30.4576104, 106.6270882 30.4575714, 106.6266767 30.4574865, 106.6263243 30.4573345, 106.6256302 30.4568548)",
502350235,tertiary,False,True,81.255,滨河路二段,,"LINESTRING (106.6249431 30.4564268, 106.6256302 30.4568548)",
502588447,unclassified,False,False,172.114,民安中街,,"LINESTRING (106.6288892 30.4580511, 106.627616 30.4591426)",
"[672281931, 502350236, 672281932]",tertiary,True,False,128.982,,yes,"LINESTRING (106.6288892 30.4580511, 106.6288076 30.4579518, 106.6282724 30.4574946, 106.6279457 30.4572266)",
502588447,unclassified,False,True,64.773,民安中街,,"LINESTRING (106.6288892 30.4580511, 106.6291166 30.4578613, 106.629336 30.4576161)",
502350235,tertiary,False,False,62.443,滨河路二段,,"LINESTRING (106.6282842 30.4567468, 106.6279457 30.4572266)",
502350235,tertiary,False,True,171.964,滨河路二段,,"LINESTRING (106.6282842 30.4567468, 106.6284457 30.4563935, 106.6285801 30.4560149, 106.6286284 30.4556519, 106.6286454 30.4552467)",
"[1001076253, 672281933, 502350237]",tertiary,True,False,139.67700000000002,,yes,"LINESTRING (106.6282842 30.4567468, 106.6285883 30.4570005, 106.6291482 30.4574677, 106.629336 30.4576161)",
