osmid,bridge,oneway,highway,reversed,length,geometry
"[531434648, 1162115187]",yes,True,tertiary,False,189.111,"LINESTRING (102.0258051 36.0001556, 102.0261899 35.9998095, 102.0265716 35.9994661, 102.0271895 35.998876)"
1162115184,,False,residential,False,113.151,"LINESTRING (102.0334215 35.9990482, 102.0325461 35.9997789)"
1162115184,,False,residential,True,333.083,"LINESTRING (102.0299692 36.0019299, 102.0325461 35.9997789)"
718020499,,False,residential,True,402.882,"LINESTRING (102.0299692 36.0019299, 102.0296535 36.0015468, 102.0273199 35.9990093)"
718020499,,False,residential,False,18.903,"LINESTRING (102.0271895 35.998876, 102.0273199 35.9990093)"
718020499,,False,residential,True,293.071,"LINESTRING (102.0271895 35.998876, 102.0253227 35.996716)"
718020499,,False,residential,True,18.903,"LINESTRING (102.0273199 35.9990093, 102.0271895 35.998876)"
718020499,,False,residential,False,402.882,"LINESTRING (102.0273199 35.9990093, 102.0296535 36.0015468, 102.0299692 36.0019299)"
718020499,,False,residential,False,293.071,"LINESTRING (102.0253227 35.996716, 102.0271895 35.998876)"
1162115200,,False,residential,False,86.391,"LINESTRING (102.0318954 35.9992075, 102.0325461 35.9997789)"
1162115184,,False,residential,False,333.083,"LINESTRING (102.0325461 35.9997789, 102.0299692 36.0019299)"
1162115184,,False,residential,True,113.151,"LINESTRING (102.0325461 35.9997789, 102.0334215 35.9990482)"
1162115200,,False,residential,False,27.852,"LINESTRING (102.0325461 35.9997789, 102.0327571 35.9999622)"
1162115200,,False,residential,True,86.391,"LINESTRING (102.0325461 35.9997789, 102.0318954 35.9992075)"
1162115200,,False,residential,True,27.852,"LINESTRING (102.0327571 35.9999622, 102.0325461 35.9997789)"
