osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,bridge
878209894,True,星湖街,primary,60,False,18.067,,"LINESTRING (120.7160592 31.3274086, 120.7160383 31.3275701)",
"[875140464, 791820697]",True,现代大道,primary,60,False,556.0980000000001,"['4', '3']","LINESTRING (120.7160592 31.3274086, 120.7161537 31.3274051, 120.7163037 31.3274119, 120.7188986 31.327527, 120.7208404 31.3276144, 120.7216149 31.3276491, 120.7217759 31.3276519, 120.7219057 31.3276623)",
791820697,True,现代大道,primary,60,False,16.731,3,"LINESTRING (120.7158832 31.3274147, 120.7160592 31.3274086)",
878209918,True,星湖街,primary,60,False,243.77599999999998,,"LINESTRING (120.7158832 31.3274147, 120.7158959 31.3273024, 120.7159085 31.3271858, 120.7161329 31.325542, 120.7161393 31.3254934, 120.7161726 31.3252364)",
791761879,True,星湖街,primary,60,False,9.292,,"LINESTRING (120.7170589 31.3216331, 120.7170373 31.3217146)",
791761880,True,旺墩路,tertiary,,False,141.268,,"LINESTRING (120.7170589 31.3216331, 120.7185351 31.3217873)",
878209888,True,旺墩路,tertiary,,False,17.808,,"LINESTRING (120.7168726 31.3216152, 120.7170589 31.3216331)",
148708441,True,现代大道,primary,60,False,12.387,3,"LINESTRING (120.7219057 31.3276623, 120.722035 31.3276768)",
"[886186602, 834929415]",True,万盛街,secondary,50,False,203.968,"['2', '3']","LINESTRING (120.7219057 31.3276623, 120.7219229 31.3274575, 120.7219578 31.3270269, 120.7220548 31.3258324)",
878231363,True,钟园路,secondary,,False,11.615,,"LINESTRING (120.7225207 31.3202159, 120.7226414 31.3202326)",
791761880,True,旺墩路,tertiary,,False,11.501,,"LINESTRING (120.7223539 31.3222111, 120.7224746 31.3222193)",
791784164,True,万盛街,secondary,,False,210.976,,"LINESTRING (120.7223539 31.3222111, 120.7225142 31.3203187)",
499001297,False,东园融街,tertiary,,False,173.835,,"LINESTRING (120.720104 31.3234932, 120.720523 31.323206, 120.7205659 31.3231647, 120.7205928 31.3231143, 120.7206089 31.3230502, 120.7207369 31.3221284)",
"[762857877, 304373782, 762857879]",False,园融环路,tertiary,,False,236.69000000000003,,"LINESTRING (120.720104 31.3234932, 120.7201452 31.3235424, 120.7202501 31.3236986, 120.7203018 31.3237903, 120.7203568 31.3239104, 120.7203966 31.3240317, 120.7204211 31.3241225, 120.7204399 31.3242691, 120.7204449 31.3243617, 120.720444 31.3244599, 120.7204359 31.3246289, 120.7203872 31.3249815, 120.7202913 31.3255512)",yes
762857879,False,园融环路,tertiary,,True,145.843,,"LINESTRING (120.720104 31.3234932, 120.7199636 31.3233603, 120.7199018 31.32331, 120.7198458 31.3232735, 120.7197972 31.323247, 120.7197613 31.32323, 120.7196889 31.3232014, 120.7196322 31.3231834, 120.7195841 31.323172, 120.719531 31.3231639, 120.7194789 31.3231584, 120.7194263 31.3231542, 120.7193629 31.3231549, 120.7193083 31.3231599, 120.7192575 31.3231659, 120.7192057 31.3231782, 120.7191391 31.3231979, 120.7190689 31.3232241, 120.7189912 31.3232616, 120.7189026 31.3233066, 120.7188494 31.3233377, 120.7187746 31.3233872)",
304373782,False,园融环路,tertiary,,True,11.992,,"LINESTRING (120.7180419 31.325328, 120.7180271 31.3254351)",
"[762857880, 304373782, 762857879]",False,园融环路,tertiary,,False,232.69599999999994,,"LINESTRING (120.7180419 31.325328, 120.7181717 31.3244492, 120.7181972 31.324325, 120.7182257 31.324221, 120.7182499 31.3241385, 120.7182857 31.3240363, 120.7183241 31.3239463, 120.7183544 31.3238819, 120.7183957 31.3237992, 120.7184497 31.3237079, 120.7185191 31.3236273, 120.7185945 31.3235497, 120.7186615 31.3234827, 120.7187023 31.3234482, 120.7187746 31.3233872)",yes
304373782,False,园融环路,tertiary,,False,11.992,,"LINESTRING (120.7202913 31.3255512, 120.7202765 31.3256583)",
762030562,True,苏州大道东,secondary,40,False,169.436,,"LINESTRING (120.7202913 31.3255512, 120.7220613 31.3257404)",
"[762857877, 304373782, 762857879]",False,园融环路,tertiary,,True,236.69,,"LINESTRING (120.7202913 31.3255512, 120.7203872 31.3249815, 120.7204359 31.3246289, 120.720444 31.3244599, 120.7204449 31.3243617, 120.7204399 31.3242691, 120.7204211 31.3241225, 120.7203966 31.3240317, 120.7203568 31.3239104, 120.7203018 31.3237903, 120.7202501 31.3236986, 120.7201452 31.3235424, 120.720104 31.3234932)",yes
878209918,True,星湖街,primary,60,False,17.84,,"LINESTRING (120.7158652 31.3275744, 120.7158832 31.3274147)",
834080171,True,现代大道,primary,60,False,16.449,3,"LINESTRING (120.7160383 31.3275701, 120.7158652 31.3275744)",
791784161,True,万盛街,secondary,50,False,19.525,2,"LINESTRING (120.7218888 31.3278373, 120.7219057 31.3276623)",
"[791784162, 871784140]",True,现代大道,primary,60,False,556.5799999999999,"['4', '3']","LINESTRING (120.7218888 31.3278373, 120.7217705 31.3278244, 120.721608 31.3278087, 120.7188812 31.3276851, 120.7170297 31.3276069, 120.7163433 31.3275783, 120.716295 31.327575, 120.7161226 31.3275686, 120.7160383 31.3275701)",
791784165,True,星湖街,primary,60,False,9.117,,"LINESTRING (120.7168521 31.3216953, 120.7168726 31.3216152)",
878209916,True,旺墩路,tertiary,,False,17.723,,"LINESTRING (120.7170373 31.3217146, 120.7168521 31.3216953)",
"[350701826, 350701821, 791761879]",True,星湖街,primary,60,False,387.32399999999996,,"LINESTRING (120.7170373 31.3217146, 120.7169703 31.3219686, 120.7168111 31.3226204, 120.7167017 31.3230205, 120.7166703 31.3231529, 120.7165914 31.3235517, 120.7165692 31.3236675, 120.7165218 31.3240154, 120.7164879 31.3242515, 120.7164047 31.3248604, 120.7163998 31.3249096, 120.7163697 31.325147)",yes
791784163,True,旺墩路,tertiary,,False,154.128,,"LINESTRING (120.7223453 31.3223113, 120.7207369 31.3221284)",
791784164,True,万盛街,secondary,,False,11.172,,"LINESTRING (120.7223453 31.3223113, 120.7223539 31.3222111)",
790936204,True,万盛街,secondary,,False,11.228,,"LINESTRING (120.7226414 31.3202326, 120.7226312 31.3203332)",
791761882,True,旺墩路,tertiary,,False,160.563,,"LINESTRING (120.7224746 31.3222193, 120.7241498 31.3224121)",
834922682,True,万盛街,secondary,,False,11.914,,"LINESTRING (120.7224746 31.3222193, 120.7224646 31.3223261)",
804514240,True,旺墩路,tertiary,,False,11.451,,"LINESTRING (120.7224646 31.3223261, 120.7223453 31.3223113)",
"[791761881, 834922682, 834922681]",True,万盛街,secondary,50,False,382.238,3,"LINESTRING (120.7224646 31.3223261, 120.7223358 31.3238245, 120.7223117 31.3240774, 120.7221834 31.3257552)",yes
791761884,True,万盛街,secondary,50,False,18.892,2,"LINESTRING (120.722035 31.3276768, 120.7220183 31.3278461)",
483927083,True,现代大道,primary,60,False,12.339,3,"LINESTRING (120.7220183 31.3278461, 120.7218888 31.3278373)",
494180265,False,,tertiary,,True,66.265,,"LINESTRING (120.7150918 31.3261515, 120.7143994 31.3260786)",
499001297,False,东园融街,tertiary,,True,9.897,,"LINESTRING (120.72075 31.3220401, 120.7207369 31.3221284)",
791761880,True,旺墩路,tertiary,,False,153.535,,"LINESTRING (120.72075 31.3220401, 120.7223539 31.3222111)",
499001297,False,东园融街,tertiary,,False,9.897,,"LINESTRING (120.7207369 31.3221284, 120.72075 31.3220401)",
791784163,True,旺墩路,tertiary,,False,212.18,,"LINESTRING (120.7207369 31.3221284, 120.7185218 31.3218825)",
499001297,False,东园融街,tertiary,,True,173.835,,"LINESTRING (120.7207369 31.3221284, 120.7206089 31.3230502, 120.7205928 31.3231143, 120.7205659 31.3231647, 120.720523 31.323206, 120.720104 31.3234932)",
499001298,False,西园融街,tertiary,,True,10.661,,"LINESTRING (120.7185351 31.3217873, 120.7185218 31.3218825)",
791761880,True,旺墩路,tertiary,,False,212.262,,"LINESTRING (120.7185351 31.3217873, 120.72075 31.3220401)",
499001298,False,西园融街,tertiary,,False,10.661,,"LINESTRING (120.7185218 31.3218825, 120.7185351 31.3217873)",
791784163,True,旺墩路,tertiary,,False,142.243,,"LINESTRING (120.7185218 31.3218825, 120.7170373 31.3217146)",
499001298,False,西园融街,tertiary,,True,179.919,,"LINESTRING (120.7185218 31.3218825, 120.7183853 31.3228898, 120.718396 31.3229448, 120.7184282 31.3229906, 120.7187746 31.3233872)",
499001298,False,西园融街,tertiary,,False,179.91899999999998,,"LINESTRING (120.7187746 31.3233872, 120.7184282 31.3229906, 120.718396 31.3229448, 120.7183853 31.3228898, 120.7185218 31.3218825)",
762857879,False,园融环路,tertiary,,False,145.84300000000002,,"LINESTRING (120.7187746 31.3233872, 120.7188494 31.3233377, 120.7189026 31.3233066, 120.7189912 31.3232616, 120.7190689 31.3232241, 120.7191391 31.3231979, 120.7192057 31.3231782, 120.7192575 31.3231659, 120.7193083 31.3231599, 120.7193629 31.3231549, 120.7194263 31.3231542, 120.7194789 31.3231584, 120.719531 31.3231639, 120.7195841 31.323172, 120.7196322 31.3231834, 120.7196889 31.3232014, 120.7197613 31.32323, 120.7197972 31.323247, 120.7198458 31.3232735, 120.7199018 31.32331, 120.7199636 31.3233603, 120.720104 31.3234932)",
"[762857880, 304373782, 762857879]",False,园融环路,tertiary,,True,232.696,,"LINESTRING (120.7187746 31.3233872, 120.7187023 31.3234482, 120.7186615 31.3234827, 120.7185945 31.3235497, 120.7185191 31.3236273, 120.7184497 31.3237079, 120.7183957 31.3237992, 120.7183544 31.3238819, 120.7183241 31.3239463, 120.7182857 31.3240363, 120.7182499 31.3241385, 120.7182257 31.324221, 120.7181972 31.324325, 120.7181717 31.3244492, 120.7180419 31.325328)",yes
790936204,True,万盛街,secondary,,False,210.252,,"LINESTRING (120.7226312 31.3203332, 120.7224746 31.3222193)",
830707837,True,钟园路,secondary,,False,11.23,,"LINESTRING (120.7226312 31.3203332, 120.7225142 31.3203187)",
791784164,True,万盛街,secondary,,False,11.448,,"LINESTRING (120.7225142 31.3203187, 120.7225207 31.3202159)",
518484525,False,融盛街,tertiary,,True,150.754,,"LINESTRING (120.7240176 31.3238691, 120.7241419 31.3225175)",
518484525,False,融盛街,tertiary,,False,104.472,,"LINESTRING (120.7243337 31.3205224, 120.7242318 31.3214579)",
830707837,True,钟园路,secondary,,False,163.085,,"LINESTRING (120.7243337 31.3205224, 120.7226312 31.3203332)",
494180265,False,,tertiary,,False,66.265,,"LINESTRING (120.7143994 31.3260786, 120.7150918 31.3261515)",
523568682,False,嘉瑞巷,tertiary,,False,112.00300000000001,,"LINESTRING (120.7143994 31.3260786, 120.7145177 31.3252243, 120.7145379 31.3250783)",
518484525,False,融盛街,tertiary,,False,150.754,,"LINESTRING (120.7241419 31.3225175, 120.7240176 31.3238691)",
518484525,False,融盛街,tertiary,,True,11.744,,"LINESTRING (120.7241419 31.3225175, 120.7241498 31.3224121)",
804514240,True,旺墩路,tertiary,,False,160.74,,"LINESTRING (120.7241419 31.3225175, 120.7224646 31.3223261)",
518484525,False,融盛街,tertiary,,False,11.744,,"LINESTRING (120.7241498 31.3224121, 120.7241419 31.3225175)",
518484525,False,融盛街,tertiary,,True,106.388,,"LINESTRING (120.7241498 31.3224121, 120.7242318 31.3214579)",
518484525,False,融盛街,tertiary,,False,106.388,,"LINESTRING (120.7242318 31.3214579, 120.7241498 31.3224121)",
518484525,False,融盛街,tertiary,,True,104.472,,"LINESTRING (120.7242318 31.3214579, 120.7243337 31.3205224)",
833748837,True,苏州大道东,secondary,40,False,10.821,,"LINESTRING (120.7221683 31.3258408, 120.7220548 31.3258324)",
"[834922681, 886186596]",True,万盛街,secondary,50,False,204.54999999999998,"['4', '3']","LINESTRING (120.7221683 31.3258408, 120.7220899 31.3268983, 120.7220477 31.327467, 120.7220395 31.3275717, 120.722035 31.3276768)",
834922681,True,万盛街,secondary,50,False,9.626,3,"LINESTRING (120.7221834 31.3257552, 120.7221683 31.3258408)",
556386773,True,苏州大道东,secondary,40,False,11.714,,"LINESTRING (120.7220613 31.3257404, 120.7221834 31.3257552)",
"[886186602, 834929414, 122197871]",True,万盛街,secondary,50,False,382.25300000000004,3,"LINESTRING (120.7220613 31.3257404, 120.7222033 31.3240648, 120.7222246 31.3238164, 120.7223453 31.3223113)",yes
350701826,True,星湖街,primary,60,False,11.906,,"LINESTRING (120.7163697 31.325147, 120.7163557 31.3252534)",
768135271,True,苏州大道东,secondary,40,False,160.106,,"LINESTRING (120.7163697 31.325147, 120.7164633 31.3251561, 120.7166071 31.3251718, 120.7180419 31.325328)",
768135271,True,苏州大道东,secondary,40,False,17.62,,"LINESTRING (120.7161853 31.3251298, 120.7163697 31.325147)",
