osmid,oneway,name,highway,maxspeed,reversed,length,bridge,geometry,lanes
"[170994545, 228683929, 170994535]",True,府前路,tertiary,50,False,214.81900000000002,yes,"LINESTRING (118.3484628 35.1019647, 118.3484601 35.1018813, 118.348444 35.101776, 118.3484253 35.1016795, 118.3483904 35.1015873, 118.348326 35.1014468, 118.348267 35.1013766, 118.3481222 35.1011945, 118.3481052 35.1011748, 118.3479693 35.1010167, 118.3479022 35.1009355, 118.3478432 35.1008214, 118.34778 35.1007246, 118.3476969 35.1005578, 118.3476233 35.1004001, 118.3475911 35.1003167, 118.347563 35.10025, 118.3475556 35.1002108)",
170994539,True,府前路,tertiary,50,False,53.504000000000005,,"LINESTRING (118.3485253 35.1019656, 118.3485282 35.1022489, 118.3484819 35.1024431)",
198404209,True,,primary_link,,False,94.878,,"LINESTRING (118.3485253 35.1019656, 118.3485861 35.1021491, 118.3486737 35.1022209, 118.3489161 35.1023094, 118.3493263 35.1023873)",
198404198,True,,primary_link,,False,105.315,,"LINESTRING (118.349313 35.1024919, 118.3489536 35.102566, 118.3487221 35.1026562, 118.3486318 35.1027702, 118.348544 35.1030597)",
245018538,True,北京路,primary,50,False,76.388,,"LINESTRING (118.349313 35.1024919, 118.3486738 35.1024906, 118.3484819 35.1024431)",5
198404211,True,,primary_link,,False,81.322,,"LINESTRING (118.3478056 35.1023819, 118.3481382 35.1023027, 118.3482731 35.1022351, 118.348401 35.1021183, 118.3484628 35.1019647)",
245018544,True,北京路,primary,50,False,62.72,,"LINESTRING (118.3478056 35.1023819, 118.3482776 35.1023822, 118.3484819 35.1024431)",5
198404208,True,,primary_link,,False,94.293,,"LINESTRING (118.3484155 35.1030663, 118.3483393 35.1027613, 118.3482365 35.102651, 118.3481328 35.1025989, 118.3477948 35.1024867)",
675578423,True,孝河路,secondary,50,False,70.208,,"LINESTRING (118.3484155 35.1030663, 118.348415 35.1026218, 118.3484819 35.1024431)",3
587788879,True,孝河路,secondary,50,False,258.598,,"LINESTRING (118.348544 35.1030597, 118.348545 35.1036257, 118.3485459 35.104117, 118.3485346 35.1047667, 118.348524 35.1053852)",3
"[228683925, 245018533]",True,北京路,primary,50,False,271.597,,"LINESTRING (118.3493263 35.1023873, 118.3506822 35.1023994, 118.3523117 35.1023913)","['4', '5']"
198404525,True,,primary_link,,False,68.54599999999999,,"LINESTRING (118.3523117 35.1023913, 118.3525586 35.1023072, 118.352708 35.102236, 118.3527839 35.1021514, 118.3528264 35.1020042)",
245018533,True,北京路,primary,50,False,51.68,,"LINESTRING (118.3523117 35.1023913, 118.3527298 35.1023893, 118.3528646 35.1024431)",5
198404528,True,,primary_link,,False,79.867,,"LINESTRING (118.3528697 35.1029829, 118.3527757 35.1027371, 118.352692 35.1026663, 118.3525881 35.1025924, 118.352301 35.102508)",
228683927,True,汶河路,tertiary,,False,60.263,,"LINESTRING (118.3528697 35.1029829, 118.3528381 35.1026415, 118.3528646 35.1024431)",
"[245018538, 228683914]",True,北京路,primary,50,False,271.832,,"LINESTRING (118.352301 35.102508, 118.3515693 35.1025063, 118.3506838 35.1025042, 118.3498366 35.1024966, 118.349313 35.1024919)","['4', '5']"
198404529,True,,primary_link,,False,77.226,,"LINESTRING (118.3534409 35.1025104, 118.3532077 35.1025793, 118.3530487 35.1026611, 118.3529554 35.1027876, 118.3529095 35.1029741)",
245018540,True,北京路,primary,50,False,54.507,,"LINESTRING (118.3534409 35.1025104, 118.3530175 35.102514, 118.3528646 35.1024431)",5
