osmid,oneway,name,highway,reversed,length,bridge,geometry,lanes,ref
82251573,True,人民南路,secondary,False,11.447,,"LINESTRING (120.1586248 33.3532824, 120.1585539 33.3533666)",,
"[832440589, 832440588, 328760677]",True,,tertiary,False,231.38,yes,"LINESTRING (120.1547324 33.3528529, 120.1548186 33.3525631, 120.1548904 33.3522344, 120.1548743 33.3518445, 120.1548661 33.3516159, 120.1548979 33.3514278, 120.1550056 33.3512216, 120.1552661 33.350869)",,
61575546,True,世纪大道,primary,False,187.766,,"LINESTRING (120.1553343 33.3507977, 120.1568424 33.3519222)",3,S229
539225483,False,,residential,False,261.479,,"LINESTRING (120.1553343 33.3507977, 120.1552965 33.3504444, 120.1554022 33.350064, 120.1555241 33.3498773, 120.1564632 33.3488381, 120.156528 33.3487642)",,
61575546,True,世纪大道,primary,False,134.458,,"LINESTRING (120.1568424 33.3519222, 120.1579181 33.3527314)",3,S229
832440586,True,,tertiary,False,9.823,,"LINESTRING (120.1568424 33.3519222, 120.1567659 33.3519832)",,
539225481,False,,residential,False,275.53,,"LINESTRING (120.1568424 33.3519222, 120.1572235 33.3518236, 120.1577072 33.3516029, 120.1578659 33.3514671, 120.1589128 33.3502552)",,
61575546,True,世纪大道,primary,False,199.327,,"LINESTRING (120.1537783 33.3495632, 120.1553343 33.3507977)",3,S229
328760678,False,,tertiary,False,228.853,,"LINESTRING (120.1537783 33.3495632, 120.1551699 33.3478648)",,
328760678,False,,tertiary,True,173.27,,"LINESTRING (120.1562394 33.3465881, 120.1551699 33.3478648)",,
539225479,False,,residential,False,164.577,,"LINESTRING (120.1562394 33.3465881, 120.1576648 33.3474672)",,
416935552,True,人民南路,secondary,False,11.37,,"LINESTRING (120.1584658 33.3532972, 120.1585342 33.3532124)",,
416896043,True,世纪大道,primary,False,160.551,,"LINESTRING (120.1584658 33.3532972, 120.1580354 33.352963, 120.1572078 33.352307)",3,S229
832440589,True,,tertiary,False,10.148,,"LINESTRING (120.1552661 33.350869, 120.1553343 33.3507977)",,
416896043,True,世纪大道,primary,False,186.429,,"LINESTRING (120.1567659 33.3519832, 120.1552661 33.350869)",3,S229
"[986146306, 832440586, 832440587]",True,,tertiary,False,216.22699999999998,yes,"LINESTRING (120.1567659 33.3519832, 120.1564901 33.3521942, 120.156198 33.3523601, 120.1559372 33.3524419, 120.1557264 33.3524702, 120.1552873 33.3525611, 120.1551844 33.3526122, 120.1549655 33.3527169, 120.1547324 33.3528529)",,
61575546,True,世纪大道,primary,False,11.463,,"LINESTRING (120.1585342 33.3532124, 120.1586248 33.3532824)",3,S229
416935552,True,人民南路,secondary,False,73.916,,"LINESTRING (120.1585342 33.3532124, 120.1590248 33.352689)",,
416896043,True,世纪大道,primary,False,11.248,,"LINESTRING (120.1585539 33.3533666, 120.1584658 33.3532972)",3,S229
122605005,False,开元路,tertiary,False,11.397,,"LINESTRING (120.1542702 33.345376, 120.1541716 33.345315)",,
468686892,True,解放南路,secondary,False,173.554,,"LINESTRING (120.1542702 33.345376, 120.1531829 33.3466453)",,
539225479,False,,residential,False,8.071,,"LINESTRING (120.1616676 33.3499359, 120.1617334 33.3499833)",,
539225479,False,,residential,True,11.305,,"LINESTRING (120.1616676 33.3499359, 120.1615697 33.3498755)",,
539225479,False,,residential,True,8.071,,"LINESTRING (120.1617334 33.3499833, 120.1616676 33.3499359)",,
82251573,True,人民南路,secondary,False,174.32899999999998,,"LINESTRING (120.1617334 33.3499833, 120.1615361 33.3501843, 120.1605575 33.3512052)",,
539225479,False,,residential,False,173.116,,"LINESTRING (120.1600703 33.3489508, 120.1615697 33.3498755)",,
539225479,False,,residential,True,277.74,,"LINESTRING (120.1600703 33.3489508, 120.1576648 33.3474672)",,
539225481,False,,residential,False,154.868,,"LINESTRING (120.1600703 33.3489508, 120.1610816 33.3478435)",,
539225481,False,,residential,True,180.546,,"LINESTRING (120.1600703 33.3489508, 120.1589128 33.3502552)",,
539225481,False,,residential,True,154.868,,"LINESTRING (120.1610816 33.3478435, 120.1600703 33.3489508)",,
539225482,False,,residential,False,173.889,,"LINESTRING (120.1610816 33.3478435, 120.1625885 33.3487714)",,
539225481,False,,residential,False,257.087,,"LINESTRING (120.1610816 33.3478435, 120.1616955 33.3470726, 120.1622606 33.3462915, 120.1625492 33.345884)",,
539225481,False,,residential,True,257.087,,"LINESTRING (120.1625492 33.345884, 120.1622606 33.3462915, 120.1616955 33.3470726, 120.1610816 33.3478435)",,
539225482,False,,residential,True,173.889,,"LINESTRING (120.1625885 33.3487714, 120.1610816 33.3478435)",,
539225479,False,,residential,False,277.74,,"LINESTRING (120.1576648 33.3474672, 120.1600703 33.3489508)",,
539225479,False,,residential,True,164.577,,"LINESTRING (120.1576648 33.3474672, 120.1562394 33.3465881)",,
539225483,False,,residential,True,178.744,,"LINESTRING (120.1576648 33.3474672, 120.156528 33.3487642)",,
539225486,False,,residential,False,229.026,,"LINESTRING (120.1531829 33.3466453, 120.1551699 33.3478648)",,
328760678,False,,tertiary,False,173.27,,"LINESTRING (120.1551699 33.3478648, 120.1562394 33.3465881)",,
328760678,False,,tertiary,True,228.853,,"LINESTRING (120.1551699 33.3478648, 120.1537783 33.3495632)",,
539225486,False,,residential,True,229.026,,"LINESTRING (120.1551699 33.3478648, 120.1531829 33.3466453)",,
539225488,False,,residential,False,160.982,,"LINESTRING (120.1551699 33.3478648, 120.156528 33.3487642)",,
539225483,False,,residential,False,178.744,,"LINESTRING (120.156528 33.3487642, 120.1576648 33.3474672)",,
539225488,False,,residential,True,160.982,,"LINESTRING (120.156528 33.3487642, 120.1551699 33.3478648)",,
539225483,False,,residential,True,261.479,,"LINESTRING (120.156528 33.3487642, 120.1564632 33.3488381, 120.1555241 33.3498773, 120.1554022 33.350064, 120.1552965 33.3504444, 120.1553343 33.3507977)",,
539225481,False,,residential,False,180.546,,"LINESTRING (120.1589128 33.3502552, 120.1600703 33.3489508)",,
539225492,False,,residential,False,165.789,,"LINESTRING (120.1589128 33.3502552, 120.160378 33.3511067)",,
539225481,False,,residential,True,275.53000000000003,,"LINESTRING (120.1589128 33.3502552, 120.1578659 33.3514671, 120.1577072 33.3516029, 120.1572235 33.3518236, 120.1568424 33.3519222)",,
539225492,False,,residential,False,8.101,,"LINESTRING (120.1604828 33.3511676, 120.1605575 33.3512052)",,
539225492,False,,residential,True,11.858,,"LINESTRING (120.1604828 33.3511676, 120.160378 33.3511067)",,
416935552,True,人民南路,secondary,False,175.69600000000003,,"LINESTRING (120.1604828 33.3511676, 120.1614687 33.3501387, 120.1616676 33.3499359)",,
