osmid,oneway,name,highway,reversed,length,geometry,bridge
37519600,False,幸福路بەخت يولى,secondary,False,80.11,"LINESTRING (87.6321674 43.7889506, 87.6330578 43.7886252)",
37519600,False,幸福路بەخت يولى,secondary,True,184.631,"LINESTRING (87.6321674 43.7889506, 87.6301153 43.7897006)",
37629772,False,,residential,True,274.384,"LINESTRING (87.6321674 43.7889506, 87.6326596 43.7897859, 87.6335773 43.7911981)",
37378653,True,人民路,secondary,False,28.015,"LINESTRING (87.6267573 43.7901282, 87.6264168 43.7901835)",
37519600,False,幸福路بەخت يولى,secondary,True,32.008,"LINESTRING (87.6267573 43.7901282, 87.6263703 43.7900588)",
37519600,False,幸福路بەخت يولى,secondary,False,184.535,"LINESTRING (87.6267573 43.7901282, 87.627821 43.7901664, 87.6284715 43.7901663, 87.6290524 43.7901271)",
37603042,True,,primary,False,85.994,"LINESTRING (87.6267573 43.7901282, 87.6269136 43.7905524, 87.6270924 43.7908609)",
37519600,False,幸福路بەخت يولى,secondary,False,75.756,"LINESTRING (87.6290524 43.7901271, 87.6295545 43.7899056, 87.6298715 43.7897897)",
37519600,False,幸福路بەخت يولى,secondary,True,184.535,"LINESTRING (87.6290524 43.7901271, 87.6284715 43.7901663, 87.627821 43.7901664, 87.6267573 43.7901282)",
37519663,False,,unclassified,False,177.245,"LINESTRING (87.6290524 43.7901271, 87.6272557 43.7907926, 87.6270924 43.7908609)",
37519600,False,幸福路بەخت يولى,secondary,False,32.008,"LINESTRING (87.6263703 43.7900588, 87.6267573 43.7901282)",
37549593,True,,primary,False,14.36,"LINESTRING (87.6264168 43.7901835, 87.6263703 43.7900588)",
37629739,False,东风路شەرق شامىلى يولى,tertiary,False,215.503,"LINESTRING (87.6272371 43.7965331, 87.6250394 43.7954197)",
277968388,False,建国路دۆلەت قۇرۇش يولى,unclassified,True,173.639,"LINESTRING (87.6272371 43.7965331, 87.6279383 43.7954483, 87.628299 43.7951932)",
37372982,False,,residential,True,151.803,"LINESTRING (87.6335773 43.7911981, 87.6348538 43.790633, 87.6352362 43.7905652)",
37629772,False,,residential,False,274.384,"LINESTRING (87.6335773 43.7911981, 87.6326596 43.7897859, 87.6321674 43.7889506)",
"[37629772, 37387231]",False,,residential,"[False, True]",445.669,"LINESTRING (87.6335773 43.7911981, 87.6339814 43.7920164, 87.6337761 43.7921843, 87.63238 43.7925468, 87.6321569 43.7926583, 87.6317191 43.7930673, 87.6316076 43.7932283, 87.6318749 43.7941601)",
37519600,False,幸福路بەخت يولى,secondary,False,184.631,"LINESTRING (87.6301153 43.7897006, 87.6321674 43.7889506)",
37519600,False,幸福路بەخت يولى,secondary,True,21.935,"LINESTRING (87.6301153 43.7897006, 87.6298715 43.7897897)",
277968388,False,建国路دۆلەت قۇرۇش يولى,unclassified,False,173.639,"LINESTRING (87.628299 43.7951932, 87.6279383 43.7954483, 87.6272371 43.7965331)",
277968388,False,建国路دۆلەت قۇرۇش يولى,unclassified,True,94.497,"LINESTRING (87.628299 43.7951932, 87.6287966 43.7948412, 87.6291929 43.7946449)",
37383831,False,,unclassified,True,194.646,"LINESTRING (87.6242688 43.7950831, 87.6258728 43.7937702)",
37629739,False,东风路شەرق شامىلى يولى,tertiary,True,72.293,"LINESTRING (87.6242688 43.7950831, 87.6250394 43.7954197)",
37383831,False,,unclassified,False,194.646,"LINESTRING (87.6258728 43.7937702, 87.6242688 43.7950831)",
"[37629772, 37387231]",False,,residential,"[False, True]",445.669,"LINESTRING (87.6318749 43.7941601, 87.6316076 43.7932283, 87.6317191 43.7930673, 87.6321569 43.7926583, 87.63238 43.7925468, 87.6337761 43.7921843, 87.6339814 43.7920164, 87.6335773 43.7911981)",
277968388,False,建国路دۆلەت قۇرۇش يولى,unclassified,False,193.097,"LINESTRING (87.6318749 43.7941601, 87.629878 43.794457, 87.6295239 43.7945265)",
277968388,False,建国路دۆلەت قۇرۇش يولى,unclassified,True,210.359,"LINESTRING (87.6318749 43.7941601, 87.6336288 43.7938994, 87.6344466 43.7937965)",
"[37519732, 37601997]",True,,trunk_link,False,536.422,"LINESTRING (87.6302142 43.7959714, 87.6299224 43.7956772, 87.6286032 43.7937479, 87.6276401 43.7923019, 87.6272221 43.7916632)",yes
276447752,True,,primary,False,65.068,"LINESTRING (87.6291929 43.7946449, 87.6288279 43.7941224)",
277968388,False,建国路دۆلەت قۇرۇش يولى,unclassified,True,29.65,"LINESTRING (87.6291929 43.7946449, 87.6295239 43.7945265)",
277968388,False,建国路دۆلەت قۇرۇش يولى,unclassified,False,94.497,"LINESTRING (87.6291929 43.7946449, 87.6287966 43.7948412, 87.628299 43.7951932)",
276447752,True,,primary,False,209.726,"LINESTRING (87.6303791 43.7963252, 87.6298009 43.7955384, 87.6291929 43.7946449)",
277968388,False,建国路دۆلەت قۇرۇش يولى,unclassified,False,29.65,"LINESTRING (87.6295239 43.7945265, 87.6291929 43.7946449)",
277968388,False,建国路دۆلەت قۇرۇش يولى,unclassified,True,193.097,"LINESTRING (87.6295239 43.7945265, 87.629878 43.794457, 87.6318749 43.7941601)",
37369987,True,,primary_link,False,16.776,"LINESTRING (87.6272221 43.7916632, 87.6271739 43.7915164)",
37519663,False,,unclassified,False,24.127,"LINESTRING (87.6270924 43.7908609, 87.6268165 43.790947)",
37519663,False,,unclassified,True,177.245,"LINESTRING (87.6270924 43.7908609, 87.6272557 43.7907926, 87.6290524 43.7901271)",
