nodeId,X,Y
0,111,97
1,163,98
2,164,98
3,150,99
4,151,99
5,152,99
6,164,99
7,164,99
8,164,99
9,150,100
10,155,100
11,157,100
12,161,100
13,163,100
14,163,100
15,165,100
16,165,100
17,165,100
18,166,100
19,94,101
20,94,101
21,157,101
22,158,101
23,160,101
24,160,101
25,167,101
26,97,102
27,117,102
28,150,102
29,157,102
30,158,102
31,167,102
32,119,103
33,149,103
34,158,103
35,158,103
36,159,103
37,121,104
38,122,104
39,123,104
40,148,104
41,159,104
42,159,104
43,159,104
44,160,104
45,160,104
46,161,104
47,161,104
48,121,105
49,122,105
50,122,105
51,122,105
52,122,105
53,123,105
54,123,105
55,123,105
56,123,105
57,123,105
58,123,105
59,123,105
60,161,105
61,121,106
62,121,106
63,122,106
64,122,106
65,122,106
66,122,106
67,122,106
68,122,106
69,122,106
70,122,106
71,123,106
72,123,106
73,123,106
74,123,106
75,123,106
76,123,106
77,123,106
78,123,106
79,123,106
80,123,106
81,123,106
82,124,106
83,124,106
84,124,106
85,125,106
86,147,106
87,122,107
88,122,107
89,122,107
90,122,107
91,122,107
92,122,107
93,122,107
94,122,107
95,123,107
96,123,107
97,123,107
98,123,107
99,123,107
100,123,107
101,123,107
102,123,107
103,123,107
104,123,107
105,123,107
106,123,107
107,124,107
108,124,107
109,126,107
110,127,107
111,127,107
112,128,107
113,165,107
114,165,107
115,166,107
116,167,107
117,123,108
118,128,108
119,129,108
120,130,108
121,130,108
122,130,108
123,131,108
124,131,108
125,146,108
126,166,108
127,166,108
128,166,108
129,167,108
130,167,108
131,167,108
132,167,108
133,167,108
134,167,108
135,168,108
136,168,108
137,168,108
138,168,108
139,168,108
140,168,108
141,168,108
142,168,108
143,168,108
144,168,108
145,169,108
146,169,108
147,169,108
148,169,108
149,170,108
150,170,108
151,170,108
152,170,108
153,170,108
154,170,108
155,179,108
156,179,108
157,180,108
158,180,108
159,180,108
160,145,112
161,146,112
162,146,112
163,147,112
164,148,112
165,149,112
166,152,112
167,152,112
168,156,112
169,157,112
170,159,112
171,159,112
172,160,112
173,166,112
174,171,112
175,171,112
176,172,112
177,174,112
178,178,112
179,178,112
180,88,113
181,101,113
182,103,113
183,117,113
184,120,113
185,125,113
186,125,113
187,138,113
188,139,113
189,140,113
190,140,113
191,146,113
192,149,113
193,151,113
194,152,113
195,152,113
196,156,113
197,156,113
198,156,113
199,157,113
200,158,113
201,159,113
202,159,113
203,159,113
204,164,113
205,164,113
206,171,113
207,171,113
208,171,113
209,172,113
210,172,113
211,98,114
212,98,114
213,100,114
214,101,114
215,102,114
216,107,114
217,107,114
218,110,114
219,118,114
220,120,114
221,123,114
222,125,114
223,132,114
224,134,114
225,143,114
226,144,114
227,145,114
228,148,114
229,149,114
230,149,114
231,149,114
232,149,114
233,149,114
234,149,114
235,151,114
236,152,114
237,152,114
238,154,114
239,156,114
240,162,114
241,162,114
242,163,114
243,171,114
244,171,114
245,172,114
246,173,114
247,173,114
248,173,114
249,90,115
250,90,115
251,96,115
252,96,115
253,100,115
254,102,115
255,102,115
256,107,115
257,118,115
258,119,115
259,120,115
260,120,115
261,121,115
262,121,115
263,121,115
264,121,115
265,122,115
266,122,115
267,123,115
268,123,115
269,123,115
270,123,115
271,124,115
272,125,115
273,125,115
274,126,115
275,126,115
276,127,115
277,130,115
278,131,115
279,131,115
280,132,115
281,132,115
282,133,115
283,133,115
284,134,115
285,134,115
286,144,115
287,144,115
288,146,115
289,147,115
290,147,115
291,148,115
292,148,115
293,150,115
294,150,115
295,152,115
296,153,115
297,154,115
298,156,115
299,157,115
300,158,115
