osmid,highway,oneway,reversed,length,geometry,name,ref,junction
883217401,tertiary,False,False,125.793,"LINESTRING (105.4670383 11.9894502, 105.4666947 11.98837)",,,
883217401,tertiary,False,True,152.527,"LINESTRING (105.4670383 11.9894502, 105.4673167 11.9907946)",,,
121779332,residential,False,True,94.292,"LINESTRING (105.4670383 11.9894502, 105.4669631 11.9894679, 105.466469 11.9900703)",,,
121784535,tertiary,False,False,85.714,"LINESTRING (105.4666947 11.98837, 105.4659515 11.9886263)",Pasteur,,
883217401,tertiary,False,True,125.793,"LINESTRING (105.4666947 11.98837, 105.4670383 11.9894502)",,,
121778860,residential,False,False,44.591,"LINESTRING (105.4662405 11.9942648, 105.4659041 11.994494)",,,
121778860,residential,False,True,24.782,"LINESTRING (105.4662405 11.9942648, 105.4663808 11.9940892)",,,
1123528698,residential,False,True,55.578,"LINESTRING (105.4662405 11.9942648, 105.4666492 11.9945648)",,,
121778941,tertiary,False,False,89.991,"LINESTRING (105.4655507 11.991848, 105.4662431 11.991405)",,,
121778941,tertiary,False,True,58.536,"LINESTRING (105.4655507 11.991848, 105.465096 11.9921296)",,,
646382549,tertiary,False,False,79.388,"LINESTRING (105.4655507 11.991848, 105.4655532 11.9915901, 105.4655592 11.9911341)",Preah Ponheayat,,
646382549,tertiary,False,True,88.23,"LINESTRING (105.4655507 11.991848, 105.4655508 11.9920916, 105.4655704 11.9922334, 105.4656111 11.9923752, 105.4656693 11.9925178, 105.4657276 11.9926071)",Preah Ponheayat,,
121778860,residential,False,False,24.782,"LINESTRING (105.4663808 11.9940892, 105.4662405 11.9942648)",,,
1113231924,residential,False,False,81.25,"LINESTRING (105.4663808 11.9940892, 105.4659654 11.9934819)",,,
121778860,residential,False,True,92.97300000000001,"LINESTRING (105.4663808 11.9940892, 105.466554 11.9938131, 105.46681 11.9933663)",,,
121784535,tertiary,False,False,26.968,"LINESTRING (105.4659515 11.9886263, 105.4657166 11.9887039)",Pasteur,,
121784535,tertiary,False,True,85.714,"LINESTRING (105.4659515 11.9886263, 105.4666947 11.98837)",Pasteur,,
445939516,residential,False,False,67.015,"LINESTRING (105.4659515 11.9886263, 105.4660964 11.9890264, 105.4661572 11.9891944)",,,
372063829,residential,True,False,64.549,"LINESTRING (105.4638421 11.9900395, 105.4643985 11.9898376)",Cheyvarman 7,,
257743489,residential,False,False,75.463,"LINESTRING (105.4638421 11.9900395, 105.4636977 11.9900928, 105.4632418 11.9903749)",Cheyvarman 7,,
883217401,tertiary,False,False,152.527,"LINESTRING (105.4673167 11.9907946, 105.4670383 11.9894502)",,,
883217401,tertiary,False,True,136.142,"LINESTRING (105.4673167 11.9907946, 105.4671904 11.9920127)",,,
121778941,tertiary,False,True,64.743,"LINESTRING (105.4673167 11.9907946, 105.4672256 11.9908003, 105.466795 11.9910564)",,,
