osmid,oneway,name,highway,reversed,length,geometry,est_width,maxspeed,lanes,tunnel,junction,bridge
37014212,True,Rue Esprit Jourdain,unclassified,False,49.545,"LINESTRING (-3.9221303 47.871475, -3.9215875 47.8716512, -3.9215673 47.8716578, -3.9215324 47.8716691)",,,,,,
97307052,False,Rue Anatole Le Braz,residential,False,117.82799999999999,"LINESTRING (-3.9254543 47.871947, -3.9254842 47.8719247, -3.9255062 47.8719138, -3.9255282 47.8719029, -3.9255877 47.8718862, -3.9257993 47.8718366, -3.9263711 47.8716981, -3.9261854 47.8713269)",4,,,,,
97307056,False,Boulevard Bougainville,tertiary,True,48.294,"LINESTRING (-3.9254543 47.871947, -3.9254016 47.8719062, -3.9253515 47.8718739, -3.9252841 47.8718425, -3.9251501 47.8717881, -3.9251202 47.8717745, -3.9250499 47.8717427, -3.9249847 47.8717047, -3.9249456 47.8716822)",4,,,,,
97765766,False,Boulevard Bougainville,tertiary,False,40.765,"LINESTRING (-3.9254543 47.871947, -3.9255158 47.8720009, -3.9255653 47.8720546, -3.925601 47.8721006, -3.9256242 47.8721359, -3.9256501 47.8721879, -3.9256799 47.872276)",4,,,,,
97765853,False,Rue Jacques Toiray,residential,False,50.473,"LINESTRING (-3.9279422 47.8718643, -3.92827 47.8722614)",4,,,,,
97307052,False,Rue Anatole Le Braz,residential,True,117.82800000000002,"LINESTRING (-3.9261854 47.8713269, -3.9263711 47.8716981, -3.9257993 47.8718366, -3.9255877 47.8718862, -3.9255282 47.8719029, -3.9255062 47.8719138, -3.9254842 47.8719247, -3.9254543 47.871947)",4,,,,,
97307053,False,Rue de la Libération,residential,True,100.83200000000001,"LINESTRING (-3.9261854 47.8713269, -3.9252468 47.8715667, -3.9250186 47.8716478, -3.9249748 47.8716684, -3.9249456 47.8716822)",4,,,,,
97307053,False,Rue de la Libération,residential,False,100.83200000000001,"LINESTRING (-3.9249456 47.8716822, -3.9249748 47.8716684, -3.9250186 47.8716478, -3.9252468 47.8715667, -3.9261854 47.8713269)",4,,,,,
97307056,False,Boulevard Bougainville,tertiary,False,48.294000000000004,"LINESTRING (-3.9249456 47.8716822, -3.9249847 47.8717047, -3.9250499 47.8717427, -3.9251202 47.8717745, -3.9251501 47.8717881, -3.9252841 47.8718425, -3.9253515 47.8718739, -3.9254016 47.8719062, -3.9254543 47.871947)",4,,,,,
97375788,True,Rue Villebois-Mareuil,living_street,False,43.134,"LINESTRING (-3.9207843 47.8716721, -3.9202549 47.8718282)",4,20,,,,
97375757,True,Rue Jean Bart,living_street,False,15.898,"LINESTRING (-3.9207843 47.8716721, -3.9208365 47.8717529, -3.9208421 47.8717757, -3.9208431 47.8718075)",4,20,,,,
97375772,True,Rue Dumont-d'Urville,living_street,False,13.359,"LINESTRING (-3.9199005 47.8713283, -3.9200598 47.8712734)",4,20,,,,
97375784,True,Rue Yves Aubert,living_street,False,61.552,"LINESTRING (-3.9199005 47.8713283, -3.9202549 47.8718282)",4,20,,,,
97375776,True,Rue Dumont-d'Urville,living_street,False,39.327,"LINESTRING (-3.9194282 47.8714855, -3.9199005 47.8713283)",4,20,,,,
97375790,True,Rue Villebois-Mareuil,living_street,False,38.656,"LINESTRING (-3.9202549 47.8718282, -3.9197891 47.8719806)",4,20,,,,
97375786,True,Rue Chateaubriand,living_street,False,61.282,"LINESTRING (-3.9197891 47.8719806, -3.9194282 47.8714855)",4,20,,,,
97375792,True,Rue Villebois-Mareuil,living_street,False,44.120000000000005,"LINESTRING (-3.9197891 47.8719806, -3.9193166 47.8720862, -3.9192312 47.8721117)",4,20,,,,
97375778,True,Rue Dumont-d'Urville,living_street,False,41.711,"LINESTRING (-3.918918 47.871637, -3.9190416 47.8716119, -3.9194282 47.8714855)",4,20,,,,
789059216,True,Place Général de Gaulle,living_street,False,57.816,"LINESTRING (-3.918918 47.871637, -3.918929 47.8716564, -3.9189599 47.8717141, -3.9191678 47.8720407, -3.9191976 47.8720741, -3.9192312 47.8721117)",4,20,1,,,
914115002,False,,living_street,False,6.793,"LINESTRING (-3.9170121 47.8713224, -3.9170982 47.8713025)",,,,,,
"[97378181, 871743863]",True,Quai Pénéroff,secondary,False,83.721,"LINESTRING (-3.9170121 47.8713224, -3.9170262 47.8713489, -3.9172461 47.8717645, -3.9173413 47.8719443, -3.9173882 47.8720318)",5,30,1,,,
