osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction,ref,access,est_width,width,tunnel,bridge
"[865354840, 1159143306, 1159143307, 865354839]",True,2,Avenue de la Dentelle,secondary,50,False,82.84600000000002,"LINESTRING (3.8884292 45.0414884, 3.8885533 45.0417599, 3.8885962 45.0418453, 3.8886223 45.0418996, 3.8886548 45.0419509, 3.8887076 45.0420392, 3.8887236 45.0420659, 3.8887956 45.0421863)",,,,,,,
126257051,False,,Rue des Farges,residential,20,False,53.358000000000004,"LINESTRING (3.8800229 45.0468694, 3.8801577 45.0468481, 3.8803572 45.046788, 3.8805997 45.046707, 3.8806486 45.0466878)",,,,,,,
25378972,False,,Rue Montferrand,residential,30,False,74.083,"LINESTRING (3.8806486 45.0466878, 3.8810046 45.0466615, 3.881532 45.0466154, 3.8815852 45.0466107)",,,,,,,
126257051,False,,Rue des Farges,residential,20,False,46.632000000000005,"LINESTRING (3.8806486 45.0466878, 3.8807916 45.0466173, 3.8808929 45.0465463, 3.8810336 45.0464171, 3.8810652 45.0463937)",,,,,,,
126257051,False,,Rue des Farges,residential,20,True,53.358000000000004,"LINESTRING (3.8806486 45.0466878, 3.8805997 45.046707, 3.8803572 45.046788, 3.8801577 45.0468481, 3.8800229 45.0468694)",,,,,,,
25379064,False,,Rue Grangevieille,residential,,False,17.468,"LINESTRING (3.8825203 45.0453543, 3.8823232 45.0452816)",,,,,,,
25379134,False,,Rue des Tables,living_street,20,False,30.793,"LINESTRING (3.8825203 45.0453543, 3.882699 45.0454377, 3.8828679 45.0454769)",,,,,,,
38054778,False,,Rue Raphaël,living_street,20,True,56.823,"LINESTRING (3.8825203 45.0453543, 3.8825291 45.0452861, 3.882607 45.0449682, 3.8826379 45.0448503)",,,,,,,
"[126257051, 868723708]",False,,Rue des Farges,"['living_street', 'residential']",20,True,134.596,"LINESTRING (3.8825203 45.0453543, 3.8825066 45.0454091, 3.8824855 45.0454552, 3.8824121 45.0455203, 3.8823777 45.0455508, 3.8820219 45.0458277, 3.881952 45.0458609, 3.8818363 45.0459213, 3.8817817 45.045954, 3.8814382 45.0461599, 3.8813525 45.0462124)",,,,,,,
4892900,True,,,secondary,50,False,7.117,"LINESTRING (3.887757 45.0497655, 3.8877117 45.0497644, 3.8876691 45.0497536)",roundabout,,,,,,
