osmid,lanes,name,highway,junction,oneway,reversed,length,geometry,ref,maxspeed,access
159144496,2,Square Pierre Griffi,primary,roundabout,True,False,21.966,"LINESTRING (8.7392076 41.9269758, 8.7391553 41.9269943, 8.7390903 41.9270033, 8.7390266 41.9269953, 8.7389568 41.9269713)",,,
7996368,,Rue Louis Frediani,tertiary,,True,False,45.547,"LINESTRING (8.7380179 41.9249683, 8.7380978 41.9249593, 8.7383248 41.9249372, 8.7385629 41.9249105)",,,
"[1073682986, 159057607]",3,Cours Napoléon,primary,,False,True,104.544,"LINESTRING (8.7380179 41.9249683, 8.738037 41.9250472, 8.7380852 41.9252902, 8.7380974 41.9253442, 8.7381238 41.9254611, 8.7381672 41.9256587, 8.7381765 41.9257112, 8.7382095 41.9258975)",T 21,,
"[1073682987, 829756331, 1073682988, 159057606]","['3', '2']",Cours Napoléon,primary,,False,False,152.471,"LINESTRING (8.7380179 41.9249683, 8.7380054 41.9249027, 8.7379753 41.9247441, 8.7379683 41.9247071, 8.737927 41.9245172, 8.7378861 41.9243501, 8.7378748 41.924282, 8.7377986 41.923891, 8.7377401 41.9236129)",T 21,,
360376886,,Boulevard Masseria,residential,,False,False,28.96,"LINESTRING (8.7368452 41.9251071, 8.7367808 41.9248511)",,,
7982832,,Rue du Comte Bacciochi,residential,,True,False,48.808,"LINESTRING (8.7368452 41.9251071, 8.7369569 41.9250912, 8.7374267 41.9250332)",,,
360376886,,Boulevard Masseria,residential,,False,True,28.96,"LINESTRING (8.7367808 41.9248511, 8.7368452 41.9251071)",,,
159144501,3,Boulevard Sampiero,primary,,False,True,74.31500000000001,"LINESTRING (8.7389159 41.9248929, 8.7389308 41.9248294, 8.7390189 41.9242291)",,50,
1073683002,3,Boulevard Sampiero,primary,,False,False,74.53,"LINESTRING (8.7389159 41.9248929, 8.738904 41.9249996, 8.738809 41.9253921, 8.7387765 41.9255547)",D 11,50,
22822287,3,Cours Napoléon,primary,,False,False,54.994,"LINESTRING (8.7383131 41.9263859, 8.7383089 41.9263675, 8.7382257 41.9260037, 8.7382095 41.9258975)",T 21,,
22873808,,Avenue Beverini Vico,secondary,,False,False,29.395000000000003,"LINESTRING (8.7383131 41.9263859, 8.7381994 41.9263899, 8.7379613 41.9264199)",,,
22873817,3,Cours Napoléon,primary,,False,True,141.534,"LINESTRING (8.7383131 41.9263859, 8.7383341 41.9264799, 8.7384381 41.9270083, 8.7384781 41.9272025, 8.7384982 41.9273265, 8.7385156 41.9274084, 8.7385641 41.9276449)",T 21,,
22822287,3,Cours Napoléon,primary,,False,True,54.994,"LINESTRING (8.7382095 41.9258975, 8.7382257 41.9260037, 8.7383089 41.9263675, 8.7383131 41.9263859)",T 21,,
330430898,2,,secondary,,False,True,139.284,"LINESTRING (8.7382095 41.9258975, 8.7383047 41.9258652, 8.7384208 41.9258815, 8.7384774 41.9259401, 8.7384945 41.925995, 8.7386527 41.9268841, 8.7386651 41.9269449)",,,
"[1073682986, 159057607]",3,Cours Napoléon,primary,,False,False,104.544,"LINESTRING (8.7382095 41.9258975, 8.7381765 41.9257112, 8.7381672 41.9256587, 8.7381238 41.9254611, 8.7380974 41.9253442, 8.7380852 41.9252902, 8.738037 41.9250472, 8.7380179 41.9249683)",T 21,,
159057606,2,Cours Napoléon,primary,,False,True,39.993,"LINESTRING (8.7375555 41.9227371, 8.7376262 41.9230929)",T 21,,
24724493,,Rue des Trois Maries,residential,,True,False,112.688,"LINESTRING (8.7375555 41.9227371, 8.7376578 41.9227278, 8.7385325 41.9226485, 8.7389073 41.9226131)",,,
159202747,3,Cours Napoléon,primary,,False,True,55.616,"LINESTRING (8.7386585 41.9281339, 8.7387567 41.9286287)",T 21,,
22879002,,Avenue Colonel Colonna d'Ornano,residential,,True,False,29.48,"LINESTRING (8.7386585 41.9281339, 8.7383859 41.9281824, 8.7383119 41.9281955)",,,
159057608,3,Cours Napoléon,primary,,False,False,54.939,"LINESTRING (8.7386585 41.9281339, 8.7385714 41.9276993, 8.7385641 41.9276449)",T 21,50,
25373661,,Rue Antoine Sollacaro,residential,,False,True,245.54000000000002,"LINESTRING (8.7392817 41.9300213, 8.7391867 41.9300409, 8.7387341 41.9301344, 8.7385653 41.9297287, 8.738329 41.9297811, 8.7381986 41.9294624, 8.7382229 41.9294274, 8.7381768 41.9291953, 8.7388126 41.9290579, 8.7389127 41.9290363)",,,
159202747,3,Cours Napoléon,primary,,False,False,113.70500000000001,"LINESTRING (8.7392817 41.9300213, 8.7391412 41.9296588, 8.7390997 41.92955, 8.7389127 41.9290363)",T 21,,
