osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref,lanes,width,bridge,access
361683126,Rue de Fougères,secondary,30,False,True,31.856,"LINESTRING (-1.2163259 48.1262001, -1.2163105 48.1262421, -1.2162457 48.1262918, -1.2160826 48.1263546, -1.2160155 48.1263804)",,,,,,
"[22869544, 735477852]",Rue Pasteur,secondary,30,False,False,144.11299999999997,"LINESTRING (-1.2163259 48.1262001, -1.2163211 48.126143, -1.2162878 48.1260882, -1.2162706 48.1260695, -1.2161142 48.1259147, -1.2160698 48.1258698, -1.2160408 48.1258095, -1.2160055 48.1256981, -1.2159953 48.1255408, -1.2160001 48.1252448, -1.2160003 48.1252408, -1.2160023 48.1251859, -1.2160177 48.1250145, -1.2160286 48.124959)",,,,,,
"[22869544, 735477852]",Rue Pasteur,secondary,30,False,True,144.113,"LINESTRING (-1.2160286 48.124959, -1.2160177 48.1250145, -1.2160023 48.1251859, -1.2160003 48.1252408, -1.2160001 48.1252448, -1.2159953 48.1255408, -1.2160055 48.1256981, -1.2160408 48.1258095, -1.2160698 48.1258698, -1.2161142 48.1259147, -1.2162706 48.1260695, -1.2162878 48.1260882, -1.2163211 48.126143, -1.2163259 48.1262001)",,,,,,
"[597063920, 54293265]",Rue des Augustins,secondary,30,False,False,131.18300000000002,"LINESTRING (-1.2160286 48.124959, -1.2160488 48.124937, -1.2162346 48.1248292, -1.2164482 48.1247061, -1.2165583 48.1246512, -1.2165819 48.1246271, -1.216588 48.124603, -1.2165026 48.1241353, -1.2164831 48.1240287, -1.2165038 48.1239522)",,,,,,
"[164446666, 735477839]",Rue du Val,residential,30,False,False,160.96300000000002,"LINESTRING (-1.2160286 48.124959, -1.2159707 48.1249557, -1.2158714 48.1249501, -1.2157266 48.1249537, -1.2153129 48.1249757, -1.2151552 48.1249841, -1.2138732 48.1250951)",,,,,,
22869545,Place du Général Leclerc,secondary,30,True,False,23.461000000000002,"LINESTRING (-1.2101015 48.1231504, -1.2100954 48.1231205, -1.2100761 48.1230933, -1.2100453 48.1230712, -1.210006 48.1230564, -1.2099618 48.1230502, -1.2099169 48.1230532, -1.2098754 48.1230651)",roundabout,,,,,
54293269,Rue de la Liberté,secondary,30,False,True,103.814,"LINESTRING (-1.2101015 48.1231504, -1.2102524 48.1231711, -1.2103709 48.1231827, -1.211224 48.1230907, -1.2113969 48.1230806, -1.2114832 48.1230729)",,,,,,
22869545,Place du Général Leclerc,secondary,30,True,False,13.992,"LINESTRING (-1.2098512 48.1232197, -1.2098899 48.1232377, -1.2099351 48.1232465, -1.2099822 48.1232455, -1.2100264 48.1232346)",roundabout,,,,,
22869546,Boulevard Saint-Martin,secondary,30,False,False,23.864,"LINESTRING (-1.2098512 48.1232197, -1.2098073 48.1232393, -1.2097256 48.1232548, -1.2095457 48.1232798)",,,,,,
22869546,Boulevard Saint-Martin,secondary,30,False,False,142.304,"LINESTRING (-1.2095457 48.1232798, -1.2087833 48.1233655, -1.2078462 48.1234753, -1.2076568 48.1234987)",,,,,,
22869546,Boulevard Saint-Martin,secondary,30,False,True,23.864000000000004,"LINESTRING (-1.2095457 48.1232798, -1.2097256 48.1232548, -1.2098073 48.1232393, -1.2098512 48.1232197)",,,,,,
167039249,Rue Ducoudray,residential,30,False,False,32.97,"LINESTRING (-1.2095457 48.1232798, -1.2095598 48.1233114, -1.2095587 48.1233287, -1.2095605 48.1233539, -1.2095531 48.1233736, -1.2095334 48.1233893, -1.2093509 48.1235221)",,,,,,
"[802997025, 597063918, 597063919, 54293264, 22869588]","['Promenade Saint-Yves', 'Rue de Brest']",secondary,30,False,False,230.04500000000002,"LINESTRING (-1.2165038 48.1239522, -1.2163851 48.1238955, -1.2156154 48.1235375, -1.2155527 48.1235081, -1.2155165 48.1234911, -1.2152866 48.1233844, -1.2151677 48.1233294, -1.2150678 48.1232879, -1.2149548 48.1232461, -1.2147043 48.123197, -1.2140561 48.1231315, -1.2139731 48.1231231, -1.2137535 48.1231006)",,D 857,,,,
50158836,Rue de Brest,secondary,30,False,False,406.949,"LINESTRING (-1.2165038 48.1239522, -1.2165357 48.1239666, -1.2167374 48.1240574, -1.2171708 48.1242508, -1.2177349 48.1245094, -1.2179163 48.1245664, -1.2181007 48.1246005, -1.2182882 48.1246133, -1.2185033 48.1246108, -1.2187353 48.1245731, -1.2189309 48.1245077, -1.2191676 48.1243783, -1.2208767 48.1233698, -1.2209928 48.1233011)",,D 857,,,,
"[597063920, 54293265]",Rue des Augustins,secondary,30,False,True,131.183,"LINESTRING (-1.2165038 48.1239522, -1.2164831 48.1240287, -1.2165026 48.1241353, -1.216588 48.124603, -1.2165819 48.1246271, -1.2165583 48.1246512, -1.2164482 48.1247061, -1.2162346 48.1248292, -1.2160488 48.124937, -1.2160286 48.124959)",,,,,,
"[617596081, 617596079]",Promenade Saint-Yves,secondary,30,False,False,69.806,"LINESTRING (-1.2131474 48.123052, -1.2130566 48.1230448, -1.2130157 48.1230415, -1.2128756 48.123035, -1.2124816 48.1230369, -1.2123927 48.1230396, -1.2122099 48.1230556)",,D 857,2,,,
