osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,junction,access,bridge,width
28491803,2,Avenue François Mitterrand,secondary,False,False,159.39600000000002,"LINESTRING (-1.201911 48.3498874, -1.2018295 48.349982, -1.2010583 48.3510025, -1.2009384 48.3511667)",,,,,
28491804,,Rue Louis Pasteur,tertiary,False,True,39.518,"LINESTRING (-1.201911 48.3498874, -1.2017473 48.349836, -1.2015773 48.3498269, -1.2013963 48.3498456)",,,,,
533344822,2,Avenue François Mitterrand,secondary,False,True,35.493,"LINESTRING (-1.201911 48.3498874, -1.2020722 48.3497244, -1.2021616 48.3496154)",,,,,
28491804,,Rue Louis Pasteur,tertiary,False,False,169.04500000000002,"LINESTRING (-1.1964425 48.3503893, -1.1966089 48.3503727, -1.1968854 48.350345, -1.1974894 48.3502791, -1.1987006 48.3501462)",,,,,
646400037,,Rue Louis Pasteur,tertiary,True,False,16.616,"LINESTRING (-1.1964425 48.3503893, -1.196366 48.3503823, -1.1962986 48.3503623, -1.1962312 48.3503423)",,,,,
26532503,2,Place de la République,secondary,True,False,62.5,"LINESTRING (-1.1962312 48.3503423, -1.1962259 48.3503125, -1.1962157 48.3502828, -1.1961783 48.3502359, -1.1960184 48.3500558, -1.1959379 48.3499595, -1.1958398 48.3498479)",30,,,,
265587235,,Rue des Feuteries,secondary,True,False,29.807,"LINESTRING (-1.1958332 48.3506133, -1.1958813 48.3506703, -1.1960486 48.3508398)",30,,,,
416655503,2,Place de la République,secondary,True,False,12.652000000000001,"LINESTRING (-1.1958332 48.3506133, -1.1959027 48.3506169, -1.1960033 48.3506079)",30,,,,
415088892,2,Place de la République,secondary,True,False,7.929,"LINESTRING (-1.1960033 48.3506079, -1.1960617 48.3505885, -1.1960958 48.3505722)",30,,,,
646400035,,Rue Louis Pasteur,tertiary,True,False,18.631,"LINESTRING (-1.196214 48.3504601, -1.1964425 48.3503893)",,,,,
26532503,2,Place de la République,secondary,True,False,13.239,"LINESTRING (-1.196214 48.3504601, -1.1962335 48.3503926, -1.1962312 48.3503423)",30,,,,
