osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed
142057716,residential,False,True,80.25800000000001,"LINESTRING (-62.8470799 17.8931828, -62.8472098 17.8931611, -62.847408 17.8931465, -62.847473 17.8931613, -62.8478322 17.8931276)",,,
369710115,tertiary,False,False,54.076,"LINESTRING (-62.8470799 17.8931828, -62.8470929 17.893218, -62.847155 17.8934674, -62.8472017 17.8936549)",2,Route de Lurin,30
142098962,residential,False,True,53.172000000000004,"LINESTRING (-62.8471693 17.8944053, -62.8469777 17.8944529, -62.8468189 17.8945263, -62.8467093 17.8945891)",,,
369710115,tertiary,False,False,50.68,"LINESTRING (-62.8471693 17.8944053, -62.8472119 17.8944319, -62.8472998 17.8944345, -62.84756 17.8944178, -62.8475915 17.8944258, -62.8476138 17.8944348, -62.8476279 17.8944514)",2,Route de Lurin,30
369710115,tertiary,False,True,72.63499999999999,"LINESTRING (-62.8471693 17.8944053, -62.8471577 17.8943643, -62.8472066 17.8941778, -62.8472417 17.8940681, -62.8472598 17.8939722, -62.8472591 17.8938706, -62.8472553 17.8938297, -62.8472335 17.8937694)",2,Route de Lurin,30
"[362192106, 24552925]",tertiary,True,False,214.10899999999998,"LINESTRING (-62.8476279 17.8944514, -62.8474153 17.8946323, -62.8470276 17.8949283, -62.8470044 17.8949535, -62.8469762 17.8950083, -62.8469802 17.8950505, -62.847011 17.8950913, -62.8470795 17.8951717, -62.8473927 17.8955585, -62.8476412 17.895837, -62.8476674 17.8958641)",1,"['Rue des Normands', 'Rue Lubin Brin']",30
369710115,tertiary,False,True,50.68,"LINESTRING (-62.8476279 17.8944514, -62.8476138 17.8944348, -62.8475915 17.8944258, -62.84756 17.8944178, -62.8472998 17.8944345, -62.8472119 17.8944319, -62.8471693 17.8944053)",2,Route de Lurin,30
24552826,residential,False,False,77.252,"LINESTRING (-62.8517023 17.894981, -62.8512233 17.8944567)",,Rue de la Colline,
24552871,residential,False,False,44.336,"LINESTRING (-62.8517023 17.894981, -62.8513593 17.89521)",,Rue des Marins,
1058771630,residential,False,True,28.518,"LINESTRING (-62.8517023 17.894981, -62.8519209 17.894831)",,Rue des Marins,
"[24552826, 24552893]",residential,False,True,250.531,"LINESTRING (-62.8517023 17.894981, -62.8523446 17.8957308, -62.8524497 17.8958535, -62.8527296 17.8961646, -62.8529727 17.8964917, -62.8526869 17.896655)",,"['Rue de la Colline', 'Rue Stephen Atwater']",
24552826,residential,False,True,77.252,"LINESTRING (-62.8512233 17.8944567, -62.8517023 17.894981)",,Rue de la Colline,
24552859,residential,False,True,41.918,"LINESTRING (-62.8504449 17.8941123, -62.8507482 17.8938698)",,Rue Samuel Fahlberg,
24552841,residential,True,False,155.762,"LINESTRING (-62.8504449 17.8941123, -62.8506756 17.8943819, -62.8508851 17.894635, -62.850948 17.8947099, -62.8513593 17.89521)",,Rue de Pére Irénée de Bruyn,
24552871,residential,False,True,44.336,"LINESTRING (-62.8513593 17.89521, -62.8517023 17.894981)",,Rue des Marins,
361599553,residential,False,False,45.866,"LINESTRING (-62.8513593 17.89521, -62.8510131 17.8954582)",,Rue des Marins,
361488177,residential,False,False,213.44,"LINESTRING (-62.8513593 17.89521, -62.8517868 17.8956754, -62.8523356 17.8962849, -62.8526869 17.896655)",,Rue de Pére Irénée de Bruyn,
"[24552826, 24552893]",residential,False,False,250.531,"LINESTRING (-62.8526869 17.896655, -62.8529727 17.8964917, -62.8527296 17.8961646, -62.8524497 17.8958535, -62.8523446 17.8957308, -62.8517023 17.894981)",,"['Rue Stephen Atwater', 'Rue de la Colline']",
24552893,residential,False,True,74.701,"LINESTRING (-62.8526869 17.896655, -62.8523982 17.8968533, -62.8521164 17.8970507)",,Rue Stephen Atwater,
