osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,ref,lanes
18637415,secondary,roundabout,True,False,21.557000000000002,"LINESTRING (-2.763504 48.5367523, -2.7634572 48.5367668, -2.7633971 48.5368, -2.7633659 48.5368385, -2.7633596 48.5369025)",,,,
18637415,secondary,roundabout,True,False,17.192,"LINESTRING (-2.7637075 48.5368112, -2.7636634 48.5367787, -2.7636052 48.5367582, -2.763504 48.5367523)",,,,
428065878,residential,,False,True,48.957,"LINESTRING (-2.7637075 48.5368112, -2.7637466 48.5368043, -2.7638548 48.5367853, -2.7639125 48.5367752, -2.764276 48.5366536, -2.7643167 48.53664)",François Jégou,30,,
18637415,secondary,roundabout,True,False,18.872999999999998,"LINESTRING (-2.7636787 48.536968, -2.7637173 48.5369326, -2.7637362 48.5368748, -2.7637233 48.536832, -2.7637075 48.5368112)",,,,
18637450,tertiary,,False,False,43.370000000000005,"LINESTRING (-2.7636787 48.536968, -2.7637016 48.5370026, -2.7637548 48.5370832, -2.7639149 48.5373253)",Rue Mozart,30,,
18637415,secondary,roundabout,True,False,29.870999999999995,"LINESTRING (-2.7633596 48.5369025, -2.7633784 48.5369365, -2.7634109 48.536966, -2.7634646 48.5369913, -2.7635282 48.537003, -2.7635812 48.5370014, -2.7636429 48.5369861, -2.7636787 48.536968)",,,,
18637450,tertiary,,False,True,62.144,"LINESTRING (-2.7648735 48.5383521, -2.7647332 48.5382237, -2.7644083 48.537886)",Rue Mozart,30,,
143914749,residential,,False,False,106.048,"LINESTRING (-2.7648735 48.5383521, -2.7646198 48.5385661, -2.7643891 48.5387579, -2.7640887 48.5388396, -2.7637669 48.5388999)",Impasse de la Noë Rido,,,
342759937,residential,,False,True,239.25800000000004,"LINESTRING (-2.7648735 48.5383521, -2.7646627 48.5383281, -2.7639171 48.5381931, -2.7632412 48.5380475, -2.76293 48.5379338, -2.7624156 48.5377252, -2.7624935 48.537634, -2.7628333 48.537454)",Rue de la Noë Rido,30,,
342759939,tertiary,,False,False,59.59,"LINESTRING (-2.7648735 48.5383521, -2.7650382 48.5384428, -2.765179 48.5384924, -2.7655637 48.5386278)",Rue de la Noë Rido,30,,
"[1059826250, 1059826251]",residential,,False,"[False, True]",121.194,"LINESTRING (-2.7648735 48.5383521, -2.7650775 48.5382519, -2.7653311 48.5379114, -2.7660736 48.5381398)",Impasse de la Basse Lande,,,
342759939,tertiary,,False,True,84.05799999999999,"LINESTRING (-2.7665866 48.5389628, -2.766429 48.5389046, -2.7659666 48.5387652, -2.7655637 48.5386278)",Rue de la Noë Rido,30,,
"[143914768, 645703204]",residential,,False,True,151.125,"LINESTRING (-2.7665866 48.5389628, -2.766649 48.5388136, -2.766727 48.5386425, -2.7668464 48.5383641, -2.7671743 48.5376607)",Rue Louis le Faucheur,50,,
365732190,tertiary,,False,False,69.737,"LINESTRING (-2.7645849 48.5343702, -2.7655258 48.5342984)",Rue des Chênes,30,,
26099767,residential,,False,False,64.095,"LINESTRING (-2.7645849 48.5343702, -2.7646382 48.5344256, -2.7650525 48.5348564)",Rue des Tilleuls,30,,
365732190,tertiary,,False,True,32.147,"LINESTRING (-2.7645849 48.5343702, -2.7645396 48.5343708, -2.7641484 48.5343764)",Rue des Chênes,30,,
365732190,tertiary,,False,False,43.442,"LINESTRING (-2.7635597 48.5343504, -2.7641484 48.5343764)",Rue des Chênes,30,,
"[49776536, 779170499]",residential,,False,False,132.185,"LINESTRING (-2.7635597 48.5343504, -2.7635114 48.5344409, -2.7635755 48.5350397, -2.7635901 48.5351082, -2.7636756 48.5355277)",Rue des Acacias,30,,
1094532145,residential,,False,True,47.449,"LINESTRING (-2.7635597 48.5343504, -2.7635998 48.5342215, -2.7636878 48.5339322)",,,,
26099770,tertiary,,False,False,38.193,"LINESTRING (-2.7674882 48.5350601, -2.7673789 48.5351124, -2.7672689 48.5351375, -2.7670095 48.5351808)",Rue des Sports,30,,
48655456,tertiary,,False,True,68.314,"LINESTRING (-2.7674882 48.5350601, -2.7675784 48.5350248, -2.7677071 48.5350014, -2.7680918 48.5349233, -2.7681475 48.5349126, -2.7683677 48.5348705)",Place du Souvenir,30,,
"[115114286, 143914759]",residential,,False,True,61.54900000000001,"LINESTRING (-2.7674882 48.5350601, -2.7675126 48.5350999, -2.7675721 48.5351945, -2.7675895 48.5353208, -2.7675615 48.5354099, -2.7675279 48.5355803, -2.7675267 48.5355987)",Rue Louis le Faucheur,30,,
26099770,tertiary,,False,True,38.193,"LINESTRING (-2.7670095 48.5351808, -2.7672689 48.5351375, -2.7673789 48.5351124, -2.7674882 48.5350601)",Rue des Sports,30,,
"[26983492, 143078030]",tertiary,,False,"[False, True]",156.223,"LINESTRING (-2.7670095 48.5351808, -2.7669787 48.535086, -2.76689 48.5348243, -2.7668568 48.5347445, -2.7667506 48.5344915, -2.7667172 48.5344121, -2.7666236 48.5343689, -2.7665846 48.5343653, -2.7664578 48.5343547, -2.7659484 48.534306, -2.7658214 48.5342942)",Rue des Chênes,30,,
440106510,residential,,False,False,150.542,"LINESTRING (-2.7670095 48.5351808, -2.7668997 48.5352595, -2.766808 48.5353252, -2.7666058 48.5354708, -2.766367 48.5356428, -2.7661466 48.5357797, -2.7656922 48.5360129, -2.7655144 48.5360976)",François Jégou,30,,
428065878,residential,,False,False,48.956999999999994,"LINESTRING (-2.7643167 48.53664, -2.764276 48.5366536, -2.7639125 48.5367752, -2.7638548 48.5367853, -2.7637466 48.5368043, -2.7637075 48.5368112)",François Jégou,30,,
"[428065881, 440106510]",residential,,False,True,106.90899999999999,"LINESTRING (-2.7643167 48.53664, -2.7646918 48.53645, -2.7655144 48.5360976)",François Jégou,30,,
779170499,residential,,False,True,132.659,"LINESTRING (-2.7643167 48.53664, -2.763941 48.5360959, -2.7636756 48.5355277)",Rue des Acacias,30,,
26099767,residential,,False,True,149.315,"LINESTRING (-2.7655144 48.5360976, -2.7650799 48.5357403, -2.7650759 48.5355751, -2.7650525 48.5348564)",Rue des Tilleuls,30,,
"[428065881, 440106510]",residential,,False,False,106.90899999999999,"LINESTRING (-2.7655144 48.5360976, -2.7646918 48.53645, -2.7643167 48.53664)",François Jégou,30,,
440106510,residential,,False,True,150.542,"LINESTRING (-2.7655144 48.5360976, -2.7656922 48.5360129, -2.7661466 48.5357797, -2.766367 48.5356428, -2.7666058 48.5354708, -2.766808 48.5353252, -2.7668997 48.5352595, -2.7670095 48.5351808)",François Jégou,30,,
26099767,residential,,False,False,149.315,"LINESTRING (-2.7650525 48.5348564, -2.7650759 48.5355751, -2.7650799 48.5357403, -2.7655144 48.5360976)",Rue des Tilleuls,30,,
26099767,residential,,False,True,64.095,"LINESTRING (-2.7650525 48.5348564, -2.7646382 48.5344256, -2.7645849 48.5343702)",Rue des Tilleuls,30,,
115118914,residential,,False,False,145.19,"LINESTRING (-2.7650525 48.5348564, -2.764871 48.5348875, -2.7646002 48.53493, -2.7644091 48.5349539, -2.7643614 48.5349804, -2.7643216 48.5350601, -2.7641835 48.535437, -2.7641384 48.5354662, -2.7640694 48.5354794, -2.7639102 48.5354874, -2.7636756 48.5355277)",Rue des Cerisiers,30,,
115118914,residential,,False,True,145.19000000000003,"LINESTRING (-2.7636756 48.5355277, -2.7639102 48.5354874, -2.7640694 48.5354794, -2.7641384 48.5354662, -2.7641835 48.535437, -2.7643216 48.5350601, -2.7643614 48.5349804, -2.7644091 48.5349539, -2.7646002 48.53493, -2.764871 48.5348875, -2.7650525 48.5348564)",Rue des Cerisiers,30,,
779170499,residential,,False,False,132.659,"LINESTRING (-2.7636756 48.5355277, -2.763941 48.5360959, -2.7643167 48.53664)",Rue des Acacias,30,,
