osmid,name,highway,junction,oneway,reversed,length,geometry,ref,maxspeed,lanes,access
230078246,Rond-Point de Gameville,primary,roundabout,True,False,7.093,"LINESTRING (1.5365698 43.5486679, 1.5365862 43.5486963, 1.5365913 43.5487291)",,,,
34067197,Avenue de Gameville,primary,,False,True,125.99099999999999,"LINESTRING (1.5311196 43.5553742, 1.5313227 43.5552046, 1.5315809 43.5549932, 1.5317204 43.5548766, 1.5318994 43.5547224, 1.5321395 43.5545155)",M 2,,,
242310798,Avenue des Chênes,residential,,False,True,64.172,"LINESTRING (1.5311196 43.5553742, 1.5310168 43.5552985, 1.5308823 43.555189, 1.5305858 43.5549461)",,,,
242310799,Avenue de Gameville,primary,,False,False,83.611,"LINESTRING (1.5311196 43.5553742, 1.5310297 43.5554481, 1.5307172 43.5557052, 1.5305791 43.5558194, 1.5304369 43.5559404)",M 2,,,
1132949004,Avenue Jean Bellieres,residential,,False,True,10.257,"LINESTRING (1.5298521 43.5543507, 1.5297816 43.5542739)",,30,,
23903293,Avenue Armand Leygue,residential,,False,True,19.207,"LINESTRING (1.5298521 43.5543507, 1.5297268 43.5543757, 1.5296289 43.554342)",,,,
242310798,Avenue des Chênes,residential,,False,False,88.808,"LINESTRING (1.5298521 43.5543507, 1.529894 43.5543765, 1.5303955 43.5547914, 1.5305858 43.5549461)",,,,
23903369,Rue du Moulin,residential,,False,False,58.785,"LINESTRING (1.5305858 43.5549461, 1.5306645 43.554898, 1.530956 43.5547196, 1.5311494 43.5546106)",,30,,
242310798,Avenue des Chênes,residential,,False,False,64.172,"LINESTRING (1.5305858 43.5549461, 1.5308823 43.555189, 1.5310168 43.5552985, 1.5311196 43.5553742)",,,,
242310798,Avenue des Chênes,residential,,False,True,88.808,"LINESTRING (1.5305858 43.5549461, 1.5303955 43.5547914, 1.529894 43.5543765, 1.5298521 43.5543507)",,,,
23903356,Rue du Moulin,residential,,False,False,181.71900000000002,"LINESTRING (1.5311494 43.5546106, 1.5310337 43.5545476, 1.5309097 43.5544781, 1.5308654 43.5544042, 1.5308399 43.5543236, 1.5308576 43.5542328, 1.5310686 43.5539842, 1.5312003 43.5538338, 1.5313068 43.553702, 1.5313211 43.5536281, 1.5312947 43.5535746, 1.5312467 43.5535088, 1.531242 43.5534559, 1.5312813 43.553386, 1.531358 43.5533185, 1.5314783 43.5532416)",,30,,
