osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,junction,access,tunnel
60400328,True,Place du Café des Images,tertiary,False,20.43,"LINESTRING (-0.3323266 49.201628, -0.3322961 49.201627, -0.3321942 49.2016237, -0.3320493 49.2016021)",,,,,
60400329,False,Place du Café des Images,tertiary,True,28.612000000000002,"LINESTRING (-0.3323266 49.201628, -0.3325333 49.2016346, -0.3326772 49.2016386, -0.33272 49.2016397)",,,,,
1115064789,False,Avenue de Bruxelles,tertiary,True,62.67,"LINESTRING (-0.3323266 49.201628, -0.3323501 49.2015678, -0.3323666 49.2015255, -0.3324974 49.2011579, -0.3325227 49.2010792)",45,,,,
"[60400328, 163204124]",True,"['Place du Café des Images', 'Avenue de Bruxelles']",tertiary,False,69.515,"LINESTRING (-0.3320493 49.2016021, -0.332039 49.2016734, -0.3320135 49.201965, -0.3319904 49.2021476, -0.331984 49.2022139, -0.3319828 49.2022257)",45,,,,
180833462,False,Les Belles Portes,residential,False,130.591,"LINESTRING (-0.3320493 49.2016021, -0.3319716 49.2015907, -0.3317525 49.2015796, -0.3316241 49.2015778, -0.3315825 49.201585, -0.3315514 49.2016071, -0.3314621 49.201786, -0.3314439 49.201808, -0.3314233 49.2018266, -0.3309627 49.2019449, -0.3309084 49.2019534, -0.3308618 49.2019449, -0.3308049 49.2018874, -0.3307249 49.2017568)",,,,,
4610514,False,Boulevard de la Grande Delle,tertiary,True,74.94,"LINESTRING (-0.3411062 49.2067272, -0.3417846 49.2062195)",,,,,
60579180,True,Boulevard de la Grande Delle,tertiary,False,43.946,"LINESTRING (-0.3411062 49.2067272, -0.3407319 49.2068248, -0.3405381 49.2068618)",,,,,
49599907,True,Rue Alexander Fleming,tertiary,False,25.27,"LINESTRING (-0.3403638 49.20732, -0.340455 49.2072276, -0.3405523 49.207129)",,,,,
298077588,False,Rue de la Mairie,tertiary,True,5.019,"LINESTRING (-0.3341185 49.2040184, -0.3341239 49.2039734)",30,,,,
162428412,True,Avenue de la Valeuse,tertiary,False,131.687,"LINESTRING (-0.3341185 49.2040184, -0.334248 49.2040169, -0.3343981 49.2040232, -0.3347515 49.2040294, -0.3349489 49.204038, -0.3351154 49.2040424, -0.33593 49.2040495)",50,1,,,
"[78256288, 549735473, 1123423805]",False,Boulevard du Val,tertiary,True,105.865,"LINESTRING (-0.3341185 49.2040184, -0.3341128 49.2040848, -0.334103 49.2041875, -0.3340894 49.2043051, -0.3340732 49.2044762, -0.3340776 49.204588, -0.3340916 49.2047742, -0.3341044 49.2048847, -0.33412 49.2049683)",,,,,
"[1123423800, 78256292]",False,Boulevard de la Grande Delle,tertiary,True,44.93,"LINESTRING (-0.33412 49.2049683, -0.3342389 49.2049598, -0.3343352 49.2049529, -0.3346111 49.2049328, -0.3347339 49.20492)",,,,,
"[78256288, 549735473, 1123423805]",False,Boulevard du Val,tertiary,False,105.865,"LINESTRING (-0.33412 49.2049683, -0.3341044 49.2048847, -0.3340916 49.2047742, -0.3340776 49.204588, -0.3340732 49.2044762, -0.3340894 49.2043051, -0.334103 49.2041875, -0.3341128 49.2040848, -0.3341185 49.2040184)",,,,,
