osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,bridge,maxspeed,width,junction,access
241705505,2,D 6015E8,primary,False,False,24.873,"LINESTRING (1.486829 49.0943988, 1.4869169 49.0943631, 1.4870394 49.0943277, 1.4871234 49.0943105, 1.4871391 49.0943077)",,,,,,
241705505,2,D 6015E8,primary,False,True,56.24799999999999,"LINESTRING (1.486829 49.0943988, 1.4867494 49.0944531, 1.4864774 49.0946377, 1.486435 49.0946665, 1.486389 49.0947027, 1.4863041 49.0947696)",,,,,,
96774879,2,D 181,secondary,False,True,132.83700000000002,"LINESTRING (1.4792661 49.0905178, 1.4794333 49.0904686, 1.480618 49.0898505, 1.4807167 49.089799)",Rue de Montigny,,,,,
289224399,,D 181,secondary,False,True,18.87,"LINESTRING (1.4792661 49.0905178, 1.4790937 49.0904924, 1.4790133 49.0904805)",Avenue du Maréchal Montgomery,,,,,
"[27601089, 27601090, 289284809]",,D 181,secondary,False,True,24.887,"LINESTRING (1.4821088 49.0892364, 1.4821389 49.0892724, 1.4822371 49.0893661, 1.4822968 49.0894231)",Avenue Pierre Mendès-France,yes,,,,
96774879,2,D 181,secondary,False,False,119.124,"LINESTRING (1.4821088 49.0892364, 1.482012 49.0892748, 1.4819416 49.0893049, 1.4819123 49.0893158, 1.4807826 49.0897724, 1.4807167 49.089799)",Rue de Montigny,,,,,
148831328,2,,residential,False,True,7.564,"LINESTRING (1.4822968 49.0894231, 1.482201 49.0894494)",Rue de la Madeleine,,,,,
96774878,2,D 181,secondary,False,True,100.305,"LINESTRING (1.4822968 49.0894231, 1.4823418 49.0894498, 1.4824442 49.0895106, 1.4824841 49.0895289, 1.4833859 49.0899746)",Avenue Pierre Mendès-France,,,,,
"[289284809, 27601090, 27601089]",,D 181,secondary,False,False,24.887,"LINESTRING (1.4822968 49.0894231, 1.4822371 49.0893661, 1.4821389 49.0892724, 1.4821088 49.0892364)",Avenue Pierre Mendès-France,yes,,,,
"[1264538513, 28237599]",,,secondary,True,False,42.088,"LINESTRING (1.4917996 49.0974467, 1.4919254 49.0975107, 1.4922168 49.097681, 1.492226 49.0976864, 1.4922364 49.0976942)",Rue de la Ravine,,30,,,
39227723,,,residential,False,True,100.73299999999999,"LINESTRING (1.4917996 49.0974467, 1.491762 49.0974286, 1.4916826 49.0973903, 1.4912783 49.0971502, 1.4910408 49.0970088, 1.4908279 49.0968095)",Rue de la Ravine,,,,,
210193835,,,secondary,False,False,81.95700000000001,"LINESTRING (1.4917996 49.0974467, 1.4918306 49.0974324, 1.4919623 49.0973715, 1.4920852 49.0972972, 1.4923854 49.0970659, 1.492413 49.0969774, 1.4924019 49.0968744)",Route de Giverny,,,,,
