osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,junction,tunnel
147910377,True,Rue du Mont de Vaux,secondary,False,17.657,"LINESTRING (3.6273707 49.5667984, 3.6273577 49.5667327, 3.6273395 49.5666409)",,,,,
"[921837408, 722285469, 921837407]",False,Avenue Gambetta,secondary,False,116.55100000000002,"LINESTRING (3.6240332 49.5658034, 3.6239366 49.565833, 3.6236313 49.5659013, 3.6233114 49.5659452, 3.6230438 49.5659582, 3.6228331 49.5659396, 3.6224676 49.5658762)",2,50,,,
157260644,False,,secondary,False,16.071,"LINESTRING (3.6224676 49.5658762, 3.6222639 49.5658176)",,50,,,
192993058,True,Rampe Saint-Marcel,residential,False,25.898,"LINESTRING (3.6224676 49.5658762, 3.6223295 49.5659483, 3.6221711 49.5660062)",,,,,
"[921837408, 722285469, 921837407]",False,Avenue Gambetta,secondary,True,116.551,"LINESTRING (3.6224676 49.5658762, 3.6228331 49.5659396, 3.6230438 49.5659582, 3.6233114 49.5659452, 3.6236313 49.5659013, 3.6239366 49.565833, 3.6240332 49.5658034)",2,50,,,
"[1164999872, 157250763]",False,Rue Franklin Roosevelt,secondary,True,166.322,"LINESTRING (3.6201213 49.5652662, 3.6204365 49.5653367, 3.6205623 49.5653649, 3.6207734 49.5654175, 3.6211084 49.565501, 3.6214709 49.5655914, 3.6218478 49.565698, 3.6222639 49.5658176)",,50,,,
157267165,True,Rue Méchain,tertiary,False,67.849,"LINESTRING (3.6201213 49.5652662, 3.6199951 49.5653088, 3.6198663 49.5653216, 3.6197731 49.5653309, 3.619581 49.5653444, 3.6195445 49.565347, 3.6193836 49.5653157, 3.619217 49.5652789)",2,50,,,
157267165,True,Rue Méchain,tertiary,False,62.201,"LINESTRING (3.619217 49.5652789, 3.6187593 49.5654232, 3.6187003 49.5654215, 3.6186144 49.5653902, 3.6185026 49.5652858)",2,50,,,
157277151,False,Rue Méchain,residential,True,58.127,"LINESTRING (3.619217 49.5652789, 3.6193739 49.5651715, 3.6193976 49.5651553, 3.6194969 49.5651049, 3.6198647 49.564977)",,,,,
27849448,True,Rue du Père Marquette et Louis Jolliet,residential,False,107.882,"LINESTRING (3.6185026 49.5652858, 3.6185608 49.5652507, 3.6188131 49.5650986, 3.6190161 49.5649325, 3.6191987 49.56479, 3.6193811 49.5646166, 3.6194576 49.5645438)",,,,,
198034496,True,Rue du Rempart Saint-Just,residential,False,144.982,"LINESTRING (3.6185026 49.5652858, 3.6182383 49.5653094, 3.6176909 49.5652771, 3.6175395 49.5652799, 3.616963 49.5653701, 3.61663 49.5654116, 3.6165563 49.5654648)",,,,,
