osmid,oneway,lanes,ref,highway,reversed,length,geometry,bridge,maxspeed,junction,name,tunnel
23690890,True,1,D 718,tertiary,False,17.295,"LINESTRING (4.1893923 43.5691185, 4.1894125 43.5690955, 4.1894583 43.5690633, 4.1895072 43.5690256, 4.1895282 43.5689994)",,,,,
"[146764204, 146764165]",False,2,D 718,tertiary,False,67.538,"LINESTRING (4.1893923 43.5691185, 4.1886939 43.5691796, 4.1885591 43.5691811)",yes,30,,,
517321211,True,1,D 979,secondary,False,16.631999999999998,"LINESTRING (4.1898391 43.5690285, 4.189825 43.5690434, 4.1897924 43.5690656, 4.1897624 43.5690778, 4.1897267 43.5690896, 4.1896981 43.5690903, 4.1896636 43.5690894)",,50,roundabout,,
23690888,True,1,D 718,tertiary,False,22.631999999999998,"LINESTRING (4.1896636 43.5690894, 4.1896057 43.5691096, 4.1894514 43.5691275, 4.1893923 43.5691185)",,,,,
685728164,True,1,D 979,secondary,False,15.524,"LINESTRING (4.1896636 43.5690894, 4.1896138 43.5690775, 4.1895723 43.5690543, 4.1895437 43.5690225, 4.1895282 43.5689994)",,50,roundabout,,
926224477,True,1,D 979,secondary,False,2.682,"LINESTRING (4.1895282 43.5689994, 4.1895237 43.5689755)",,50,roundabout,,
23690891,True,1,D 979,secondary,False,54.295,"LINESTRING (4.1897412 43.5688838, 4.1897867 43.5688788, 4.1898566 43.5688672, 4.189958 43.5688389, 4.1900502 43.568799, 4.1903333 43.5686624)",,50,,,
517321208,True,1,D 979,secondary,False,19.387,"LINESTRING (4.1897412 43.5688838, 4.1897622 43.5688932, 4.1897922 43.5689093, 4.1898161 43.56893, 4.1898325 43.5689543, 4.1898405 43.5689808, 4.1898448 43.569001, 4.1898391 43.5690285)",,50,roundabout,,
23690891,True,1,D 979,secondary,False,75.11399999999999,"LINESTRING (4.1903333 43.5686624, 4.1904504 43.5685982, 4.1905231 43.5685583, 4.1906464 43.5684834, 4.1907025 43.5684622, 4.1907725 43.5684358, 4.1909093 43.5683931, 4.1910354 43.5683484, 4.1911105 43.5683484, 4.1911366 43.5683526)",,50,,,
517321210,True,1,D 979,secondary,False,8.965,"LINESTRING (4.189631 43.5688761, 4.1896629 43.5688754, 4.1897093 43.5688783, 4.1897412 43.5688838)",,50,roundabout,,
27090094,False,,,residential,False,57.07,"LINESTRING (4.1909052 43.5679059, 4.190601 43.5674424)",,,,Grand' Rue Jean-Jaurès,
"[27059581, 26368988, 26368989]",False,,,residential,True,44.207,"LINESTRING (4.1909052 43.5679059, 4.1909717 43.5680112, 4.1910323 43.5680791, 4.1910849 43.5681184, 4.1911608 43.5682189, 4.1911856 43.5682449)",,,,,yes
27045918,False,,,residential,False,47.61,"LINESTRING (4.1909052 43.5679059, 4.1909387 43.5678498, 4.1913631 43.5676494)",,,,Rue Émile Zola,
"[27045922, 146764174]",False,,,residential,True,111.456,"LINESTRING (4.1909052 43.5679059, 4.1908627 43.5679524, 4.1901807 43.5680721, 4.1896569 43.5678532)",,,,"['Place du Château', 'Place Anatole France']",
77340959,False,,,residential,False,20.839,"LINESTRING (4.1901994 43.5668873, 4.1904217 43.5667915)",,,,Rue Pasteur,
77340959,False,,,residential,True,23.149,"LINESTRING (4.1901994 43.5668873, 4.1899334 43.566966)",,,,Rue Pasteur,
27090094,False,,,residential,True,69.691,"LINESTRING (4.1901994 43.5668873, 4.1903363 43.5670753, 4.190601 43.5674424)",,,,Grand' Rue Jean-Jaurès,
146764179,False,,,residential,False,88.726,"LINESTRING (4.1896569 43.5678532, 4.190601 43.5674424)",,,,Rue du 4 Septembre,
"[27045922, 146764174]",False,,,residential,False,111.456,"LINESTRING (4.1896569 43.5678532, 4.1901807 43.5680721, 4.1908627 43.5679524, 4.1909052 43.5679059)",,,,"['Place Anatole France', 'Place du Château']",
"[26370204, 146764174]",False,,,residential,True,98.799,"LINESTRING (4.1896569 43.5678532, 4.1895438 43.5677773, 4.1894681 43.5677493, 4.1892999 43.5677571, 4.1890548 43.5677549, 4.1887706 43.567394)",,,,"['Place du Château', 'Boulevard Intérieur Ouest']",
27045997,True,,,residential,False,45.01,"LINESTRING (4.190601 43.5674424, 4.1910885 43.5672447)",,,,Rue de la République,
27090094,False,,,residential,True,57.07,"LINESTRING (4.190601 43.5674424, 4.1909052 43.5679059)",,,,Grand' Rue Jean-Jaurès,
146764179,False,,,residential,True,88.726,"LINESTRING (4.190601 43.5674424, 4.1896569 43.5678532)",,,,Rue du 4 Septembre,
27090094,False,,,residential,False,69.691,"LINESTRING (4.190601 43.5674424, 4.1903363 43.5670753, 4.1901994 43.5668873)",,,,Grand' Rue Jean-Jaurès,
27045997,True,,,residential,False,109.74,"LINESTRING (4.1910885 43.5672447, 4.1922642 43.5667464)",,,,Rue de la République,
