osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,access,tunnel
22903071,True,2,N 7,Route Nationale 7,primary,90,False,268.81899999999996,"LINESTRING (2.4419259 48.6281594, 2.4413255 48.6287135, 2.4409073 48.6291065, 2.4404597 48.6295696, 2.4398892 48.6301665)",,,,
26661088,True,,,,tertiary_link,,False,202.90300000000002,"LINESTRING (2.4398892 48.6301665, 2.4398489 48.6303312, 2.4396102 48.6306876, 2.4395235 48.6308753, 2.4390826 48.6316451, 2.4390627 48.631735, 2.4390641 48.6318192, 2.4390895 48.631891)",,,,
"[22903072, 378574377, 263538258, 378574378]",True,"['1', '2']",N 7,"['Route Nationale 7', ""Voie Rapide d'Évry""]",primary,"['90', '70']",False,438.98,"LINESTRING (2.4394071 48.6303646, 2.4403356 48.6294498, 2.4409659 48.6288628, 2.4417229 48.6281995, 2.4421963 48.6277908, 2.4426984 48.6273948, 2.4428629 48.6272508, 2.4429389 48.6271837)",yes,,,
22903306,True,,,Place de l'Europe,secondary,,False,15.549,"LINESTRING (2.4340652 48.6308236, 2.4341163 48.6308145, 2.4341689 48.630811, 2.4342217 48.6308131, 2.4342733 48.6308208)",,roundabout,,
26660922,True,2,D 91,Boulevard de France,secondary,30,False,173.9,"LINESTRING (2.4342733 48.6308208, 2.4344166 48.6307368, 2.4351869 48.6300994, 2.435638 48.6297262, 2.4357687 48.6296111)",,,,
1245505747,True,,,Place de l'Europe,secondary,,False,17.945,"LINESTRING (2.4342733 48.6308208, 2.4343296 48.6308364, 2.4343806 48.6308586, 2.4344244 48.6308867, 2.4344595 48.6309197)",,roundabout,,
1245504073,True,,,Place de l'Europe,secondary,,False,19.03,"LINESTRING (2.4344595 48.6309197, 2.4344891 48.6309586, 2.4345004 48.6310002, 2.4345021 48.6310429, 2.4344912 48.6310849)",,roundabout,,
22903317,True,,,Boulevard de l'Europe,secondary,,False,161.477,"LINESTRING (2.4344912 48.6310849, 2.4346062 48.6311745, 2.4346796 48.6312241, 2.4347783 48.631281, 2.4354169 48.6316098, 2.4357621 48.6317475, 2.4359669 48.6318271, 2.436062 48.6318641, 2.4361723 48.6318997, 2.4362629 48.6319279)",,,,
1245504074,True,,,Place de l'Europe,secondary,,False,24.887,"LINESTRING (2.4344912 48.6310849, 2.4344753 48.6311098, 2.4344583 48.6311365, 2.4344065 48.6311807, 2.4343393 48.6312148, 2.4342612 48.6312363)",,roundabout,,
137887686,True,,,Boulevard de France,unclassified,,False,35.049,"LINESTRING (2.4341188 48.6312405, 2.4339933 48.6312743, 2.4338797 48.6313055, 2.4336948 48.6313823)",,,,
1245504076,True,,,Place de l'Europe,secondary,,False,26.191000000000003,"LINESTRING (2.4341188 48.6312405, 2.4340755 48.6312335, 2.4340341 48.6312226, 2.4339954 48.6312081, 2.4339599 48.6311903, 2.4339285 48.6311695, 2.4339016 48.631146, 2.4338798 48.6311203, 2.4338634 48.6310929)",,roundabout,,
1245504070,True,,,Place de l'Europe,secondary,,False,8.236,"LINESTRING (2.4338634 48.6310929, 2.4338496 48.6310574, 2.4338482 48.63102)",,roundabout,,
1245504075,True,,,Place de l'Europe,secondary,,False,10.582,"LINESTRING (2.4342612 48.6312363, 2.4341918 48.6312451, 2.4341188 48.6312405)",,roundabout,,
22903072,True,2,N 7,Route Nationale 7,primary,90,False,534.173,"LINESTRING (2.435437 48.6343856, 2.4356055 48.6342277, 2.4364023 48.6334844, 2.4370208 48.6329074, 2.4376328 48.6322976, 2.4385778 48.6312796, 2.4390435 48.6307735, 2.4394071 48.6303646)",,,,
22903321,True,,,Boulevard de l'Europe,secondary_link,50,False,356.14599999999996,"LINESTRING (2.435437 48.6343856, 2.4354599 48.6342929, 2.435748 48.6339856, 2.4359289 48.6337751, 2.4364823 48.6331216, 2.4370479 48.6324554, 2.4370921 48.6323933, 2.4371055 48.6323499, 2.4371126 48.6323094, 2.437097 48.6322603, 2.43706 48.6322178, 2.4369846 48.632178, 2.4368889 48.6321535, 2.4366439 48.6321167, 2.4364322 48.6320779, 2.4360117 48.6319735)",,,,
22903361,False,,,Boulevard du Maréchal Leclerc,residential,,True,100.101,"LINESTRING (2.4351448 48.6326674, 2.4358969 48.6320521, 2.4360117 48.6319735)",,,,
"[26661090, 26661091, 26661076]",False,,,Rue Montespan,residential,,False,215.58,"LINESTRING (2.4351448 48.6326674, 2.4354928 48.6328572, 2.4355334 48.6328784, 2.436202 48.6332271, 2.4370037 48.6336317, 2.4373527 48.6337873, 2.4374809 48.6338378)",yes,,,
26661076,False,,,Rue Montespan,residential,,True,127.556,"LINESTRING (2.4351448 48.6326674, 2.4349502 48.6325871, 2.4348369 48.6325523, 2.4346915 48.6325344, 2.4341293 48.6325289, 2.4336906 48.6325251, 2.4334591 48.6325108)",,,,
684713229,False,,,Rue des Galants Courts,residential,,False,58.864,"LINESTRING (2.4313941 48.632409, 2.4314977 48.6324062, 2.432195 48.632403)",,,,
