osmid,highway,junction,oneway,reversed,length,geometry,name,lanes,ref,maxspeed,bridge,tunnel,width,access
7988235,secondary,roundabout,True,False,18.22,"LINESTRING (4.8922565 44.9360515, 4.8922347 44.9360649, 4.8922076 44.9360722, 4.8921787 44.9360727, 4.8921513 44.9360662, 4.8921286 44.9360534, 4.8921133 44.936036, 4.8921073 44.936016, 4.8921112 44.9359957)",,,,,,,,
"[244563371, 655935581]",tertiary,,False,True,164.66599999999994,"LINESTRING (4.8922565 44.9360515, 4.8922876 44.9360841, 4.8923204 44.9361083, 4.8925465 44.9362429, 4.8931768 44.9366593, 4.8932498 44.9367164, 4.8933089 44.9367729, 4.893354 44.9368642, 4.8933749 44.9369666, 4.8933747 44.9370655, 4.893372 44.937148, 4.8933712 44.937177, 4.8933669 44.9372075)",Boulevard du Ciré,,,,,,,
655935579,secondary,,True,False,29.793,"LINESTRING (4.8921112 44.9359957, 4.8920054 44.9359482, 4.8917966 44.9358468)",Rue de la Manutention,,,,,,,
1114817614,secondary,roundabout,True,False,5.745,"LINESTRING (4.8921112 44.9359957, 4.8921219 44.9359802, 4.8921383 44.9359675, 4.8921592 44.9359587)",,,,,,,,
655935574,secondary,,True,False,25.256,"LINESTRING (4.8922309 44.9359612, 4.8923503 44.9359165, 4.8925167 44.935858)",Boulevard du Ciré,,,,,,,
1114814010,secondary,roundabout,True,False,9.32,"LINESTRING (4.8922309 44.9359612, 4.8922471 44.9359692, 4.8922603 44.9359796, 4.8922696 44.9359919, 4.8922747 44.9360054, 4.8922752 44.9360193, 4.892271 44.936033)",,,,,,,,
1079608840,secondary,,False,False,30.805,"LINESTRING (4.8925167 44.935858, 4.8928436 44.9357057)",Boulevard du Ciré,3,,,,,,
1079608839,secondary,,True,False,27.436,"LINESTRING (4.8925167 44.935858, 4.8923901 44.9359474, 4.892313 44.936002, 4.892271 44.936033)",Boulevard du Ciré,,,,,,,
141080770,primary,roundabout,True,False,9.886,"LINESTRING (4.8964332 44.9376377, 4.8964129 44.9376193, 4.8963935 44.9375895, 4.8963844 44.9375574)",,,,,,,,
4579583,secondary,,True,False,34.441,"LINESTRING (4.8963844 44.9375574, 4.8963256 44.9375121, 4.89627 44.9374568, 4.8962129 44.9373735, 4.896192 44.937287)",Avenue du Président Herriot,,,,,,,
