osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,access,geometry,tunnel,width
50171621,True,2,D 999,Boulevard Gambetta,tertiary,50,False,37.624,,"LINESTRING (4.3596179 43.8404836, 4.3591501 43.8404583)",,
"[34428321, 718284561]",True,,,Rue Robert,residential,30,False,73.602,destination,"LINESTRING (4.3596179 43.8404836, 4.3596197 43.8405427, 4.3596242 43.8406853, 4.3596105 43.8408661, 4.3595762 43.8411441)",,
28821156,True,,,Rue Graverol,residential,30,False,9.567,,"LINESTRING (4.358596 43.8404249, 4.3585715 43.8405091)",,
"[1067945351, 1097478807]",True,1,D 999,Boulevard Gambetta,tertiary,50,False,69.58500000000001,,"LINESTRING (4.358596 43.8404249, 4.3584764 43.840409, 4.3581972 43.8403801, 4.3577403 43.840322)",,
"[1067945352, 1067945351]",True,"['1', '2']",D 999,Boulevard Gambetta,tertiary,50,False,73.476,,"LINESTRING (4.3577403 43.840322, 4.3573749 43.8402641, 4.3570839 43.8402273, 4.3570114 43.8402178, 4.3569721 43.8402127, 4.3568413 43.8401955)",,
34407340,True,,,Rue du Grand Couvent,residential,,False,46.346000000000004,,"LINESTRING (4.3566845 43.8401724, 4.3566888 43.840151, 4.3566953 43.8401193, 4.3567069 43.8400622, 4.3567197 43.8399992, 4.3567683 43.83976)",,
720064129,True,2,D 999,Boulevard Gambetta,tertiary,50,False,91.97099999999999,,"LINESTRING (4.3566845 43.8401724, 4.3564351 43.8401404, 4.3559499 43.8399404, 4.3558121 43.8398767, 4.3557914 43.8398671, 4.3557646 43.8398539, 4.3556684 43.83981)",,
"[12472017, 40330383]",True,1,,"['Boulevard de Bruxelles', 'Avenue Feuchères']",residential,30,False,125.91199999999999,,"LINESTRING (4.3623132 43.8340483, 4.3624551 43.8340814, 4.3628848 43.834186, 4.3630061 43.8341882, 4.363086 43.8341428, 4.3630955 43.834137, 4.3635202 43.8338767, 4.3636531 43.8337953)",,
50090203,True,1,,Boulevard de Prague,living_street,30,False,130.46800000000002,,"LINESTRING (4.3633328 43.8349737, 4.36328 43.8351176, 4.3632178 43.83525, 4.363187 43.8353138, 4.3631524 43.8353787, 4.3630757 43.8355032, 4.3629573 43.8356929, 4.3628621 43.8358502, 4.3628348 43.8358883, 4.3627663 43.8359919, 4.3627439 43.8360329, 4.3627266 43.8360601)",,
203388687,True,,,Rue Monjardin,residential,,False,97.737,,"LINESTRING (4.3633328 43.8349737, 4.3634216 43.8350221, 4.363575 43.8350759, 4.3644172 43.8353716)",,
16312450,True,1,,Place de la Libération,living_street,,False,23.771,no,"LINESTRING (4.3627266 43.8360601, 4.3624651 43.8359595)",,
53837993,True,2,,Boulevard Amiral Courbet,tertiary,50,False,36.221000000000004,,"LINESTRING (4.3627266 43.8360601, 4.36268 43.8361623, 4.3626489 43.8363081, 4.362638 43.8363783)",,
"[1106247570, 718269331]",True,2,,Boulevard Amiral Courbet,tertiary,50,False,37.501,,"LINESTRING (4.362638 43.8363783, 4.362693 43.8365479, 4.3627516 43.8367054)",,
