osmid,oneway,name,highway,reversed,length,geometry,junction,lanes,maxspeed,access,width
465043473,True,Rue Glais-Bizoin,secondary,False,20.911,"LINESTRING (-2.7478653 48.1726997, -2.7479368 48.1727435, -2.7480039 48.1727685, -2.7481055 48.172793)",,,,,
37760258,False,Rue Charles Lansard,residential,True,19.775,"LINESTRING (-2.7574875 48.1796464, -2.7574252 48.1796806, -2.7573825 48.1797115, -2.7573456 48.1797448, -2.7573103 48.1797779)",,,,,
1066219847,False,Rue Henri Le Vézouët,tertiary,False,46.775999999999996,"LINESTRING (-2.7574875 48.1796464, -2.757179 48.179405, -2.7570794 48.1793256)",,,,,
39238478,True,Rond-Point du Général de Gaulle,tertiary,False,11.965,"LINESTRING (-2.7568122 48.1791489, -2.7568812 48.1791394, -2.7569371 48.1791193, -2.7569562 48.1791062)",roundabout,,,,
465043444,True,Rue Henri Le Vézouët,tertiary,False,15.882,"LINESTRING (-2.7568122 48.1791489, -2.7568987 48.1791926, -2.7569758 48.1792408)",,,,,
39238457,True,Rond-Point de la Corderie,secondary,False,14.739999999999998,"LINESTRING (-2.7483496 48.1726096, -2.7482854 48.1725987, -2.7482194 48.172603, -2.7481595 48.1726218)",roundabout,,,,
39238457,True,Rond-Point de la Corderie,secondary,False,10.483,"LINESTRING (-2.7483516 48.1728433, -2.7483916 48.1728267, -2.7484244 48.1728042, -2.7484479 48.1727769)",roundabout,,,,
39238457,True,Rond-Point de la Corderie,secondary,False,10.795,"LINESTRING (-2.7484487 48.1726779, -2.7484247 48.1726498, -2.748391 48.1726265, -2.7483496 48.1726096)",roundabout,,,,
39238457,True,Rond-Point de la Corderie,secondary,False,7.664,"LINESTRING (-2.7481595 48.1726218, -2.7481217 48.1726453, -2.7480945 48.1726746)",roundabout,,,,
39238457,True,Rond-Point de la Corderie,secondary,False,13.652,"LINESTRING (-2.7480945 48.1726746, -2.7480789 48.1727142, -2.7480826 48.172755, -2.7481055 48.172793)",roundabout,,,,
465043472,True,Rue Glais-Bizoin,secondary,False,17.41,"LINESTRING (-2.7480945 48.1726746, -2.7480549 48.1726869, -2.7480026 48.1726947, -2.7479502 48.1726971, -2.7478653 48.1726997)",,,,,
39238457,True,Rond-Point de la Corderie,secondary,False,6.047,"LINESTRING (-2.7481055 48.172793, -2.7481614 48.1728326)",roundabout,,,,
39238457,True,Rond-Point de la Corderie,secondary,False,14.771,"LINESTRING (-2.7481614 48.1728326, -2.7482057 48.1728478, -2.7482544 48.1728548, -2.7483041 48.1728533, -2.7483516 48.1728433)",roundabout,,,,
