osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,tunnel
658477196,2,Rond-Point de l'Armée d'Afique,primary,80,roundabout,True,False,52.089000000000006,"LINESTRING (6.5425019 43.2500022, 6.5424287 43.2500618, 6.542337 43.2501057, 6.5422366 43.2501303, 6.542131 43.2501358, 6.5420268 43.250122, 6.5419306 43.2500897)",,
155023271,,,primary,80,,True,False,92.563,"LINESTRING (6.5417413 43.2497667, 6.5416296 43.2496379, 6.5415001 43.249539, 6.541378 43.2494648, 6.5411957 43.2493544, 6.540932 43.2491868)",D 98,
155023274,2,Rond-Point de l'Armée d'Afique,primary,80,roundabout,True,False,31.011,"LINESTRING (6.5417413 43.2497667, 6.541786 43.2496796, 6.5418645 43.2496063, 6.5419695 43.2495535)",,
155023270,,,primary,70,,True,False,93.627,"LINESTRING (6.540932 43.2491868, 6.5412426 43.2493026, 6.5417418 43.249498, 6.5419051 43.2495415, 6.5419695 43.2495535)",D 98,
"[792226187, 644289686]",2,,primary,70,,False,False,431.51300000000003,"LINESTRING (6.540932 43.2491868, 6.5401986 43.2488462, 6.5398076 43.248654, 6.5393785 43.2484157, 6.5387669 43.2480554, 6.5385368 43.2479249, 6.5385019 43.2479041, 6.5372111 43.2471362, 6.5366976 43.246838)",D 98,
784295498,1,Rue Marceau,residential,,,True,False,16.094,"LINESTRING (6.5321809 43.2504996, 6.5320386 43.2504992, 6.5319822 43.2505001)",D 558,
785404549,,Rue Marceau,secondary,,,True,False,19.137999999999998,"LINESTRING (6.5321809 43.2504996, 6.5320989 43.2504006, 6.5320795 43.2503459)",D 558,
225129573,2,Rue Marceau,secondary,50,,False,False,18.027,"LINESTRING (6.5320795 43.2503459, 6.5320775 43.2503244, 6.5320838 43.2501839)",D 558,
784295497,,Rue Marceau,residential,,,False,False,18.979,"LINESTRING (6.5320795 43.2503459, 6.5319868 43.2504783, 6.5319822 43.2505001)",,
784295495,2,Rue Marceau,secondary,50,,False,True,10.79,"LINESTRING (6.5328836 43.2485907, 6.5327519 43.2486053)",D 558,
947494149,2,Avenue Sigismond Coulet,residential,50,,False,True,6.331,"LINESTRING (6.5328836 43.2485907, 6.5329611 43.2485833)",,
784295493,1,Rue Marceau,secondary,50,,True,False,22.75,"LINESTRING (6.5328836 43.2485907, 6.5328526 43.2485241, 6.53285 43.2484975, 6.5328669 43.248474, 6.5329488 43.2484191)",D 558,
644289670,,,secondary,50,,False,True,8.837,"LINESTRING (6.5333328 43.2455622, 6.5334347 43.2455906)",D 558,
197527756,,Avenue du Colombier,residential,50,,False,True,93.41,"LINESTRING (6.5333328 43.2455622, 6.5332215 43.245614, 6.5327445 43.245755, 6.5324463 43.2458797, 6.5323151 43.2459496)",,
76036019,1,Rue Jean Jaurès,secondary,,,True,False,18.933,"LINESTRING (6.5342384 43.2515986, 6.5340409 43.2515075)",D 558,
225129574,2,Rue Carnot,secondary,30,,False,True,161.668,"LINESTRING (6.5342384 43.2515986, 6.5342923 43.2516533, 6.5345622 43.2520794, 6.5348495 43.2525632, 6.5348703 43.2526238, 6.534886 43.2526882, 6.5348884 43.2527634, 6.5348616 43.2529495)",D 558,
75733609,,Place Mendès France,residential,,,False,False,22.207,"LINESTRING (6.5367838 43.2524068, 6.5367412 43.2523952, 6.5365339 43.2523248)",,
273622951,2,Avenue des Muriers,tertiary,50,,False,False,169.142,"LINESTRING (6.5367838 43.2524068, 6.5368089 43.2523644, 6.536878 43.2522439, 6.5368867 43.2521891, 6.5368805 43.2520957, 6.5367539 43.2513314, 6.5367331 43.2511686, 6.5366661 43.2510043, 6.5366433 43.2509432, 6.5366335 43.2509165)",,
273622951,2,Avenue des Muriers,tertiary,50,,False,True,111.094,"LINESTRING (6.5367838 43.2524068, 6.5367351 43.2524846, 6.5366129 43.2527059, 6.536443 43.253037, 6.5363957 43.2531668, 6.5363846 43.2533025, 6.5363958 43.2533532)",,
"[273622984, 273622985, 273622983]",,Rue des Caniers,residential,,,False,True,149.45100000000002,"LINESTRING (6.5367838 43.2524068, 6.5368317 43.2524226, 6.5368994 43.2524396, 6.5370354 43.2524813, 6.53769 43.2526729, 6.5379794 43.2527798, 6.5380743 43.2528435, 6.5381029 43.2528983, 6.5381216 43.252961, 6.5381559 43.2530853, 6.5381675 43.2531055, 6.5381718 43.2531358)",,building_passage
947494132,2,Avenue Georges Clemenceau,secondary,50,,False,True,10.027,"LINESTRING (6.5366335 43.2509165, 6.5365167 43.2509464)",D 558,
273622950,2,Avenue Georges Clemenceau,secondary,50,,False,False,46.925999999999995,"LINESTRING (6.5366335 43.2509165, 6.5367579 43.2508846, 6.537186 43.2507896)",D 558,
273622951,2,Avenue des Muriers,tertiary,50,,False,True,169.142,"LINESTRING (6.5366335 43.2509165, 6.5366433 43.2509432, 6.5366661 43.2510043, 6.5367331 43.2511686, 6.5367539 43.2513314, 6.5368805 43.2520957, 6.5368867 43.2521891, 6.536878 43.2522439, 6.5368089 43.2523644, 6.5367838 43.2524068)",,
947494147,1,Avenue Claude Sautet,tertiary,50,,True,False,29.558,"LINESTRING (6.5368931 43.2543153, 6.5369725 43.2540879, 6.5369916 43.25406)",,
225144521,,Rue du Peyron,residential,,,True,False,93.166,"LINESTRING (6.5363958 43.2533532, 6.5363073 43.2533583, 6.5360197 43.2532744, 6.535319 43.253076)",,
273622951,2,Avenue des Muriers,tertiary,50,,False,False,111.094,"LINESTRING (6.5363958 43.2533532, 6.5363846 43.2533025, 6.5363957 43.2531668, 6.536443 43.253037, 6.5366129 43.2527059, 6.5367351 43.2524846, 6.5367838 43.2524068)",,
444967208,2,Chemin du Peyron,tertiary,50,,False,True,60.144,"LINESTRING (6.5363958 43.2533532, 6.5364401 43.2534394, 6.5364863 43.2535014, 6.5365997 43.2536074, 6.5367977 43.2537573, 6.5368313 43.2537836)",,
444967208,2,Chemin du Peyron,tertiary,50,,False,False,60.144000000000005,"LINESTRING (6.5368313 43.2537836, 6.5367977 43.2537573, 6.5365997 43.2536074, 6.5364863 43.2535014, 6.5364401 43.2534394, 6.5363958 43.2533532)",,
947494145,1,Chemin du Peyron,tertiary,50,,True,False,16.973,"LINESTRING (6.5368313 43.2537836, 6.5369705 43.2538418, 6.5370105 43.2538625)",,
75733609,,Place Mendès France,residential,,,False,True,22.207,"LINESTRING (6.5365339 43.2523248, 6.5367412 43.2523952, 6.5367838 43.2524068)",,
75733628,,Rue François Pelletier,residential,,,True,False,85.042,"LINESTRING (6.5359893 43.2510729, 6.5360002 43.251101, 6.5360837 43.2518045, 6.5360865 43.2518339)",,
225144518,1,Avenue Georges Clemenceau,secondary,50,,True,False,32.104,"LINESTRING (6.5359893 43.2510729, 6.5357152 43.2511376, 6.5356116 43.2511605)",D 558,
76036033,,Rond-Point Jean-Pierre de Kock,residential,50,roundabout,True,False,5.785,"LINESTRING (6.5351342 43.2489242, 6.5351234 43.2488994, 6.5351225 43.2488734)",,
76035957,2,Boulevard Michelet,residential,,,False,False,40.535000000000004,"LINESTRING (6.5348369 43.2530983, 6.5347785 43.2530848, 6.5343828 43.2530985, 6.5343484 43.2530796)",,
225129574,2,Rue Carnot,secondary,30,,False,False,16.677,"LINESTRING (6.5348369 43.2530983, 6.5348435 43.253036, 6.5348616 43.2529495)",D 558,
225129574,2,Rue Carnot,secondary,30,,False,True,76.981,"LINESTRING (6.5348369 43.2530983, 6.5348182 43.2532307, 6.5347758 43.2535312, 6.5347387 43.2537869)",D 558,
273622969,,Rue Aimé Félix,residential,30,,False,True,39.78,"LINESTRING (6.5348369 43.2530983, 6.5348728 43.2531079, 6.5352979 43.2532218)",,
76036022,1,Rue du 8 Mai 1945,residential,,,True,False,44.916,"LINESTRING (6.5336371 43.2513029, 6.5335597 43.2513399, 6.533171 43.2515218)",,
784400808,1,Rue Gambetta,secondary,,,True,False,45.132999999999996,"LINESTRING (6.5336371 43.2513029, 6.5335015 43.2512288, 6.5332491 43.2510918, 6.5331919 43.2510588)",D 558,
947494149,2,Avenue Sigismond Coulet,residential,50,,False,False,6.331,"LINESTRING (6.5329611 43.2485833, 6.5328836 43.2485907)",,
76036044,2,Avenue Sigismond Coulet,residential,50,,False,True,38.7,"LINESTRING (6.5329611 43.2485833, 6.5331217 43.2485756, 6.5334384 43.2485832)",,
76035944,1,Avenue Sigismond Coulet,residential,50,,True,False,5.059,"LINESTRING (6.5353664 43.2489166, 6.5354198 43.2489402)",,
76036033,,Rond-Point Jean-Pierre de Kock,residential,50,roundabout,True,False,5.948,"LINESTRING (6.5353664 43.2489166, 6.5353407 43.2489469, 6.5353237 43.2489598)",,
76035960,1,Boulevard du Maréchal de Lattre de Tassigny,residential,50,,True,False,13.301,"LINESTRING (6.5331919 43.2510588, 6.5331767 43.2510275, 6.5331773 43.2509994, 6.5331882 43.2509669, 6.5332073 43.2509463)",,
784400807,2,Rue Gambetta,secondary,,,True,False,32.444,"LINESTRING (6.5331919 43.2510588, 6.5330564 43.2509907, 6.5330057 43.2509598, 6.5328779 43.2508783)",D 558,
273622990,,Rue du 11 Novembre,residential,,,True,False,52.096000000000004,"LINESTRING (6.5328604 43.2516659, 6.533205 43.2519936, 6.5332509 43.2520382)",,
76035967,1,Rue Jean-Jacques Rousseau,residential,,,False,False,112.55400000000002,"LINESTRING (6.5328779 43.2508783, 6.5328588 43.2508916, 6.5328383 43.2509052, 6.5328262 43.2509065, 6.5327373 43.2510415, 6.5327896 43.2510551, 6.5327615 43.2511312, 6.532749 43.2511858, 6.5327149 43.2512162, 6.5326958 43.2512178, 6.5325283 43.2511995, 6.5322594 43.2511548, 6.5319584 43.2511606, 6.5318998 43.2511617)",,
273622953,1,Rue Gambetta,secondary,,,True,False,70.438,"LINESTRING (6.5328779 43.2508783, 6.5328426 43.2508558, 6.5327956 43.2508305, 6.5321912 43.2505051, 6.5321809 43.2504996)",D 558,
"[785182818, 189064895]",,Rue du 11 Novembre,residential,,,True,False,34.927,"LINESTRING (6.5321741 43.251543, 6.5324248 43.2514535, 6.5325563 43.2515091)",,
"[1167453205, 273622974]",1,Rue Nationale,residential,30,,True,False,103.523,"LINESTRING (6.5321741 43.251543, 6.5321606 43.2515727, 6.5320842 43.2517803, 6.5320874 43.251796, 6.532108 43.2518616, 6.5321563 43.2519475, 6.5322223 43.2520648, 6.5323322 43.2522689, 6.5324483 43.252408)",,
947494132,2,Avenue Georges Clemenceau,secondary,50,,False,False,10.027,"LINESTRING (6.5365167 43.2509464, 6.5366335 43.2509165)",D 558,
225144518,1,Avenue Georges Clemenceau,secondary,50,,True,False,44.971000000000004,"LINESTRING (6.5365167 43.2509464, 6.5364435 43.2509652, 6.5360493 43.2510587, 6.5359893 43.2510729)",D 558,
1227172414,2,Avenue du Subeiran,residential,50,,True,False,11.142,"LINESTRING (6.5353736 43.2488745, 6.5354921 43.2489254)",,
658478855,,Rond-Point Jean-Pierre de Kock,residential,50,roundabout,True,False,4.749,"LINESTRING (6.5353736 43.2488745, 6.5353733 43.2488962, 6.5353664 43.2489166)",,
784797790,,Rond-Point Jean-Pierre de Kock,residential,50,roundabout,True,False,8.121,"LINESTRING (6.5351225 43.2488734, 6.5351308 43.2488498, 6.5351473 43.2488287, 6.5351709 43.2488114)",,
784797792,1,Avenue Sigismond Coulet,residential,50,,True,False,19.284,"LINESTRING (6.5351225 43.2488734, 6.5350159 43.2488105, 6.534936 43.2487656)",,
"[76035944, 793450294]","['1', '2']",Avenue Sigismond Coulet,residential,50,,True,False,145.25900000000001,"LINESTRING (6.5358064 43.2497492, 6.5358488 43.2498305, 6.5359422 43.2500093, 6.535962 43.2500401, 6.5363276 43.2505736, 6.5364394 43.2507694, 6.5364864 43.2508796, 6.5365025 43.2509144, 6.5365167 43.2509464)",,
372688450,2,Rue du Rialet,residential,,,False,True,92.16799999999999,"LINESTRING (6.5358064 43.2497492, 6.5357317 43.2497773, 6.5355975 43.2498371, 6.5354731 43.2498929, 6.5348819 43.2501906, 6.5348558 43.2502038)",,
1059591731,,Montée Saint-Roch,residential,,,True,False,5.799,"LINESTRING (6.533127 43.2534115, 6.5331238 43.2534636)",,
76036022,1,Rue du 8 Mai 1945,residential,,,True,False,29.865,"LINESTRING (6.533171 43.2515218, 6.5331381 43.2515404, 6.5330769 43.2515718, 6.5329046 43.2516493, 6.5328604 43.2516659)",,
784265507,,Place de la République,residential,,,True,False,52.48,"LINESTRING (6.533171 43.2515218, 6.5332192 43.2515636, 6.5332731 43.2516148, 6.533335 43.2516734, 6.5333636 43.2517031, 6.5333808 43.2517208, 6.5334432 43.2518019, 6.5334874 43.2518593, 6.5334988 43.2518741, 6.5335072 43.2518846, 6.53353 43.2519132)",,
76035957,2,Boulevard Michelet,residential,,,False,True,40.535,"LINESTRING (6.5343484 43.2530796, 6.5343828 43.2530985, 6.5347785 43.2530848, 6.5348369 43.2530983)",,
