osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,junction,tunnel
781852349,D 912,Avenue du Général Leclerc,secondary,50,False,False,13.25,"LINESTRING (1.3748116 48.7399554, 1.3749729 48.7400091)",,,,
"[555040376, 488106514]",D 912,Avenue du Général Leclerc,secondary,"['50', '30']",False,True,63.543,"LINESTRING (1.3748116 48.7399554, 1.3744105 48.7398197, 1.3742197 48.7397499, 1.3740356 48.7397027)",,,,
46148117,D 912,Rue Saint-Jean,secondary,50,False,True,15.912,"LINESTRING (1.3693408 48.7391061, 1.3691579 48.7390291)",,,,
"[42402152, 42402155, 42402156]",D 928,"['Rue du Commandant Beaurepaire', 'Place Louis Philippe']",tertiary,50,False,False,72.196,"LINESTRING (1.3693408 48.7391061, 1.3692887 48.7391596, 1.3692231 48.7392271, 1.3689987 48.7394576, 1.3688533 48.739607, 1.3688144 48.7396546)",yes,2,,
555294386,D 912,Rue Saint-Jean,secondary,50,False,False,52.821999999999996,"LINESTRING (1.3693408 48.7391061, 1.3694479 48.7391498, 1.3695948 48.7392131, 1.3696765 48.7392422, 1.3697678 48.7392685, 1.3698627 48.7392899, 1.3699839 48.7393129)",,,,
"[24287138, 24287140]",,Rue d'Orléans,residential,30,True,False,176.106,"LINESTRING (1.3654982 48.7369779, 1.3657177 48.7369044, 1.3657504 48.7368959, 1.3657895 48.7368892, 1.3658232 48.7368864, 1.3660295 48.7370338, 1.3660579 48.7370521, 1.3660903 48.7370672, 1.3661312 48.7370797, 1.3671319 48.7373905, 1.3673031 48.7374343, 1.3676083 48.7375124)",,,roundabout,
25571765,D 912,Rue Parisis,secondary,50,True,False,15.504000000000001,"LINESTRING (1.3654982 48.7369779, 1.365432 48.7369386, 1.3654035 48.7369258, 1.3653812 48.7369187, 1.3653536 48.7369138, 1.3653195 48.7369103)",,,,
24285866,D 20,Rue aux Tanneurs,secondary,50,True,False,98.03899999999999,"LINESTRING (1.3653195 48.7369103, 1.3652558 48.736907, 1.3651993 48.7369024, 1.3651543 48.7368936, 1.3651219 48.736883, 1.3650959 48.7368696, 1.3649675 48.7367829, 1.3644685 48.736446, 1.3644502 48.7364383, 1.3644348 48.7364338, 1.3644142 48.73643, 1.3643893 48.7364293, 1.3643591 48.7364317, 1.3643138 48.7364349, 1.3642726 48.7364358)",,,,
25571764,D 912,Rue d'Orfeuil,secondary,50,True,False,59.526999999999994,"LINESTRING (1.3653195 48.7369103, 1.3647464 48.737171, 1.3647171 48.7371856, 1.3646863 48.7371971, 1.3646599 48.7372007, 1.3646435 48.7372014)",,,,
46418633,D 20,Rue Saint-Thibault,secondary,50,True,False,98.927,"LINESTRING (1.36394 48.7363366, 1.363892 48.7363258, 1.3638149 48.736314, 1.3635555 48.7362804, 1.363257 48.7362649, 1.3629711 48.7362673, 1.3627473 48.7362699, 1.362685 48.7362701, 1.3626019 48.7362667)",,,,
