osmid,oneway,highway,junction,reversed,length,geometry,lanes,ref,maxspeed,name,bridge,access
1220089648,True,secondary,roundabout,False,5.753,"LINESTRING (0.5923317 49.0877283, 0.5923414 49.0877039, 0.5923626 49.0876813)",,,,,,
216435333,True,tertiary_link,,False,27.344,"LINESTRING (0.5927039 49.0872284, 0.5927298 49.0870861, 0.5927494 49.0869843)",,,,,,
"[367512379, 177431396]",False,secondary,,True,52.778999999999996,"LINESTRING (0.5927039 49.0872284, 0.5926884 49.0873756, 0.592675 49.0874763, 0.5926357 49.0875657, 0.5925348 49.0876811)",3,D 133,50,,,
367512395,False,secondary,,False,20.926000000000002,"LINESTRING (0.5927039 49.0872284, 0.5927978 49.0871429, 0.5928387 49.0871163, 0.5928977 49.087093)",3,D 133,,,,
367512395,False,secondary,,True,45.179,"LINESTRING (0.5935104 49.0871568, 0.5928977 49.087093)",3,D 133,,,,
"[173998523, 1217723382, 1084500830]",False,secondary,,False,113.09500000000001,"LINESTRING (0.5935104 49.0871568, 0.5936721 49.0871751, 0.5941596 49.0872301, 0.5942788 49.0872365, 0.5949588 49.0872787, 0.5950496 49.0872866)",2,D 133,,Boulevard Dubus,,
"[197145000, 197145001, 173998276]",False,secondary,,"[False, True]",153.75800000000004,"LINESTRING (0.5935104 49.0871568, 0.593554 49.0870766, 0.5935888 49.0870371, 0.593783 49.086892, 0.5938322 49.0868592, 0.5938974 49.0868155, 0.5939536 49.0867822, 0.5940279 49.0867457, 0.5941094 49.0867121, 0.5942034 49.0866836, 0.5942952 49.0866599, 0.594392 49.086644, 0.594485 49.0866348, 0.594578 49.0866313, 0.594692 49.0866348, 0.5948138 49.0866444, 0.5950181 49.086672, 0.5952669 49.0867055)",2,D 833,45,Rue Orderic Vital,yes,
77931180,False,residential,,True,68.55199999999999,"LINESTRING (0.5952669 49.0867055, 0.5953406 49.0865511, 0.5953538 49.0865233, 0.595388 49.0862785, 0.5953864 49.0862482, 0.5953786 49.0860988)",,,,Rue Jacques Philippe Breant,,
"[173998276, 309991269]",False,secondary,,False,228.445,"LINESTRING (0.5952669 49.0867055, 0.595498 49.0867352, 0.5963033 49.0868389, 0.5964113 49.0868471, 0.5964803 49.086847, 0.5965265 49.0868428, 0.5965782 49.0868343, 0.5966292 49.0868218, 0.5966933 49.0867986, 0.5967607 49.0867568, 0.5967967 49.0867219, 0.5968282 49.0866715, 0.5969607 49.0863906, 0.5970807 49.0861035, 0.5971299 49.0859995, 0.5972308 49.0857695)",,D 833,,"['Rue Orderic Vital', 'Rue Bernard Gombert']",,
"[197145000, 197145001, 173998276]",False,secondary,,"[False, True]",153.758,"LINESTRING (0.5952669 49.0867055, 0.5950181 49.086672, 0.5948138 49.0866444, 0.594692 49.0866348, 0.594578 49.0866313, 0.594485 49.0866348, 0.594392 49.086644, 0.5942952 49.0866599, 0.5942034 49.0866836, 0.5941094 49.0867121, 0.5940279 49.0867457, 0.5939536 49.0867822, 0.5938974 49.0868155, 0.5938322 49.0868592, 0.593783 49.086892, 0.5935888 49.0870371, 0.593554 49.0870766, 0.5935104 49.0871568)",2,D 833,45,Rue Orderic Vital,yes,
309991269,False,secondary,,True,2.865,"LINESTRING (0.597243 49.085745, 0.5972308 49.0857695)",,D 833,,Rue Bernard Gombert,,
24476527,True,secondary,,False,81.285,"LINESTRING (0.5933227 49.0884826, 0.5933534 49.0884474, 0.5933569 49.0884264, 0.5933448 49.0883931, 0.593298 49.0883469, 0.592691 49.087925)",,D 138,50,Rue Général de Gaulle,,
216435313,False,secondary,,False,284.164,"LINESTRING (0.6022408 49.0880741, 0.6023868 49.0881243, 0.6025154 49.0881724, 0.6026055 49.0882153, 0.6026966 49.0882662, 0.6027872 49.088325, 0.602899 49.088409, 0.6032565 49.0887043, 0.6036285 49.0890175, 0.6040368 49.0893604, 0.6043881 49.0896573, 0.6045624 49.0897965, 0.6045833 49.0898132, 0.6046735 49.0898966, 0.6047241 49.0899432, 0.6047669 49.0899953)",,D 133,,Boulevard Sylla Lefevre,,
"[173999360, 216435331, 216435313, 917942649, 216435322, 216435326]",False,secondary,,True,233.984,"LINESTRING (0.6022408 49.0880741, 0.6020194 49.0880112, 0.6018388 49.0879598, 0.601508 49.0878808, 0.6013735 49.0878495, 0.6011983 49.0878184, 0.6009475 49.0877878, 0.6008336 49.0877743, 0.6005205 49.0877382, 0.600443 49.0877312, 0.600407 49.087728, 0.6000978 49.0876998, 0.5992448 49.0876316, 0.5991224 49.0876203)",2,D 133,,"['Boulevard Dubus', 'Boulevard Sylla Lefevre']",yes,
952776306,False,residential,,True,72.852,"LINESTRING (0.6022408 49.0880741, 0.6022101 49.0881066, 0.6021852 49.0881348, 0.6021699 49.0881516, 0.6020998 49.088215, 0.6016268 49.0885902)",,,,Rue de la Charentonne,,
72304939,False,secondary,,True,145.134,"LINESTRING (0.6020679 49.0933531, 0.6020753 49.0932455, 0.602104 49.0930774, 0.6022058 49.0928489, 0.6023206 49.092676, 0.6024634 49.0925118, 0.602742 49.0922517, 0.6028318 49.0921769)",,D 133e,30,Boulevard de Normandie,,
72304941,False,secondary,,True,109.75,"LINESTRING (0.6020679 49.0933531, 0.6023053 49.093458, 0.6025722 49.0935601, 0.6026223 49.0935814, 0.6032696 49.0938038, 0.6033773 49.09384)",,,,Rue Leprévost de Beaumont,,
216444297,True,secondary,,False,58.086000000000006,"LINESTRING (0.6020679 49.0933531, 0.6020798 49.093472, 0.6020218 49.0935746, 0.6018866 49.0937001, 0.6017478 49.0938069)",,D 133E,,Rue du Ravin,,
77936730,False,secondary,,False,55.807,"LINESTRING (0.6014425 49.0936856, 0.6012822 49.0937114, 0.601206 49.09373, 0.6007966 49.09394)",,D 834,80,Rue Louis Gillain,,
