osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,bridge,tunnel,junction
32027129,True,3,D 974,Boulevard Maréchal Foch,primary,50,False,6.41,"LINESTRING (4.8395862 47.027482, 4.8395018 47.0274784)",,,,
289417565,True,,D 974,Rue du Faubourg Saint-Nicolas,primary,50,False,23.599000000000004,"LINESTRING (4.8395862 47.027482, 4.83961 47.0275439, 4.8396381 47.0276909)",,,,
31969674,False,,,Rue du Collège Rue Paul Chanson,residential,30,False,64.76400000000001,"LINESTRING (4.8363418 47.0270804, 4.8365453 47.0270117, 4.8371074 47.0268218)",,,,
233523880,True,3,D 974,Boulevard Maréchal Foch,primary,50,False,102.30799999999999,"LINESTRING (4.8363418 47.0270804, 4.8358176 47.0264744, 4.8357634 47.0264214, 4.835721 47.0263946, 4.8355999 47.0263181)",,,,
935452086,True,3,D 974,Boulevard Maréchal Foch,primary,50,False,26.266,"LINESTRING (4.8355999 47.0263181, 4.8352964 47.0262041)",,,,
33112985,True,,,Rue Sylvestre Chauvelot,residential,50,False,21.470999999999997,"LINESTRING (4.8344043 47.0258779, 4.8344704 47.0259842, 4.8345148 47.0260557)",,,,
362598035,False,,,Rue du Faubourg Saint-Martin,residential,50,True,83.593,"LINESTRING (4.8344043 47.0258779, 4.8343115 47.0258996, 4.8342424 47.0259157, 4.8337551 47.0260297, 4.8333611 47.0261218)",,,,
935452086,True,3,D 974,Boulevard Maréchal Foch,primary,50,False,61.393,"LINESTRING (4.8344043 47.0258779, 4.8339807 47.0255103, 4.8339557 47.0254886, 4.833904 47.0254437)",,,,
9218779,True,3,,Boulevard Bretonnière,primary,50,False,93.764,"LINESTRING (4.8333278 47.0219157, 4.8342715 47.0215194, 4.8343809 47.0214734)",,,,
"[161278709, 32027127]",False,2,D 974,Rue du Faubourg Bretonnière,primary,50,False,178.01800000000003,"LINESTRING (4.8333278 47.0219157, 4.8332243 47.0218455, 4.8332084 47.0218344, 4.832972 47.0216736, 4.8326401 47.0213898, 4.8325601 47.0213214, 4.8324346 47.0212447, 4.8317553 47.0208205, 4.8316844 47.0207772)",,,,
"[244919176, 32053012, 244919175]",True,,,Rue Maufoux,residential,30,False,91.15299999999999,"LINESTRING (4.8333278 47.0219157, 4.8334487 47.0219897, 4.8334804 47.0220091, 4.8335608 47.0220613, 4.8337661 47.0221844, 4.8338626 47.022223, 4.8341317 47.022403, 4.834166 47.0224354, 4.8342043 47.0224716)","['3.4', '3']",yes,,
9218779,True,3,,Boulevard Bretonnière,primary,50,False,115.414,"LINESTRING (4.8343809 47.0214734, 4.834564 47.0213648, 4.8347061 47.0212804, 4.8348541 47.0211926, 4.8353641 47.020778, 4.8354055 47.0207444, 4.8354293 47.020725)",,,,
32019308,False,,,Rue Armand Gouffe,residential,30,False,67.993,"LINESTRING (4.8419943 47.0224225, 4.8419204 47.0224583, 4.8418593 47.0225115, 4.8414116 47.0228847)",,,,
161292014,True,3,,Boulevard Jules Ferry,primary,50,False,77.969,"LINESTRING (4.8419943 47.0224225, 4.8420605 47.0224962, 4.8421516 47.0225836, 4.8423538 47.0227533, 4.8424711 47.0228402, 4.8425809 47.0229081, 4.8426606 47.0229519)",,,,
