osmid,highway,junction,oneway,reversed,length,geometry,name,lanes,maxspeed,access,ref
38772751,tertiary,roundabout,True,False,8.824,"LINESTRING (2.1817998 48.84704, 2.1818067 48.8470504, 2.1818109 48.8470614, 2.1818123 48.8470727, 2.1818107 48.847084, 2.1818062 48.8470949, 2.1817991 48.8471053, 2.1817894 48.8471146)",,,,,
1030049106,residential,,True,False,6.406,"LINESTRING (2.1919365 48.8399554, 2.1918888 48.8400037)",Rue de Kronstadt,,,,
264120421,tertiary,,False,False,224.463,"LINESTRING (2.1921926 48.8464763, 2.1903455 48.8460768, 2.1900449 48.8460192, 2.1894409 48.8459016, 2.1892684 48.8458673)",Rue de Suresnes,2,30,,
229716219,tertiary,,False,False,64.911,"LINESTRING (2.1892684 48.8458673, 2.188909 48.8457716, 2.1887489 48.845723, 2.1885345 48.8456681, 2.1884435 48.8456556)",Rue de Suresnes,2,30,,
264120421,tertiary,,False,True,224.46300000000002,"LINESTRING (2.1892684 48.8458673, 2.1894409 48.8459016, 2.1900449 48.8460192, 2.1903455 48.8460768, 2.1921926 48.8464763)",Rue de Suresnes,2,30,,
1232831678,tertiary,,False,False,6.227,"LINESTRING (2.1884435 48.8456556, 2.18836 48.8456664)",Rue de Suresnes,2,30,,
33099642,residential,,False,True,133.392,"LINESTRING (2.1884435 48.8456556, 2.1879067 48.8451144, 2.1875208 48.8447002, 2.1874636 48.8446442)",Rue de l'Église,,,,
229716219,tertiary,,False,True,64.911,"LINESTRING (2.1884435 48.8456556, 2.1885345 48.8456681, 2.1887489 48.845723, 2.188909 48.8457716, 2.1892684 48.8458673)",Rue de Suresnes,2,30,,
229716220,tertiary,,True,False,31.743000000000002,"LINESTRING (2.1873896 48.8457284, 2.1875159 48.8457784, 2.1876486 48.8458165, 2.1877304 48.8458226, 2.1877894 48.8458187)",Rue de Suresnes,2,30,,
1232831677,tertiary,,False,False,93.194,"LINESTRING (2.1873896 48.8457284, 2.1868646 48.8451738, 2.1867706 48.8450556, 2.1867274 48.8450129)",Rue de Suresnes,2,30,,
23552467,tertiary,,True,False,62.256,"LINESTRING (2.1893256 48.8464259, 2.189278 48.8459444, 2.1892684 48.8458673)",Rue Henri Regnault,1,,,
49067954,residential,,True,False,103.376,"LINESTRING (2.1896629 48.847813, 2.1894231 48.8475741, 2.1893723 48.8474989, 2.1893461 48.84739, 2.1893415 48.8469392)",Rue Henri Regnault,,,,
23552521,residential,,False,True,129.36599999999999,"LINESTRING (2.1841006 48.8476745, 2.1840829 48.8476533, 2.1832936 48.8467053, 2.1832511 48.8466542)",Avenue Alphonse de Neuville,,,,
229716223,tertiary,,True,False,164.02300000000002,"LINESTRING (2.1841006 48.8476745, 2.18418 48.8476585, 2.1846411 48.8475653, 2.1853903 48.8473811, 2.1856012 48.8473579, 2.1862261 48.847213)",Rue de la Côte Saint-Louis,,30,,
23552479,tertiary,,True,False,129.619,"LINESTRING (2.1824286 48.8480595, 2.1825139 48.8480399, 2.1840332 48.84769, 2.1841006 48.8476745)",Rue de la Côte Saint-Louis,,30,,
656715732,tertiary,,False,True,64.491,"LINESTRING (2.1824286 48.8480595, 2.1822842 48.847874, 2.1820268 48.8475433)",Rue du 19 Janvier,,,,
22719929,tertiary,,True,False,146.838,"LINESTRING (2.1867274 48.8450129, 2.1866613 48.8450662, 2.1862845 48.8453506, 2.1859992 48.8455303, 2.1855379 48.8457277, 2.1852234 48.8458722)",Rue Athime Rué,,30,,
32876080,tertiary,,False,False,29.044999999999998,"LINESTRING (2.1867274 48.8450129, 2.1867501 48.8449689, 2.1867956 48.8449242, 2.1869313 48.8448372, 2.1869665 48.8448093)",Rue Athime Rué,2,,,
1232831677,tertiary,,False,True,93.194,"LINESTRING (2.1867274 48.8450129, 2.1867706 48.8450556, 2.1868646 48.8451738, 2.1873896 48.8457284)",Rue de Suresnes,2,30,,
22719929,tertiary,,True,False,114.57499999999999,"LINESTRING (2.1832511 48.8466542, 2.1829037 48.8467589, 2.1823187 48.8469058, 2.1819001 48.8470141, 2.1817998 48.84704)",Rue Athime Rué,,30,,
23552521,residential,,False,False,129.366,"LINESTRING (2.1832511 48.8466542, 2.1832936 48.8467053, 2.1840829 48.8476533, 2.1841006 48.8476745)",Avenue Alphonse de Neuville,,,,
33132971,residential,,False,False,130.76500000000001,"LINESTRING (2.1912396 48.8438348, 2.1899417 48.8439112, 2.18953 48.843957, 2.1894658 48.8439679)",Grande Rue,,,,
990149069,residential,,False,False,30.514,"LINESTRING (2.1910054 48.840934, 2.1907934 48.8411703)",Rue de Kronstadt,,,,
33184193,residential,,False,True,58.918,"LINESTRING (2.1910054 48.840934, 2.1914047 48.8410759, 2.1916603 48.8412345)",Rue de la République,,,,
33184191,residential,,False,False,91.879,"LINESTRING (2.1907934 48.8411703, 2.1895891 48.8414038)",Rue de Toulon,,30,,
