osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,maxspeed,ref
35571775,Rue Traversière,residential,False,False,76.847,"LINESTRING (-1.8800897 46.8483753, -1.8800481 46.8483569, -1.8799844 46.8483427, -1.8796144 46.8482539, -1.8795238 46.8482322, -1.8794771 46.8482184, -1.8792903 46.8481632, -1.8791814 46.8480912)",,,,
50260955,Rue Paul Baudry,residential,True,False,66.227,"LINESTRING (-1.8800897 46.8483753, -1.8802399 46.8482441, -1.8804777 46.8480247, -1.8806134 46.8478995)",,,,
39378284,Rond-Point du Guy,secondary,True,False,20.935000000000002,"LINESTRING (-1.8726405 46.8484681, -1.8726706 46.8484996, -1.8727129 46.8485237, -1.8727637 46.8485383, -1.8728185 46.8485421, -1.8728725 46.8485349)",roundabout,,,
35582087,,secondary,True,False,2.147,"LINESTRING (-1.8710862 46.8461491, -1.8711038 46.8461642)",roundabout,,,
35582087,,secondary,True,False,14.678,"LINESTRING (-1.8713296 46.8459986, -1.8712883 46.8459815, -1.8712416 46.8459733, -1.8711934 46.8459746, -1.8711478 46.8459854)",roundabout,,,
35582088,,secondary,True,False,38.788,"LINESTRING (-1.8713296 46.8459986, -1.8713253 46.8459592, -1.8713226 46.8458874, -1.8713304 46.8458147, -1.8713659 46.8456519)",,,,
35582087,,secondary,True,False,8.286999999999999,"LINESTRING (-1.8711478 46.8459854, -1.8711176 46.8459992, -1.8710925 46.8460171, -1.8710737 46.8460384)",roundabout,,,
35582087,,secondary,True,False,15.212,"LINESTRING (-1.8711038 46.8461642, -1.8711433 46.8461851, -1.8711902 46.8461971, -1.8712401 46.846199, -1.8712886 46.8461906)",roundabout,,,
35582090,Boulevard Guérin,secondary,True,False,30.611,"LINESTRING (-1.8711038 46.8461642, -1.8711097 46.8462111, -1.8711481 46.8463378, -1.871175 46.8464349)",,,,
35582093,Boulevard Guérin,secondary,True,False,28.653999999999996,"LINESTRING (-1.871175 46.8464349, -1.8712077 46.8463385, -1.8712301 46.8462751, -1.8712628 46.8462265, -1.8712886 46.8461906)",,,,
72015099,Boulevard Guérin,secondary,False,True,205.153,"LINESTRING (-1.871175 46.8464349, -1.8711874 46.8465273, -1.8712309 46.8467091, -1.8712836 46.8468345, -1.871363 46.8469785, -1.8714099 46.8470424, -1.8715073 46.847175, -1.8717543 46.8474172, -1.8718146 46.8474806, -1.8718209 46.8474863, -1.8722694 46.8478933, -1.8724137 46.848039)",,,,
35582087,,secondary,True,False,25.799,"LINESTRING (-1.8712886 46.8461906, -1.8713247 46.8461762, -1.8713545 46.8461561, -1.8713789 46.8461267, -1.8713895 46.8460936, -1.8713854 46.84606, -1.871367 46.8460286, -1.8713502 46.8460125, -1.8713296 46.8459986)",roundabout,,,
35582087,,secondary,True,False,12.869,"LINESTRING (-1.8710737 46.8460384, -1.8710609 46.846066, -1.8710587 46.8460949, -1.8710674 46.8461232, -1.8710862 46.8461491)",roundabout,,,
35582091,,residential,True,False,20.247,"LINESTRING (-1.8710737 46.8460384, -1.8710178 46.8460605, -1.8709176 46.8460935, -1.8708334 46.8461161)",,,,
35582095,,secondary,True,False,40.625,"LINESTRING (-1.8713659 46.8456519, -1.8712702 46.8458001, -1.8712166 46.8458813, -1.8711711 46.845949, -1.8711478 46.8459854)",,,,
"[352097542, 35582391]",Boulevard de la Gare,secondary,False,False,170.91700000000003,"LINESTRING (-1.8713659 46.8456519, -1.8714567 46.845451, -1.8715553 46.8452687, -1.8716109 46.8451647, -1.8716235 46.8451405, -1.8718146 46.8447733, -1.8718741 46.8446589, -1.8720421 46.8443552, -1.8720698 46.8443052, -1.8721236 46.8442051)",,2,,
352097542,Boulevard de la Gare,secondary,False,True,63.385000000000005,"LINESTRING (-1.8724092 46.8436696, -1.8722879 46.8438915, -1.8721899 46.8440785, -1.8721236 46.8442051)",,,,
342733667,Rue Gambetta,tertiary,True,False,127.33100000000002,"LINESTRING (-1.8748776 46.8438134, -1.8748961 46.8438379, -1.874997 46.8438813, -1.8752878 46.8440064, -1.8753227 46.8440228, -1.8755958 46.8441515, -1.875952 46.8443191, -1.8761177 46.8443956, -1.8761635 46.8444168, -1.8761969 46.8444363, -1.8762468 46.8444655)",,,,
584343768,,tertiary,True,False,26.323,"LINESTRING (-1.8748776 46.8438134, -1.8749179 46.8438025, -1.8749504 46.843783, -1.8749716 46.8437572, -1.874979 46.8437281, -1.8749717 46.8436989, -1.8749506 46.8436731, -1.874918 46.8436536, -1.8748778 46.8436427)",roundabout,,,
72151277,Rue Édouard Riou,residential,False,False,69.799,"LINESTRING (-1.8774476 46.8450128, -1.8779877 46.8445053)",,,,
157678239,Rue Gambetta,tertiary,True,False,174.444,"LINESTRING (-1.8774476 46.8450128, -1.8778578 46.8451905, -1.8782496 46.8453405, -1.878621 46.8454718, -1.8786549 46.8454849, -1.8788097 46.8455448, -1.8790416 46.8456235, -1.8793352 46.8457232, -1.879456 46.8457682)",,,30,
35587027,Boulevard Clemenceau,secondary,True,False,14.757000000000001,"LINESTRING (-1.8837706 46.8501732, -1.8836732 46.8501124, -1.8836199 46.8500905)",,,,
