osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,maxspeed,ref,junction,access
55054736,Rue Alfred Luard,unclassified,False,True,12.124,"LINESTRING (0.2369658 49.4232822, 0.2370367 49.423381)",,,,,,
"[55054736, 1216425088]",Rue Alfred Luard,unclassified,False,False,344.233,"LINESTRING (0.2369658 49.4232822, 0.2369223 49.4232451, 0.2364212 49.422818, 0.2363604 49.4227661, 0.2362386 49.4226618, 0.2360284 49.4224861, 0.2359352 49.4223928, 0.2359097 49.4223091, 0.2359271 49.4222157, 0.2359843 49.4221597, 0.2363608 49.4218543, 0.2364616 49.4217751, 0.2365406 49.4217013, 0.2370484 49.4213281, 0.2371516 49.4212422, 0.2375799 49.4209152, 0.2376933 49.4208285)",,,,,,
55054730,,unclassified,False,False,299.42499999999995,"LINESTRING (0.2376933 49.4208285, 0.2378044 49.4207424, 0.2385213 49.4201882, 0.2401544 49.4189322, 0.2402404 49.4188677, 0.2403755 49.4187779)",,,,,,
"[1109538297, 166438291, 166438292, 1052460799]",,unclassified,False,False,189.26399999999998,"LINESTRING (0.2376933 49.4208285, 0.2372763 49.4205966, 0.2367232 49.4202936, 0.2365756 49.4202449, 0.2363975 49.4201857, 0.2363311 49.4201566, 0.2360605 49.4200378, 0.2359539 49.419991, 0.2356719 49.4198716, 0.2355868 49.4198286)",movable,1,15,,,
"[1216425088, 55054736]",Rue Alfred Luard,unclassified,False,True,344.233,"LINESTRING (0.2376933 49.4208285, 0.2375799 49.4209152, 0.2371516 49.4212422, 0.2370484 49.4213281, 0.2365406 49.4217013, 0.2364616 49.4217751, 0.2363608 49.4218543, 0.2359843 49.4221597, 0.2359271 49.4222157, 0.2359097 49.4223091, 0.2359352 49.4223928, 0.2360284 49.4224861, 0.2362386 49.4226618, 0.2363604 49.4227661, 0.2364212 49.422818, 0.2369223 49.4232451, 0.2369658 49.4232822)",,,,,,
553333976,Quai de la Quarantaine,secondary,True,False,28.764,"LINESTRING (0.2355868 49.4198286, 0.2353382 49.4200305)",,,30,D 513,,
"[62513521, 1225270746, 914389836, 560644170]",Quai de la Quarantaine,secondary,False,False,123.277,"LINESTRING (0.2355868 49.4198286, 0.2356637 49.4197751, 0.235714 49.4197336, 0.2357436 49.4196955, 0.2357599 49.4196669, 0.2357828 49.4196032, 0.2357877 49.4195576, 0.2357836 49.4195101, 0.2357659 49.4194198, 0.2357198 49.4191689, 0.2356746 49.418891, 0.2356636 49.4188219, 0.235654 49.4187642)",,"['2', '3']",,D 513,,
"[1109538297, 166438291, 166438292, 1052460799]",,unclassified,False,True,189.264,"LINESTRING (0.2355868 49.4198286, 0.2356719 49.4198716, 0.2359539 49.419991, 0.2360605 49.4200378, 0.2363311 49.4201566, 0.2363975 49.4201857, 0.2365756 49.4202449, 0.2367232 49.4202936, 0.2372763 49.4205966, 0.2376933 49.4208285)",movable,1,15,,,
1099953521,,secondary,True,False,4.004,"LINESTRING (0.2399902 49.4178308, 0.2400285 49.4178048)",,2,50,,roundabout,
62552812,Rue Henri de Régnier,residential,False,False,171.026,"LINESTRING (0.2312478 49.4152593, 0.2315832 49.4158004, 0.2318489 49.4160895, 0.2319944 49.4167)",,,,,,
"[62552820, 203878125, 203878126]","[""Chemin de l'Abreuvoir"", ""Rue de l'Abreuvoir""]",residential,False,True,107.484,"LINESTRING (0.2312478 49.4152593, 0.2310649 49.4152627, 0.2309786 49.4152647, 0.2307938 49.4152691, 0.2298647 49.4155607)",yes,,,,,
1119235308,Rue de la République,secondary,False,False,14.762,"LINESTRING (0.2325662 49.4195896, 0.2324675 49.4194734)",,2,30,D 579a,,
32665879,Rue Montpensier,secondary,False,True,44.617,"LINESTRING (0.2325662 49.4195896, 0.2326849 49.4195327, 0.2330393 49.4193325)",,2,30,D 579a,,
1119235308,Rue de la République,secondary,False,True,14.762,"LINESTRING (0.2324675 49.4194734, 0.2325662 49.4195896)",,2,30,D 579a,,
62513523,Rue de la Chaussée,residential,True,False,144.139,"LINESTRING (0.2324675 49.4194734, 0.2329236 49.4192052, 0.2331386 49.4190788, 0.2333082 49.4189342, 0.2334653 49.41868, 0.2335397 49.4185052, 0.2335692 49.4184373)",,1,,,,
62552883,Rue du Dauphin,residential,True,False,54.703,"LINESTRING (0.2324675 49.4194734, 0.2319857 49.4197389, 0.2318956 49.4197951)",,1,30,,,
1225270758,Rue de la République,secondary,False,False,108.30799999999999,"LINESTRING (0.2324675 49.4194734, 0.2321649 49.4190511, 0.2319107 49.4186964, 0.2318348 49.4185906)",,2,30,D 579a,,
62552841,Place Albert Sorel,residential,True,False,25.302,"LINESTRING (0.2309202 49.4173144, 0.2308425 49.4173333, 0.2307528 49.4173435, 0.2306618 49.4173423, 0.2306314 49.4173399, 0.230579 49.4173311)",,,,,,
231177301,Place Albert Sorel,secondary,False,False,68.11699999999999,"LINESTRING (0.2309202 49.4173144, 0.2307328 49.4170452, 0.2305323 49.4167562)",,,,D 579a,,
231177304,Rue de la République,secondary,False,True,31.752000000000002,"LINESTRING (0.2309202 49.4173144, 0.2310746 49.4175298, 0.2311057 49.4175732)",,2,30,D 579a,,
1099643011,,secondary,True,False,11.735,"LINESTRING (0.2400285 49.4178048, 0.2400655 49.4177862, 0.2401062 49.4177713, 0.240171 49.4177563)",,2,50,,roundabout,
"[1119235306, 1119235307]",,secondary_link,False,True,15.427,"LINESTRING (0.2400285 49.4178048, 0.2399254 49.4177236, 0.2398939 49.4176972)",,,,D 580a,,
1099643013,,secondary,True,False,7.916,"LINESTRING (0.2405403 49.4178575, 0.2405685 49.4179051, 0.2405759 49.4179247)",,2,50,,roundabout,
1123896648,,secondary,True,False,7.237,"LINESTRING (0.2405208 49.4180922, 0.2404888 49.4181172, 0.2404515 49.4181389)",,2,50,,roundabout,
1126233265,,secondary,True,False,0.997,"LINESTRING (0.2359554 49.4184509, 0.2359652 49.4184572)",,,,,roundabout,
62552866,Rue Villey,residential,False,True,102.868,"LINESTRING (0.2359554 49.4184509, 0.2359714 49.4184186, 0.2360166 49.4183429, 0.2362572 49.41794, 0.236479 49.4175909)",,,,,,
"[1124826562, 1123896653]",,secondary,True,False,19.104,"LINESTRING (0.2360136 49.4185614, 0.2360085 49.4185731, 0.2359956 49.4185839, 0.2359797 49.418593, 0.2359631 49.4185989, 0.2358467 49.4186112, 0.2357812 49.4186182)",,,30,,roundabout,
1123896652,,secondary,True,False,13.856,"LINESTRING (0.2355568 49.418642, 0.2355372 49.4185393, 0.2355444 49.4185187)",,,30,,roundabout,
