osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,width,bridge,lanes,access,junction,tunnel
16309148,Boulevard Ernest François,unclassified,False,False,66.42,"LINESTRING (4.0917073 43.780993, 4.0916458 43.7809974, 4.0915731 43.7810092, 4.0915106 43.7810135, 4.0914533 43.7810131, 4.0913148 43.7810115, 4.0910788 43.7809728, 4.0909736 43.7809574, 4.0908922 43.7809454)",,,,,,,,
16309148,Boulevard Ernest François,unclassified,False,True,190.036,"LINESTRING (4.0917073 43.780993, 4.0917765 43.7809924, 4.0918533 43.781005, 4.0918996 43.7810174, 4.0920285 43.7810509, 4.0920591 43.781071, 4.0922381 43.7812362, 4.092396 43.781466, 4.0924238 43.7816494, 4.0924186 43.7817739, 4.0924173 43.7818075, 4.092429 43.7818389, 4.0924621 43.7819083, 4.0926506 43.7822188, 4.0926741 43.7822529, 4.0927147 43.7822868, 4.0927687 43.7823095, 4.0928443 43.7823215)",,,,,,,,
151556056,Quai Frédéric Gaussorgues,secondary,False,True,41.397,"LINESTRING (4.0882684 43.7836255, 4.0879862 43.7839371)",20,,,,,,,
151556056,Quai Frédéric Gaussorgues,secondary,False,False,162.155,"LINESTRING (4.0882684 43.7836255, 4.0884439 43.7834415, 4.0888518 43.7830061, 4.0894401 43.7824381)",20,,,,,,,
16309155,Quai Docteur Cléon Griolet,tertiary,False,False,80.155,"LINESTRING (4.0894401 43.7824381, 4.0895855 43.7823046, 4.0896691 43.7822346, 4.0900147 43.7819452, 4.0900839 43.7818873)",30,D 12,,,,,,
"[597211640, 151556122, 16309869]",Pont Tibère,secondary,False,True,93.396,"LINESTRING (4.0894401 43.7824381, 4.0893394 43.7823977, 4.0886139 43.7820866, 4.088582 43.7820747, 4.0884362 43.7820138)",,D 12,5,yes,"['1', '2']",,,
151556056,Quai Frédéric Gaussorgues,secondary,False,True,162.15499999999997,"LINESTRING (4.0894401 43.7824381, 4.0888518 43.7830061, 4.0884439 43.7834415, 4.0882684 43.7836255)",20,,,,,,,
16309155,Quai Docteur Cléon Griolet,tertiary,False,False,129.814,"LINESTRING (4.0900839 43.7818873, 4.0902727 43.7816956, 4.0903184 43.7816346, 4.0903235 43.781623, 4.0905326 43.7811458, 4.0906256 43.7809902, 4.0907249 43.7809164, 4.0907556 43.7809069, 4.0908239 43.7808856)",30,D 12,,,,,,
16309155,Quai Docteur Cléon Griolet,tertiary,False,True,80.155,"LINESTRING (4.0900839 43.7818873, 4.0900147 43.7819452, 4.0896691 43.7822346, 4.0895855 43.7823046, 4.0894401 43.7824381)",30,D 12,,,,,,
186072508,Rue Flamande,residential,False,True,13.347000000000001,"LINESTRING (4.0900839 43.7818873, 4.090122 43.7819101, 4.0902112 43.7819645)",,,,,,,,
16309870,Rue Eugène Rouché,secondary,True,False,72.667,"LINESTRING (4.0884068 43.7841655, 4.0883787 43.7842014, 4.0879711 43.7847214, 4.0879611 43.7847343)",,,,,,,,
151556100,Rue Abbé Fabre,tertiary,True,False,73.33699999999999,"LINESTRING (4.0884068 43.7841655, 4.0891129 43.7845409, 4.0891424 43.7845566)",,,,,,,,
16309148,Boulevard Ernest François,unclassified,False,False,190.03600000000003,"LINESTRING (4.0928443 43.7823215, 4.0927687 43.7823095, 4.0927147 43.7822868, 4.0926741 43.7822529, 4.0926506 43.7822188, 4.0924621 43.7819083, 4.092429 43.7818389, 4.0924173 43.7818075, 4.0924186 43.7817739, 4.0924238 43.7816494, 4.092396 43.781466, 4.0922381 43.7812362, 4.0920591 43.781071, 4.0920285 43.7810509, 4.0918996 43.7810174, 4.0918533 43.781005, 4.0917765 43.7809924, 4.0917073 43.780993)",,,,,,,,
