osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,junction,bridge,lanes
421141511,False,Avenue du Pichagret,residential,False,42.512,"LINESTRING (3.8026887 43.6889905, 3.8028233 43.6890795, 3.8028927 43.6891056, 3.8030076 43.6891228, 3.8030905 43.6891182, 3.8031569 43.6891089)",,,,,
421141511,False,Avenue du Pichagret,residential,True,51.563,"LINESTRING (3.8026887 43.6889905, 3.8024775 43.6888358, 3.8023763 43.6887686, 3.802323 43.6887354, 3.8022988 43.6887214, 3.8022722 43.6887114, 3.8022544 43.6887074, 3.8022358 43.6887054, 3.8022013 43.688705)",,,,,
48408787,True,Avenue du Clapas,secondary,False,30.307,"LINESTRING (3.807325 43.6902705, 3.8073169 43.6903833, 3.8073182 43.6904468, 3.80733 43.690489, 3.8073537 43.6905392)",,50,,,
685413268,False,Avenue du Clapas,secondary,True,181.40700000000004,"LINESTRING (3.807325 43.6902705, 3.8074042 43.6899852, 3.8074594 43.6898218, 3.8075224 43.6896414, 3.8075865 43.6894611, 3.8076176 43.6893631, 3.8076559 43.6892584, 3.8077236 43.6890547, 3.8077953 43.688853, 3.8078525 43.6886846)",D 986E1,,,,
237004650,False,Rue de la Rompude,tertiary,True,46.152,"LINESTRING (3.8004824 43.6910378, 3.8004324 43.6910997, 3.8003949 43.6911379, 3.8002882 43.6912257, 3.8001182 43.6913567)",,,,,
421141505,False,Rue de la Cannelle,residential,True,37.74,"LINESTRING (3.8004824 43.6910378, 3.8005228 43.6910529, 3.8005826 43.6910752, 3.8007304 43.6911358, 3.8008829 43.6912137)",D 127E5,50,,,
421874498,False,Rue de la Cannelle,tertiary,True,41.81699999999999,"LINESTRING (3.8004824 43.6910378, 3.8004696 43.6909704, 3.8003896 43.6908602, 3.800375 43.690839, 3.800365 43.6908172, 3.8003484 43.6907644, 3.8003308 43.6906826)",D 127E5,,,,
52460039,False,Rue de la Rompude,tertiary,False,165.08599999999998,"LINESTRING (3.8011292 43.6955194, 3.8011314 43.6954901, 3.8011112 43.695438, 3.8010916 43.6953795, 3.8010508 43.6952582, 3.8009623 43.6950304, 3.8009233 43.6949412, 3.8008947 43.6948759, 3.8008469 43.6947695, 3.8007322 43.6945252, 3.8007055 43.6944579, 3.8006444 43.6943288, 3.8005863 43.6942066, 3.8005715 43.6941525, 3.8005715 43.6940957)",,,,,
52583097,False,Rue de la Valène,residential,False,76.527,"LINESTRING (3.8011292 43.6955194, 3.8012483 43.6954864, 3.8013929 43.6954451, 3.8015403 43.6953844, 3.8018429 43.6952424, 3.8019572 43.6951859)",,,,,
"[237004650, 237004651, 52460039]",False,Rue de la Rompude,tertiary,False,32.697,"LINESTRING (3.8002379 43.6923496, 3.8002027 43.6923141, 3.8001414 43.6922389, 3.8000199 43.6921015)",,,,yes,
52460039,False,Rue de la Rompude,tertiary,True,201.60999999999999,"LINESTRING (3.8002379 43.6923496, 3.8003641 43.6924811, 3.8003853 43.6925288, 3.8004222 43.6926715, 3.8004458 43.6927537, 3.800485 43.6928812, 3.8005467 43.6930769, 3.8005524 43.6930983, 3.8005795 43.6931969, 3.8005987 43.6932665, 3.8006394 43.6934006, 3.8006876 43.693568, 3.8007029 43.6936538, 3.8007043 43.6937011, 3.8007001 43.6937475, 3.8006701 43.6938238, 3.800607 43.693977, 3.8005715 43.6940957)",,,,,
237004650,False,Rue de la Rompude,tertiary,False,12.713,"LINESTRING (3.8000199 43.6921015, 3.7999293 43.6920078)",,,,,
52682854,False,Clos du Pous,residential,True,66.944,"LINESTRING (3.8000199 43.6921015, 3.8000897 43.6920783, 3.8002514 43.6920088, 3.8003594 43.6919513, 3.8004452 43.6918737, 3.8004667 43.6917884, 3.8004717 43.691661)",,,,,
"[237004650, 237004651, 52460039]",False,Rue de la Rompude,tertiary,True,32.697,"LINESTRING (3.8000199 43.6921015, 3.8001414 43.6922389, 3.8002027 43.6923141, 3.8002379 43.6923496)",,,,yes,
52679860,False,Rue du Calvaire,residential,True,257.34799999999996,"LINESTRING (3.8008829 43.6912137, 3.8009316 43.691162, 3.8011108 43.6911349, 3.8012388 43.6911071, 3.8013598 43.691065, 3.801474 43.6909969, 3.8015632 43.6909238, 3.8016356 43.6908236, 3.8016691 43.6906822, 3.8016689 43.6905665, 3.8016355 43.6904984, 3.8016063 43.6904389, 3.8015729 43.6903966, 3.8015193 43.6903289, 3.8014074 43.6902425, 3.8012152 43.6901899, 3.8010651 43.6901749, 3.800959 43.6901711, 3.8007564 43.6902135, 3.8005555 43.690297, 3.8004529 43.6903801, 3.8003269 43.6905012, 3.8002979 43.6905108, 3.8002626 43.690521)",,50,,,
421141505,False,Rue de la Cannelle,residential,False,37.739999999999995,"LINESTRING (3.8008829 43.6912137, 3.8007304 43.6911358, 3.8005826 43.6910752, 3.8005228 43.6910529, 3.8004824 43.6910378)",D 127E5,50,,,
421141505,False,Rue de la Cannelle,residential,True,39.338,"LINESTRING (3.8008829 43.6912137, 3.8010724 43.6913113, 3.8012873 43.6914127)",D 127E5,50,,,
52679860,False,Rue du Calvaire,residential,False,257.348,"LINESTRING (3.8002626 43.690521, 3.8002979 43.6905108, 3.8003269 43.6905012, 3.8004529 43.6903801, 3.8005555 43.690297, 3.8007564 43.6902135, 3.800959 43.6901711, 3.8010651 43.6901749, 3.8012152 43.6901899, 3.8014074 43.6902425, 3.8015193 43.6903289, 3.8015729 43.6903966, 3.8016063 43.6904389, 3.8016355 43.6904984, 3.8016689 43.6905665, 3.8016691 43.6906822, 3.8016356 43.6908236, 3.8015632 43.6909238, 3.801474 43.6909969, 3.8013598 43.691065, 3.8012388 43.6911071, 3.8011108 43.6911349, 3.8009316 43.691162, 3.8008829 43.6912137)",,50,,,
421874498,False,Rue de la Cannelle,tertiary,False,18.874000000000002,"LINESTRING (3.8002626 43.690521, 3.8003066 43.6906017, 3.800323 43.6906422, 3.8003308 43.6906826)",D 127E5,,,,
421874498,False,Rue de la Cannelle,tertiary,True,86.003,"LINESTRING (3.8002626 43.690521, 3.8002399 43.6904822, 3.8002033 43.690402, 3.8001105 43.6900748, 3.8000853 43.6899995, 3.8000411 43.6899003, 3.7999845 43.6897757)",D 127E5,,,,
421141511,False,Avenue du Pichagret,residential,True,12.355,"LINESTRING (3.8003614 43.6892866, 3.8002574 43.6893684)",,,,,
29073345,False,Rue de l'Orée du Bois,residential,False,205.94,"LINESTRING (3.8003614 43.6892866, 3.8003945 43.6893073, 3.8004109 43.6893183, 3.8004769 43.6893549, 3.8005329 43.6893767, 3.8006263 43.689405, 3.8007183 43.6894345, 3.8007733 43.6894504, 3.8008387 43.6894606, 3.8010454 43.68946, 3.8011766 43.6894532, 3.80129 43.6894321, 3.8016201 43.6893697, 3.8020872 43.6892735, 3.8023257 43.6892239, 3.802405 43.6891962, 3.8024408 43.6891727, 3.8026355 43.6890321, 3.8026887 43.6889905)",,,,,
421141511,False,Avenue du Pichagret,residential,False,49.282,"LINESTRING (3.8003614 43.6892866, 3.8005212 43.6891655, 3.8007846 43.688966)",,,,,
61234302,False,Rue du Puits du Père,residential,True,38.659,"LINESTRING (3.8012873 43.6914127, 3.8012575 43.6914506, 3.8012521 43.6914713, 3.8012377 43.6915326, 3.8011857 43.6917502)",,,,,
421141505,False,Rue de la Cannelle,residential,False,39.338,"LINESTRING (3.8012873 43.6914127, 3.8010724 43.6913113, 3.8008829 43.6912137)",D 127E5,50,,,
421141505,False,Rue de la Cannelle,residential,True,77.53099999999999,"LINESTRING (3.8012873 43.6914127, 3.8015781 43.6915311, 3.8019719 43.6917333, 3.8020313 43.6917685, 3.8020837 43.6918029)",D 127E5,50,,,
79988988,False,Rue du Puits du Père,residential,False,34.023,"LINESTRING (3.8011857 43.6917502, 3.8015563 43.6918979)",,,,,
288671271,False,Rue de la Taillade,residential,False,46.629,"LINESTRING (3.8011857 43.6917502, 3.8010917 43.692164)",,,,,
61234302,False,Rue du Puits du Père,residential,False,38.659,"LINESTRING (3.8011857 43.6917502, 3.8012377 43.6915326, 3.8012521 43.6914713, 3.8012575 43.6914506, 3.8012873 43.6914127)",,,,,
79988988,False,Rue du Puits du Père,residential,True,31.076999999999998,"LINESTRING (3.8012332 43.6924959, 3.8013393 43.6924203, 3.8014568 43.692271)",,,,,
288671271,False,Rue de la Taillade,residential,True,46.629,"LINESTRING (3.8010917 43.692164, 3.8011857 43.6917502)",,,,,
237004650,False,Rue de la Rompude,tertiary,True,12.713,"LINESTRING (3.7999293 43.6920078, 3.8000199 43.6921015)",,,,,
