osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,width,tunnel,access
38165763,True,2,Avenue de la République,secondary,30,False,94.168,"LINESTRING (2.3196067 48.8185092, 2.3196608 48.818593, 2.3198201 48.8188471, 2.3198652 48.8189191, 2.3199091 48.818991, 2.3200937 48.819293)",,,,,
"[163781497, 703103257]",False,"['2', '3']",Rue Gabriel Péri,secondary,"['30', '50']",False,206.135,"LINESTRING (2.3196067 48.8185092, 2.3197675 48.81848, 2.3198453 48.8184672, 2.3200364 48.8184357, 2.3200459 48.8184341, 2.3204082 48.8183745, 2.3204678 48.818365, 2.3204898 48.8183614, 2.3206416 48.8183363, 2.3208101 48.8183085, 2.3208566 48.8183006, 2.3211268 48.8182544, 2.3211841 48.8182446, 2.3212653 48.818231, 2.3214455 48.8182, 2.3216841 48.8181627, 2.3221352 48.8180414, 2.3221763 48.8180303, 2.3223161 48.8180201)",D 50,,,,
"[703103258, 8058935]",False,2,Avenue de la République,secondary,"['30', '50']",True,97.769,"LINESTRING (2.3196067 48.8185092, 2.3195415 48.818406, 2.3195106 48.818353, 2.3194618 48.8182774, 2.3193435 48.8180852, 2.3191498 48.8177707, 2.3191031 48.8176949)",,,,,
755416770,True,2,Rue Gabriel Péri,secondary,30,False,42.377,"LINESTRING (2.3196067 48.8185092, 2.3194218 48.8185589, 2.3191861 48.8185983, 2.3190506 48.8185913)",D 50,,,,
43789770,False,,,secondary,50,False,5.621,"LINESTRING (2.3256367 48.817507, 2.3255604 48.8175126)",,,,,
1077962707,False,,Rue Barbès,secondary,50,False,1.802,"LINESTRING (2.3256367 48.817507, 2.3256611 48.8175049)",D 50,,,,
146275301,True,3,Avenue Aristide Briand,primary,50,False,209.127,"LINESTRING (2.3256367 48.817507, 2.325635 48.8177171, 2.3256351 48.8177227, 2.3256451 48.8181198, 2.3256518 48.8182197, 2.325654 48.8182697, 2.325702 48.8193871)",D 920,,,,
38165773,True,,Boulevard Romain Rolland,secondary,30,False,49.626999999999995,"LINESTRING (2.3210697 48.820801, 2.3212143 48.8207715, 2.321712 48.8206585)",,,,,
"[16292841, 1231963339, 548612780, 548612781]",False,4,Avenue de la Porte de Montrouge,tertiary,30,False,56.581,"LINESTRING (2.3210697 48.820801, 2.321103 48.8208457, 2.3211264 48.8208689, 2.3212821 48.8210235, 2.3213054 48.8210466, 2.3213353 48.8210763, 2.3214717 48.821235)",,yes,,,
4040529,True,2,Avenue Henri Ginoux,secondary,50,False,107.133,"LINESTRING (2.3240379 48.8201912, 2.3239157 48.8200533, 2.3234319 48.8193797, 2.3233936 48.8193267)",,,,,
