osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,geometry,bridge,width,access,junction
157087870,False,Rue Paul Cazin,residential,50,False,9.979,,,"LINESTRING (4.111898 46.4535675, 4.1119825 46.4536358)",,,,
199788000,True,Boulevard Henri Régnier,secondary,50,False,217.578,1,D 248,"LINESTRING (4.111898 46.4535675, 4.1121917 46.4534213, 4.1131672 46.4529506, 4.1138418 46.4526563, 4.1139617 46.452605, 4.1142567 46.4524788)",,,,
159977046,True,Rue du 8 Mai,secondary,50,False,17.348,,,"LINESTRING (4.1171754 46.4513246, 4.1173649 46.45141)",,,,
25866433,False,Rue du 8 Mai,secondary,50,False,16.153,,,"LINESTRING (4.1171754 46.4513246, 4.1170878 46.4513389, 4.1170329 46.4513344, 4.1170059 46.4513256, 4.116978 46.4513103)",,,,
159977021,False,Rue de la Poste,tertiary,50,False,20.363999999999997,,,"LINESTRING (4.1171754 46.4513246, 4.117297 46.4512968, 4.1174281 46.4512678)",,,,
"[159977041, 25866433, 159977048]",False,"['Pont Digue', 'Rue du 8 Mai']",secondary,50,False,45.987,,,"LINESTRING (4.116978 46.4513103, 4.1169608 46.4512907, 4.1169398 46.451266, 4.1167789 46.4510548, 4.1167706 46.4510425, 4.116703 46.4509429)",yes,,,
25866433,False,Rue du 8 Mai,secondary,50,True,16.153,,,"LINESTRING (4.116978 46.4513103, 4.1170059 46.4513256, 4.1170329 46.4513344, 4.1170878 46.4513389, 4.1171754 46.4513246)",,,,
25866455,True,Rue du 8 Mai,secondary,50,False,19.607,,,"LINESTRING (4.116703 46.4509429, 4.1165553 46.4507989)",,,,
25866430,True,Rue Pierre Lathuilière,tertiary,50,False,43.406,,,"LINESTRING (4.116703 46.4509429, 4.1165723 46.4510059, 4.116175 46.451067)",,,,
"[159977048, 159977041, 25866433]",False,"['Pont Digue', 'Rue du 8 Mai']",secondary,50,True,45.987,,,"LINESTRING (4.116703 46.4509429, 4.1167706 46.4510425, 4.1167789 46.4510548, 4.1169398 46.451266, 4.1169608 46.4512907, 4.116978 46.4513103)",yes,,,
"[360779090, 75299283, 360779092, 360779093, 360779091]",True,Rue du 8 Mai,secondary,30,False,84.82999999999998,2,,"LINESTRING (4.1162419 46.4504537, 4.1160617 46.4503006, 4.1160305 46.4502741, 4.1160137 46.4502587, 4.1157089 46.4499803, 4.1156704 46.4499451, 4.1156477 46.4499244, 4.11563 46.4499073, 4.1155606 46.4498526)",,,,
"[231717456, 159977006]",True,Boulevard du Collège,secondary,"['30', '50']",False,47.854,,,"LINESTRING (4.1162419 46.4504537, 4.1162894 46.4503503, 4.1163573 46.4502606, 4.1164677 46.4502021, 4.1166291 46.4501455)",,,,
"[52065297, 52065298, 25866427, 360780213]",False,Rue des Deux Ponts,tertiary,30,False,125.556,,,"LINESTRING (4.1188159 46.4497183, 4.1188866 46.4497953, 4.1189085 46.4498181, 4.1190423 46.4499714, 4.1191409 46.4500777, 4.1191965 46.4501605, 4.1193605 46.4504921, 4.1194535 46.4506848, 4.119484 46.4507421)",yes,5.2,,
"[25866432, 360780211]",False,Boulevard du Dauphin Louis,residential,50,False,7.514,,,"LINESTRING (4.1188159 46.4497183, 4.1188807 46.4496959, 4.118893 46.4496912, 4.1189034 46.4496878)",,,,
"[360779089, 360780210, 199789868, 675319477]",True,Boulevard du Collège,secondary,"['50', '30']",False,184.011,,,"LINESTRING (4.1188159 46.4497183, 4.1187095 46.4497984, 4.1185566 46.4498608, 4.1184044 46.4499022, 4.1182311 46.449931, 4.1177849 46.4499909, 4.117704 46.4500027, 4.1173678 46.4500519, 4.1171102 46.4501124, 4.1168357 46.4501904, 4.1167209 46.4502429, 4.1166404 46.4503191)",,,,
"[199405226, 360780212]",False,Rue des Deux Ponts,secondary,30,True,51.187,2,D 34,"LINESTRING (4.1188159 46.4497183, 4.1186939 46.4495581, 4.1186687 46.4495236, 4.1185707 46.4493896, 4.1185242 46.4493047)",,,,
"[25866432, 360780211]",False,Boulevard du Dauphin Louis,residential,50,True,7.514,,,"LINESTRING (4.1189034 46.4496878, 4.118893 46.4496912, 4.1188807 46.4496959, 4.1188159 46.4497183)",,,,
946645266,True,Boulevard du Dauphin Louis,residential,50,False,41.684,,,"LINESTRING (4.1189034 46.4496878, 4.1189222 46.4496578, 4.1189441 46.4496357, 4.1190248 46.4496107, 4.1190912 46.4495876, 4.1191556 46.4495561, 4.1192083 46.4495209, 4.1192338 46.4494908, 4.1193149 46.4494609)",,,,
25866426,False,Boulevard du Dauphin Louis,residential,50,False,113.34,,,"LINESTRING (4.1199136 46.4485307, 4.119642 46.4489033, 4.1194401 46.4492035, 4.1193149 46.4494609)",,,,
"[25866457, 25866426]",False,Boulevard du Dauphin Louis,"['residential', 'unclassified']",50,"[False, True]",43.352000000000004,,,"LINESTRING (4.1199136 46.4485307, 4.1200761 46.4483289, 4.12029 46.4483888)",,,,
198670710,False,Rue du Vieux Moulin,residential,50,False,132.553,,,"LINESTRING (4.1199136 46.4485307, 4.1197855 46.4484564, 4.1196609 46.4483812, 4.1195294 46.4482685, 4.1194276 46.4481863, 4.1192416 46.4480284, 4.1190174 46.4479271, 4.1186336 46.4477437)",,,,
"[231717472, 50967084]",False,Rue de la Poste,tertiary,"['30', '50']",False,168.27,,,"LINESTRING (4.119484 46.4507421, 4.1193979 46.450748, 4.1189752 46.4508449, 4.1189315 46.4508567, 4.1186495 46.4509332, 4.1184283 46.4509931, 4.1183549 46.451013, 4.1181814 46.45106, 4.1174281 46.4512678)",,,,
"[52065297, 52065298, 25866427, 360780213]",False,Rue des Deux Ponts,tertiary,30,True,125.556,,,"LINESTRING (4.119484 46.4507421, 4.1194535 46.4506848, 4.1193605 46.4504921, 4.1191965 46.4501605, 4.1191409 46.4500777, 4.1190423 46.4499714, 4.1189085 46.4498181, 4.1188866 46.4497953, 4.1188159 46.4497183)",yes,5.2,,
159977005,True,Avenue Jean-Paul II,unclassified,30,False,50.964,,,"LINESTRING (4.119484 46.4507421, 4.119618 46.4507294, 4.1197707 46.4506845, 4.1199404 46.4506252, 4.1200938 46.4505691)",,,,
"[152980411, 152980412, 199392965]",False,Pont du Faubourg,secondary,50,False,28.605,2,D 34,"LINESTRING (4.1173363 46.4470138, 4.1174268 46.4470551, 4.117544 46.4471383, 4.1175956 46.4471945)",yes,,,
199405231,False,Quai du Commerce,secondary,50,True,295.023,2,D 979,"LINESTRING (4.1173363 46.4470138, 4.1172373 46.4470832, 4.1169906 46.4472466, 4.1168835 46.4473206, 4.1163698 46.4476853, 4.1155734 46.4482248, 4.1146999 46.4488213, 4.1146029 46.4488823)",,,,
