osmid,highway,width,junction,oneway,reversed,length,geometry,lanes,name,maxspeed,ref,tunnel
5077940,tertiary,5,roundabout,True,False,5.643,"LINESTRING (-1.6143861 48.0857546, -1.6144063 48.0857648, -1.6144298 48.085771, -1.614455 48.085773)",,,,,
416560989,tertiary,3,,True,False,12.162,"LINESTRING (-1.6144692 48.0856448, -1.6143338 48.0855833)",1,Rue du Bois,30,,
5077940,tertiary,5,roundabout,True,False,8.904,"LINESTRING (-1.6144692 48.0856448, -1.6144347 48.0856453, -1.6144026 48.0856538, -1.614377 48.0856692, -1.6143686 48.0856786)",,,,,
"[469948399, 217425327]",secondary,,,False,False,69.556,"LINESTRING (-1.6149728 48.0915267, -1.6150686 48.0914338, -1.6151251 48.0913703, -1.6151617 48.0913259, -1.6151941 48.0912812, -1.6153175 48.0910997, -1.6154037 48.090973)",2,Rue d'Hallouvry,,D 86,
618763799,secondary,,roundabout,True,False,4.806,"LINESTRING (-1.6149728 48.0915267, -1.6149482 48.0915186, -1.6149215 48.0915146, -1.6149116 48.0915142)",,,,,
"[59831212, 886334964, 356648671]",secondary,,,False,False,158.05999999999997,"LINESTRING (-1.6207796 48.088842, -1.6208906 48.0888869, -1.6212117 48.0890349, -1.6215624 48.0892011, -1.6215996 48.0892186, -1.6222556 48.0895482, -1.6223573 48.0895992, -1.6225063 48.089672)",2,Avenue André Bonnin,"['30', '50']",D 286,
356648671,secondary,,,False,True,79.531,"LINESTRING (-1.6207796 48.088842, -1.6205988 48.0887941, -1.6204657 48.0887588, -1.6202459 48.0886983, -1.6199538 48.0886183, -1.6198873 48.0886016, -1.6197919 48.088567)",2,Avenue André Bonnin,30,D 286,
"[23487096, 876573921]",tertiary,,,True,False,85.44700000000002,"LINESTRING (-1.6207796 48.088842, -1.6208413 48.0887668, -1.620857 48.088748, -1.6209533 48.0887007, -1.6217167 48.0885416, -1.6217834 48.0885262)",,Rue de Provence,30,,
"[292801216, 59831211]",secondary,,,False,False,146.292,"LINESTRING (-1.6179033 48.0882035, -1.6181331 48.0882266, -1.6181643 48.0882313, -1.61821 48.0882362, -1.6188287 48.0883512, -1.6190659 48.0884022, -1.6192089 48.088433, -1.6196222 48.088522, -1.6197126 48.0885415, -1.6197919 48.088567)",,Avenue André Bonnin,30,D 286,
292801216,secondary,,,False,True,66.25399999999999,"LINESTRING (-1.6179033 48.0882035, -1.6177791 48.0881767, -1.6177205 48.0881585, -1.6172352 48.0879996, -1.6171018 48.0879451)",,Avenue André Bonnin,30,D 286,
23696594,tertiary,,roundabout,True,False,11.243,"LINESTRING (-1.6187415 48.0908996, -1.6187723 48.0909017, -1.6187942 48.0908987, -1.6188214 48.0908888, -1.6188445 48.0908703, -1.6188541 48.0908506)",,,,,
"[876573917, 48646406]",tertiary,,,False,True,38.27,"LINESTRING (-1.6187415 48.0908996, -1.6187315 48.0909169, -1.6187151 48.0909455, -1.6186041 48.0911832, -1.6185961 48.0912289)",2,Rue des Landes,,,
23696594,tertiary,,roundabout,True,False,12.946000000000002,"LINESTRING (-1.6188192 48.0907946, -1.6187915 48.0907853, -1.6187725 48.0907829, -1.6187417 48.090785, -1.6187223 48.0907903, -1.6186921 48.0908088, -1.6186793 48.0908277)",,,,,
23696595,tertiary,,,False,False,48.414,"LINESTRING (-1.6188192 48.0907946, -1.6188306 48.0907689, -1.618842 48.0907431, -1.6190434 48.0903859)",2,Rue des Landes,,,
25508507,tertiary,,,False,False,102.027,"LINESTRING (-1.6197919 48.088567, -1.6197663 48.0884878, -1.6197765 48.0884129, -1.6197793 48.0883925, -1.6198279 48.088055, -1.6198457 48.0878616, -1.6198649 48.087654)",2,Avenue des Deux Ruisseaux,,,
25508519,tertiary,,,False,True,35.505,"LINESTRING (-1.6197919 48.088567, -1.6198063 48.0886115, -1.6197876 48.0886643, -1.6197177 48.0888788)",2,Rue des Landes,30,,
"[292801216, 59831211]",secondary,,,False,True,146.29199999999997,"LINESTRING (-1.6197919 48.088567, -1.6197126 48.0885415, -1.6196222 48.088522, -1.6192089 48.088433, -1.6190659 48.0884022, -1.6188287 48.0883512, -1.61821 48.0882362, -1.6181643 48.0882313, -1.6181331 48.0882266, -1.6179033 48.0882035)",,Avenue André Bonnin,30,D 286,
356648671,secondary,,,False,False,79.531,"LINESTRING (-1.6197919 48.088567, -1.6198873 48.0886016, -1.6199538 48.0886183, -1.6202459 48.0886983, -1.6204657 48.0887588, -1.6205988 48.0887941, -1.6207796 48.088842)",2,Avenue André Bonnin,30,D 286,
292801264,secondary,,roundabout,True,False,15.314,"LINESTRING (-1.6235632 48.09014, -1.6235633 48.0901124, -1.623551 48.0900932, -1.6235379 48.0900805, -1.6235221 48.09007, -1.6234981 48.0900582, -1.6234733 48.0900526, -1.623442 48.0900474)",1,,50,,
618763794,secondary,,roundabout,True,False,8.963000000000001,"LINESTRING (-1.6235099 48.0902085, -1.6235323 48.0901949, -1.6235498 48.0901797, -1.6235608 48.0901619, -1.6235632 48.09014)",1,,50,,
26386788,secondary,,,True,False,22.541,"LINESTRING (-1.6233863 48.0900565, -1.6232354 48.0900079, -1.6231129 48.0899685)",,Avenue André Bonnin,50,D 286,
618763793,secondary,,roundabout,True,False,8.262,"LINESTRING (-1.6233863 48.0900565, -1.6233627 48.0900689, -1.6233471 48.0900831, -1.6233382 48.0900997, -1.6233352 48.0901186)",1,,50,,
896985941,secondary,,roundabout,True,False,5.989,"LINESTRING (-1.6234304 48.0902129, -1.6234687 48.0902147, -1.6235099 48.0902085)",1,,50,,
896985942,tertiary,,,False,False,125.402,"LINESTRING (-1.6234304 48.0902129, -1.6234131 48.0902404, -1.6233812 48.0902931, -1.6233602 48.0903341, -1.6230914 48.0909789, -1.6230524 48.0910596, -1.6230085 48.0911238, -1.622883 48.0912752)",,Avenue de Bretagne,,,
618763792,secondary,,roundabout,True,False,13.739,"LINESTRING (-1.6233352 48.0901186, -1.6233376 48.0901485, -1.6233489 48.09017, -1.62337 48.0901887, -1.6233952 48.0902022, -1.6234304 48.0902129)",1,,50,,
26386789,secondary,,,True,False,23.479,"LINESTRING (-1.6231129 48.0899685, -1.623208 48.0900321, -1.6233081 48.0900991, -1.6233352 48.0901186)",,Avenue André Bonnin,50,D 286,
59831212,secondary,,,False,True,55.829,"LINESTRING (-1.6231129 48.0899685, -1.6226521 48.0897433, -1.6225063 48.089672)",,Avenue André Bonnin,50,D 286,
22678999,residential,,,False,False,97.316,"LINESTRING (-1.6160625 48.0900298, -1.616153 48.0900481, -1.617088 48.0901693, -1.6173512 48.0901719)",,Rue de Picardie,,,
25508511,secondary,,,False,False,49.75,"LINESTRING (-1.6160625 48.0900298, -1.6161057 48.0899334, -1.6161678 48.0897762, -1.6162206 48.0895954)",,Rue d'Hallouvry,,D 86,
469948395,secondary,,,False,True,35.386,"LINESTRING (-1.6160625 48.0900298, -1.6160298 48.0900864, -1.6159751 48.0901784, -1.6159066 48.090284, -1.6158825 48.0903244)",2,Rue d'Hallouvry,,D 86,
22678999,residential,,,False,True,128.409,"LINESTRING (-1.6190434 48.0903859, -1.6190092 48.0903809, -1.6189508 48.0903723, -1.6175212 48.090163, -1.6173512 48.0901719)",,Rue de Picardie,,,
