osmid,name,highway,junction,oneway,reversed,length,geometry,ref,lanes,maxspeed,bridge,width
152310423,Place de la Gare,secondary,roundabout,True,False,11.227,"LINESTRING (-0.8681601 47.6784132, -0.8681261 47.6784218, -0.8681062 47.6784353, -0.8680877 47.6784574, -0.8680859 47.6784895)",,,,,
228957296,Rue Denis Papin,secondary,,False,True,117.138,"LINESTRING (-0.8681601 47.6784132, -0.868139 47.6783419, -0.8680139 47.6778043, -0.8678912 47.6773756)",D 961,,,,
467724176,Rue de la Petite Vitesse,residential,,False,True,27.477,"LINESTRING (-0.8655169 47.6796909, -0.8655019 47.679444)",,,,,
152307342,Chemin du Buron,residential,,False,True,226.48799999999997,"LINESTRING (-0.8672451 47.6797087, -0.8672558 47.679941, -0.8672065 47.6809645, -0.8672306 47.6813091, -0.8672512 47.681424, -0.8673079 47.6817414)",,1,,,
"[152310422, 152307343]",Chemin du Buron,residential,,False,"[False, True]",107.517,"LINESTRING (-0.8672451 47.6797087, -0.8671958 47.6792371, -0.867184 47.6791568, -0.8671633 47.6790233, -0.8671502 47.6789702, -0.8669457 47.6788659, -0.8668832 47.6788342)",,,,,
"[798874782, 798874783]",Rue David d'Angers,secondary,,False,False,56.641999999999996,"LINESTRING (-0.8661158 47.6854638, -0.8655037 47.6855149, -0.8653645 47.6855242)",,,,,
798874783,Rue David d'Angers,secondary,,False,True,40.679,"LINESTRING (-0.8661158 47.6854638, -0.8662433 47.6854517, -0.8663989 47.6854369, -0.8666553 47.6854208)",,,,,
"[798874782, 798874783]",Rue David d'Angers,secondary,,False,True,56.641999999999996,"LINESTRING (-0.8653645 47.6855242, -0.8655037 47.6855149, -0.8661158 47.6854638)",,,,,
"[132728842, 798874783]",Rue David d'Angers,secondary,,False,False,231.838,"LINESTRING (-0.8697391 47.6852337, -0.8696295 47.6852337, -0.8690939 47.6852674, -0.8688812 47.6852806, -0.8687193 47.6852851, -0.8685072 47.6853007, -0.8682057 47.6853219, -0.8674534 47.6853743, -0.8673072 47.6853828, -0.8671327 47.685393, -0.8666553 47.6854208)",,,,,
"[632505908, 529276838, 529276839]",Rue du Cap de Hautecloque,secondary,,False,False,86.095,"LINESTRING (-0.8697391 47.6852337, -0.86984 47.685237, -0.869953 47.6852425, -0.8701414 47.6852683, -0.870399 47.6853086, -0.8704212 47.6853121, -0.8706772 47.6853676, -0.8707034 47.6853705, -0.8708569 47.6854027)",,1,50,yes,
73553959,Rue Victor Hugo,tertiary,,True,False,54.804,"LINESTRING (-0.8708569 47.6854027, -0.8709877 47.6854288, -0.8715781 47.6854822)",,,,,
"[632505908, 529276838, 529276839]",Rue du Cap de Hautecloque,secondary,,False,True,86.09499999999998,"LINESTRING (-0.8708569 47.6854027, -0.8707034 47.6853705, -0.8706772 47.6853676, -0.8704212 47.6853121, -0.870399 47.6853086, -0.8701414 47.6852683, -0.869953 47.6852425, -0.86984 47.685237, -0.8697391 47.6852337)",,1,50,yes,
536438234,Rue Gambetta,secondary,,False,False,60.016,"LINESTRING (-0.8708569 47.6854027, -0.8708577 47.6853266, -0.8708579 47.6852993, -0.8708677 47.6849772, -0.870877 47.6848632)",D 280,2,50,,
73553783,Rue Pasteur,living_street,,True,False,72.015,"LINESTRING (-0.870877 47.6848632, -0.8712859 47.6849972, -0.8715439 47.6850821, -0.871736 47.6851544)",,1,20,,
