osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,name
600325682,tertiary,50,roundabout,True,False,11.854000000000003,"LINESTRING (-1.639792 47.2223053, -1.6397891 47.2222921, -1.6397837 47.2222793, -1.6397759 47.2222671, -1.6397659 47.2222556, -1.6397538 47.2222451, -1.6397399 47.2222358, -1.6397242 47.2222277, -1.6397072 47.2222211)",,
143967239,tertiary,50,,False,False,94.114,"LINESTRING (-1.6396113 47.2224155, -1.6395857 47.2224854, -1.6394789 47.2227253, -1.6392556 47.2232266)",2,Boulevard Marcel Paul
600325682,tertiary,50,roundabout,True,False,21.214000000000002,"LINESTRING (-1.6396113 47.2224155, -1.6396327 47.2224173, -1.6396543 47.222417, -1.6396757 47.2224146, -1.6396963 47.2224102, -1.6397157 47.2224038, -1.6397337 47.2223956, -1.6397498 47.2223858, -1.6397636 47.2223746, -1.639775 47.2223621, -1.6397837 47.2223487, -1.6397895 47.2223345, -1.6397922 47.22232, -1.639792 47.2223053)",,
19801414,tertiary,50,,True,False,193.16099999999997,"LINESTRING (-1.6369855 47.2221055, -1.6370647 47.2221109, -1.6371136 47.2221248, -1.6371805 47.2221438, -1.6372493 47.2221558, -1.6373032 47.2221628, -1.6377264 47.2221996, -1.6378208 47.2222078, -1.6381245 47.2222338, -1.6386853 47.2222817, -1.6389489 47.2223042, -1.6391963 47.2223196, -1.6393214 47.2223286, -1.6393613 47.2223314, -1.6394282 47.2223459, -1.6395071 47.2223642)",1,Boulevard Salvador Allende
600325633,tertiary,,roundabout,True,False,10.053,"LINESTRING (-1.6369855 47.2221055, -1.6370302 47.2220721, -1.6370547 47.22203)",,
600325634,tertiary,,roundabout,True,False,4.275,"LINESTRING (-1.6369358 47.2221239, -1.6369855 47.2221055)",,
19801417,tertiary,50,,True,False,241.24800000000002,"LINESTRING (-1.6367539 47.2219093, -1.6366023 47.2218946, -1.6356132 47.221799, -1.6345921 47.221674, -1.6338861 47.2215703, -1.6337509 47.2215456, -1.6336134 47.2215204)",1,Boulevard Salvador Allende
600325637,tertiary,,roundabout,True,False,14.814,"LINESTRING (-1.6367539 47.2219093, -1.6367055 47.221952, -1.6366919 47.2219791, -1.6366912 47.2220298)",,
600325636,tertiary,,roundabout,True,False,9.159,"LINESTRING (-1.6366912 47.2220298, -1.6367124 47.2220684, -1.6367509 47.2221002)",,
28863438,residential,30,,True,False,19.59,"LINESTRING (-1.6367509 47.2221002, -1.6367717 47.2221425, -1.6367792 47.2221744, -1.6367734 47.2222084, -1.6367622 47.222273)",,Avenue Jacques Cartier
600325635,tertiary,,roundabout,True,False,14.828,"LINESTRING (-1.6367509 47.2221002, -1.636807 47.2221231, -1.6368713 47.2221314, -1.6369358 47.2221239)",,
600325682,tertiary,50,roundabout,True,False,10.03,"LINESTRING (-1.6395071 47.2223642, -1.6395173 47.2223751, -1.6395294 47.222385, -1.6395433 47.2223938, -1.6395587 47.2224013, -1.6395753 47.2224075, -1.6395929 47.2224123, -1.6396113 47.2224155)",,
19801416,tertiary,50,,True,False,238.25,"LINESTRING (-1.6335862 47.2216547, -1.6337135 47.2216688, -1.633878 47.221687, -1.6345669 47.2217883, -1.6355893 47.2219165, -1.6365198 47.2220077, -1.636571 47.2220143, -1.6366912 47.2220298)",1,Boulevard Salvador Allende
143898831,tertiary,50,roundabout,True,False,15.875,"LINESTRING (-1.6335862 47.2216547, -1.6336056 47.221636, -1.6336226 47.2216089, -1.6336303 47.2215762, -1.6336268 47.2215488, -1.6336134 47.2215204)",2,
907089544,tertiary,50,roundabout,True,False,7.430999999999999,"LINESTRING (-1.6335059 47.2216923, -1.6335542 47.221675, -1.6335862 47.2216547)",2,
19801492,residential,30,,True,False,23.807000000000002,"LINESTRING (-1.6333129 47.2216623, -1.6333206 47.2217169, -1.6333267 47.2217742, -1.6333291 47.2217963, -1.6333167 47.2218755)",,Avenue du Saint-Laurent
697874993,tertiary,50,roundabout,True,False,15.712,"LINESTRING (-1.6333129 47.2216623, -1.6333541 47.2216834, -1.6334037 47.2216963, -1.6334575 47.221699, -1.6335059 47.2216923)",2,
"[907089545, 907089546]",tertiary,50,roundabout,True,False,24.336999999999996,"LINESTRING (-1.6336134 47.2215204, -1.6335864 47.2214916, -1.6335612 47.2214748, -1.6335227 47.2214586, -1.6334818 47.2214494, -1.6334061 47.2214496, -1.633395 47.2214514, -1.6333395 47.2214689)",2,
