osmid,lanes,name,highway,oneway,reversed,length,width,geometry,junction,ref,maxspeed,tunnel,bridge
1206587497,2,Allée Paul Riquet,secondary,False,True,47.479,,"LINESTRING (3.2181124 43.3412357, 3.218368 43.3408513)",,,,,
1252923197,,Rue Victor Hugo,residential,True,False,65.664,8,"LINESTRING (3.2181124 43.3412357, 3.2189231 43.3412027)",,,,,
1206587497,2,Allée Paul Riquet,secondary,False,False,56.034,,"LINESTRING (3.2181124 43.3412357, 3.2179105 43.3415516, 3.217895 43.3415759, 3.2178145 43.3416906)",,,,,
38067119,2,Avenue de la Marne,secondary,False,False,38.181,,"LINESTRING (3.2157456 43.3396307, 3.2159477 43.3398183, 3.2160371 43.3399008)",,,,,
38067119,2,Avenue de la Marne,secondary,False,True,23.209,,"LINESTRING (3.2157456 43.3396307, 3.2156186 43.339513, 3.2155664 43.3394677)",,,,,
38095964,,Rue Muratel,residential,False,False,76.63199999999999,,"LINESTRING (3.2157456 43.3396307, 3.2157982 43.3395903, 3.216178 43.3392651, 3.2161609 43.3392529, 3.2159819 43.3391153)",,,,,
30437895,2,Avenue Maréchal Joffre,secondary,False,False,27.133,,"LINESTRING (3.2161584 43.3400091, 3.2162595 43.3401076, 3.2163486 43.3402099)",,,,,
38136945,,,secondary,True,False,13.863,,"LINESTRING (3.2161584 43.3400091, 3.2161396 43.3400165, 3.2161189 43.3400207, 3.2160975 43.3400215, 3.2160764 43.3400188, 3.2160567 43.3400127, 3.2160392 43.3400037, 3.216025 43.339992, 3.2160146 43.3399784)",roundabout,,,,
"[82100871, 30437895]",2,Avenue Maréchal Joffre,secondary,False,False,77.51899999999999,,"LINESTRING (3.2163486 43.3402099, 3.2166168 43.3404503, 3.2167265 43.3404827, 3.2168555 43.340496, 3.2169184 43.3404943, 3.2169862 43.3404924, 3.2171347 43.3404644)",,,,,
30437895,2,Avenue Maréchal Joffre,secondary,False,True,27.133,,"LINESTRING (3.2163486 43.3402099, 3.2162595 43.3401076, 3.2161584 43.3400091)",,,,,
38095975,,Rue du Coq,residential,True,False,107.968,,"LINESTRING (3.2163486 43.3402099, 3.2159505 43.3403255, 3.2151225 43.3405937)",,,,,
82100875,,Rue du Coq,residential,True,False,33.538,,"LINESTRING (3.2163486 43.3402099, 3.21644 43.340183, 3.2167331 43.3400969)",,,,,
38138544,,Rue Rozier,residential,True,False,33.758,,"LINESTRING (3.211557 43.3387754, 3.2111811 43.3386434)",,,,,
121462498,1,Avenue Colonel d'Ornano,primary,True,False,42.767,,"LINESTRING (3.211557 43.3387754, 3.2116451 43.3387029, 3.2118072 43.3385719, 3.2119358 43.338511)",,D 612B,50,,
375952896,2,Avenue Maréchal Joffre,secondary,False,False,9.58,,"LINESTRING (3.2177444 43.3399954, 3.2178207 43.3399295)",,,,,
30437915,,Rue Bagatelle,residential,True,False,58.641000000000005,6,"LINESTRING (3.2177444 43.3399954, 3.217758 43.3400374, 3.217764 43.340056, 3.2179108 43.3405087)",,,,,
82100871,2,Avenue Maréchal Joffre,secondary,False,True,26.394,,"LINESTRING (3.2177444 43.3399954, 3.217654 43.3400849, 3.2175472 43.3401845)",,,,,
38067119,2,Avenue de la Marne,secondary,False,False,8.843,,"LINESTRING (3.2154995 43.3394048, 3.2155664 43.3394677)",,,,,
38067119,2,Avenue de la Marne,secondary,False,True,24.345,,"LINESTRING (3.2154995 43.3394048, 3.2153434 43.3392176)",,,,,
38136935,,Rue Gaveau,residential,False,False,36.035,,"LINESTRING (3.2154995 43.3394048, 3.2151229 43.339578)",,,,,
940626176,,Allée Paul Riquet,secondary,False,False,12.377,,"LINESTRING (3.218858 43.3401873, 3.2187767 43.3402816)",,,,,
30437899,3,Allée Paul Riquet,secondary,False,True,23.329,,"LINESTRING (3.218858 43.3401873, 3.2188375 43.3401067, 3.2188178 43.3400355, 3.2187865 43.3399852)",,,,,
38095976,,Rue Leconte de L'Isle,residential,False,True,52.199000000000005,,"LINESTRING (3.2171347 43.3404644, 3.2170948 43.3404279, 3.2167331 43.3400969)",,,,,
82100871,2,Avenue Maréchal Joffre,secondary,False,False,46.599000000000004,,"LINESTRING (3.2171347 43.3404644, 3.2172259 43.3404374, 3.2173293 43.3403861, 3.2175472 43.3401845)",,,,,
"[30437895, 82100871]",2,Avenue Maréchal Joffre,secondary,False,True,77.519,,"LINESTRING (3.2171347 43.3404644, 3.2169862 43.3404924, 3.2169184 43.3404943, 3.2168555 43.340496, 3.2167265 43.3404827, 3.2166168 43.3404503, 3.2163486 43.3402099)",,,,,
1180958770,2,Avenue Georges Clemenceau,secondary,False,False,33.39,,"LINESTRING (3.2179205 43.3467683, 3.2182062 43.3469851)",,,,,
1180958770,2,Avenue Georges Clemenceau,secondary,False,True,42.284,,"LINESTRING (3.2179205 43.3467683, 3.2175773 43.3464814)",,,,,
30437349,2,Place de la Victoire,secondary,True,False,18.211,,"LINESTRING (3.2155731 43.3450122, 3.215517 43.3450155, 3.2154614 43.345009, 3.2154095 43.3449931, 3.2153644 43.3449686)",roundabout,,,,
139431146,,Avenue Maréchal Foch,secondary,False,True,111.839,,"LINESTRING (3.2155731 43.3450122, 3.2155819 43.3450464, 3.2156163 43.34518, 3.2156239 43.3452095, 3.2159299 43.3459832)",,,,,
830424428,2,Place de la Victoire,secondary,True,False,21.774,,"LINESTRING (3.2157598 43.3448291, 3.2157564 43.344878, 3.215734 43.3449242, 3.2156945 43.3449638, 3.2156412 43.3449937)",roundabout,,,,
30437899,3,Allée Paul Riquet,secondary,False,False,23.329,,"LINESTRING (3.2187865 43.3399852, 3.2188178 43.3400355, 3.2188375 43.3401067, 3.218858 43.3401873)",,,,,
400780776,,Avenue Maréchal Joffre,secondary,False,True,33.182,10,"LINESTRING (3.2187865 43.3399852, 3.2187266 43.3399498, 3.2186603 43.3399238, 3.2185446 43.3398791, 3.2184366 43.3398308)",,,,,
38138545,,Rue des Minimes,residential,True,False,56.252,,"LINESTRING (3.210844 43.3390859, 3.2108813 43.3390369, 3.2111583 43.3386733, 3.2111811 43.3386434)",,,,,
121462498,1,Avenue Colonel d'Ornano,primary,True,False,69.679,,"LINESTRING (3.210844 43.3390859, 3.2109337 43.3390834, 3.2110226 43.3390712, 3.2111097 43.3390496, 3.2112101 43.3390113, 3.2113077 43.338956, 3.2114079 43.3388914, 3.2114954 43.3388233, 3.211557 43.3387754)",,D 612B,50,,
38067119,2,Avenue de la Marne,secondary,False,False,24.345,,"LINESTRING (3.2153434 43.3392176, 3.2154995 43.3394048)",,,,,
