osmid,oneway,lanes,highway,reversed,length,geometry,junction,name,maxspeed
6011595,True,1,primary_link,False,275.569,"LINESTRING (-0.4971509 47.4724211, -0.4970318 47.4724019, -0.4963352 47.4724261, -0.495994 47.4724421, -0.4952777 47.4724798, -0.4947999 47.4725119, -0.4937391 47.4726095, -0.4935916 47.4726136, -0.4935046 47.4726071)",,,
4607913,True,,tertiary,False,15.088000000000001,"LINESTRING (-0.4935046 47.4726071, -0.4934296 47.472562, -0.4933386 47.4725334)",roundabout,,
4607913,True,,tertiary,False,19.493000000000002,"LINESTRING (-0.4933386 47.4725334, -0.4932533 47.4725238, -0.4931672 47.4725288, -0.4930856 47.4725481)",roundabout,,
4607917,True,,tertiary,False,57.797,"LINESTRING (-0.4933386 47.4725334, -0.4933025 47.4724834, -0.4932931 47.4724362, -0.4933359 47.472336, -0.49334 47.4722549, -0.493328 47.4721979, -0.4933159 47.4721787, -0.4932529 47.4720791, -0.4932162 47.4720424)",,Rue de la Marmitière,
48235178,False,,residential,True,82.941,"LINESTRING (-0.4919716 47.4708493, -0.4920149 47.4708281, -0.4920539 47.4708045, -0.492129 47.4707503, -0.4921766 47.4707134, -0.4922303 47.4706771, -0.4927493 47.4704219, -0.4927949 47.4704079, -0.4928401 47.4703979)",,Rue Renoir,
48235181,False,2,tertiary,True,66.664,"LINESTRING (-0.4919716 47.4708493, -0.4924039 47.4712478, -0.4924697 47.471314, -0.4924914 47.471335)",,Rue de la Marmitière,50
682107402,False,,tertiary,False,34.534,"LINESTRING (-0.4919716 47.4708493, -0.4919091 47.4707957, -0.4918373 47.4707256, -0.4917596 47.4706551, -0.4916982 47.4705998)",,Rue de la Marmitière,30
48235176,False,,residential,True,43.64300000000001,"LINESTRING (-0.4916982 47.4705998, -0.4916181 47.4706449, -0.4913046 47.470795, -0.4912744 47.4708219, -0.4912548 47.4708472)",,Rue Henri Matisse,
682107402,False,,tertiary,True,34.534,"LINESTRING (-0.4916982 47.4705998, -0.4917596 47.4706551, -0.4918373 47.4707256, -0.4919091 47.4707957, -0.4919716 47.4708493)",,Rue de la Marmitière,30
682107403,False,2,tertiary,False,64.033,"LINESTRING (-0.4916982 47.4705998, -0.4912694 47.4702053, -0.4911957 47.4701348)",,Rue de la Marmitière,50
"[187372451, 922896911]",False,2,tertiary,True,179.10999999999999,"LINESTRING (-0.4906428 47.4667173, -0.4908502 47.4667367, -0.4912041 47.4667525, -0.4913982 47.4667612, -0.4915215 47.4667664, -0.4915726 47.4667687, -0.4919614 47.4667861, -0.4920319 47.4667893, -0.4920532 47.4667903, -0.4923678 47.4668056, -0.4928948 47.4668278, -0.4930189 47.4668327)",,Route de Beaufort,30
"[864129816, 4607921]",False,2,tertiary,False,323.069,"LINESTRING (-0.4906428 47.4667173, -0.4906525 47.4666143, -0.4907174 47.4663209, -0.4907566 47.4661438, -0.4908876 47.4654117, -0.4909102 47.4649417, -0.4909676 47.4639507, -0.4909893 47.4638245)",,Rue de la Jaudette,
"[864129817, 864129818, 4607916]",False,2,tertiary,True,245.421,"LINESTRING (-0.4906428 47.4667173, -0.4906384 47.466828, -0.4906269 47.4669117, -0.4906119 47.4670975, -0.4905937 47.4673241, -0.4905718 47.4675704, -0.4905499 47.4677319, -0.4905217 47.4678521, -0.4903854 47.4681887, -0.490324 47.4683797, -0.4903062 47.4684855, -0.4902971 47.4685737, -0.4902843 47.4686798, -0.4902875 47.4687525, -0.4903505 47.4688965)",,Rue de la Marmitière,
190748421,True,,tertiary,False,17.035,"LINESTRING (-0.4987221 47.4668685, -0.4987258 47.4668516, -0.4987239 47.4668346, -0.4987166 47.4668184, -0.4987042 47.4668036, -0.4986872 47.466791, -0.4986666 47.4667812, -0.4986434 47.4667747, -0.4986185 47.4667718, -0.4985934 47.4667727)",roundabout,,
768608794,False,2,tertiary,False,58.687,"LINESTRING (-0.4987221 47.4668685, -0.4987507 47.4668695, -0.4987809 47.4668713, -0.4988451 47.466872, -0.499219 47.4668678, -0.4993616 47.46687, -0.4994432 47.4668726, -0.4995024 47.4668745)",,Route d’Angers,
4687233,True,,tertiary,False,13.454,"LINESTRING (-0.4985934 47.4667727, -0.4985688 47.4667774, -0.4985463 47.4667857, -0.4985272 47.4667971, -0.4985123 47.4668112, -0.4985024 47.4668271, -0.498498 47.4668442, -0.4984993 47.4668614)",roundabout,,
"[661365071, 775621478, 775621479]",False,2,residential,True,121.48199999999999,"LINESTRING (-0.4985934 47.4667727, -0.4985981 47.4667175, -0.498616 47.4666546, -0.4986398 47.4666008, -0.4986729 47.4665427, -0.4987179 47.4664824, -0.4987752 47.4664105, -0.4988104 47.4663662, -0.4988858 47.4662886, -0.498894 47.4662802, -0.4989385 47.4662344, -0.4989935 47.4661701, -0.4990398 47.4661061, -0.4991014 47.4660182, -0.4991542 47.4659277, -0.4992397 47.4657812)",,Rue de la Gemmetrie,
