osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,width,access,junction
34296135,False,2,Avenue des Martyrs,residential,False,131.475,"LINESTRING (3.1138874 50.6255779, 3.1139373 50.6256519, 3.113977 50.625702, 3.1146869 50.626599, 3.1147168 50.6266366)",,,,,
873079254,False,2,Rue Roger Salengro,secondary,False,26.883000000000003,"LINESTRING (3.1138874 50.6255779, 3.11377 50.6255948, 3.113729 50.6256018, 3.1136077 50.6256225, 3.1135202 50.6256418)",M 941,50,,,
873079254,False,2,Rue Roger Salengro,secondary,True,28.53,"LINESTRING (3.1138874 50.6255779, 3.1139965 50.6255698, 3.1140912 50.6255679, 3.1141473 50.6255687, 3.114291 50.6255709)",M 941,50,,,
896315745,False,2,Rue Roger Salengro,secondary,True,22.924,"LINESTRING (3.1125583 50.6258704, 3.1128612 50.6257957)",M 941,50,,,
24595668,True,1,Rue Ferdinand Mathias,tertiary,False,88.199,"LINESTRING (3.1125583 50.6258704, 3.112511 50.625811, 3.1124139 50.6256848, 3.1120047 50.6251592)",,,,,
896315745,False,2,Rue Roger Salengro,secondary,False,11.496,"LINESTRING (3.1125583 50.6258704, 3.1124557 50.625899, 3.1124087 50.6259114)",M 941,50,,,
33814882,True,,Place Marc Séguin,residential,False,50.507,"LINESTRING (3.1109802 50.6238339, 3.1116766 50.6239394)",,,,,
84218590,True,,Rue Ferdinand Mathias,tertiary,False,89.89699999999999,"LINESTRING (3.1109802 50.6238339, 3.1107581 50.6238003, 3.1099143 50.6236834, 3.1097356 50.6236604)",,30,,,
33814884,True,1,Rue Marceau,residential,False,6.029,"LINESTRING (3.1102477 50.626641, 3.1102065 50.6265935)",,,,,
218363759,True,1,Rue Roger Salengro,secondary,False,67.066,"LINESTRING (3.1102477 50.626641, 3.1099186 50.626778, 3.1095893 50.6269152, 3.1095765 50.6269205, 3.1095628 50.6269262, 3.1095057 50.62695, 3.1094532 50.6269723)",M 941,30,,,
34171364,False,,Rue Paul Bert,residential,False,50.496,"LINESTRING (3.1102861 50.6252969, 3.1108598 50.6250253)",,,,,
33814884,True,1,Rue Marceau,residential,False,67.251,"LINESTRING (3.1102861 50.6252969, 3.1102425 50.6252386, 3.1098777 50.6247504)",,,,,
