osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,junction,bridge,tunnel,access,maxspeed
22374924,Boulevard Adolphe Thiers,residential,False,False,49.635,"LINESTRING (-1.6580278 43.3891356, -1.658119 43.3892431, -1.658339 43.3895204)",,,,,,,
22374997,Boulevard Victor Hugo,residential,False,True,34.289,"LINESTRING (-1.6580278 43.3891356, -1.6579455 43.3892664, -1.6578699 43.3894215)",,,,,,,
27190245,Boulevard Victor Hugo,residential,True,False,35.616,"LINESTRING (-1.6580278 43.3891356, -1.6581079 43.389008, -1.658221 43.3888478)",,,,,,,
171726195,,primary,True,False,54.272000000000006,"LINESTRING (-1.6621624 43.385996, -1.6622281 43.3858579, -1.6623009 43.3857479, -1.6624987 43.3855815)",1,D 810,,,,,
1185800511,,primary,True,False,22.209,"LINESTRING (-1.6621624 43.385996, -1.6621234 43.3859549, -1.6620705 43.385923, -1.6620076 43.3859029, -1.6619396 43.3858959)",,,roundabout,,,,
72493680,Boulevard du Commandant Passicot,primary,True,False,29.131,"LINESTRING (-1.6616959 43.3860364, -1.6613469 43.386102)",,D 810,,,,,
1185800509,,primary,True,False,13.953,"LINESTRING (-1.6616959 43.3860364, -1.6616912 43.3860991, -1.6617162 43.3861591)",,,roundabout,,,,
22374921,,primary,True,False,22.322000000000003,"LINESTRING (-1.6617162 43.3861591, -1.6617556 43.3862004, -1.6618089 43.3862322, -1.6618723 43.3862522, -1.6619407 43.3862588)",,,roundabout,,,,
22374922,,primary,True,False,14.899000000000001,"LINESTRING (-1.6585457 43.387113, -1.6585977 43.3870892, -1.6586368 43.3870548, -1.658659 43.3870131)",,,roundabout,,,,
23584986,Rue Chauvin Dragon,residential,True,False,36.379999999999995,"LINESTRING (-1.6585457 43.387113, -1.6585651 43.3872096, -1.6585452 43.3874387)",,,,,,,
1187916548,,primary,True,False,15.271999999999998,"LINESTRING (-1.6584848 43.3868435, -1.6584221 43.3868474, -1.6583643 43.3868657, -1.6583178 43.3868966)",,,roundabout,,,,
22374963,Rue Sébastien Vauban,residential,False,True,59.568,"LINESTRING (-1.6586257 43.391343, -1.6585082 43.3908605, -1.6585051 43.3908479, -1.6584957 43.3908157)",,,,,,,
198169317,Avenue Larreguy,residential,False,False,78.791,"LINESTRING (-1.6586257 43.391343, -1.6586593 43.3912923, -1.6587062 43.3912445, -1.6591474 43.3908303, -1.6591729 43.3908167, -1.6592279 43.3907923)",,,,,,,
22374924,Boulevard Adolphe Thiers,residential,False,False,37.982,"LINESTRING (-1.6589112 43.3900664, -1.6590771 43.390386)",,,,,,,
22374924,Boulevard Adolphe Thiers,residential,False,True,34.547,"LINESTRING (-1.6589112 43.3900664, -1.6589017 43.3900489, -1.6587947 43.3898523, -1.6587262 43.3897891)",,,,,,,
58666504,Place Antonini Uria Monzon,residential,False,True,46.576,"LINESTRING (-1.6589112 43.3900664, -1.659153 43.3901926, -1.6592445 43.3901923, -1.6592863 43.3903249)",,,,,,,
22374958,Rue Léon Gambetta,residential,True,False,35.885999999999996,"LINESTRING (-1.6582958 43.390346, -1.6583508 43.3903343, -1.6587049 43.3902212)",1,,,,,,
22374963,Rue Sébastien Vauban,residential,False,False,30.633,"LINESTRING (-1.6582958 43.390346, -1.6583966 43.3905197, -1.658438 43.3906013)",,,,,,,
22374924,Boulevard Adolphe Thiers,residential,False,False,62.456999999999994,"LINESTRING (-1.6592279 43.3907923, -1.6593379 43.3912786, -1.6593476 43.3913471)",,,,,,,
22374924,Boulevard Adolphe Thiers,residential,False,True,20.718,"LINESTRING (-1.6592279 43.3907923, -1.6591931 43.390674, -1.6591743 43.3906101)",,,,,,,
