osmid,oneway,ref,highway,maxspeed,reversed,length,lanes,geometry,name,junction,tunnel
13892197,False,D 316,primary,50,False,3.564,,"LINESTRING (2.3837655 49.0045987, 2.383779 49.0045679)",,,
13892053,True,D 316,primary,50,False,121.227,2,"LINESTRING (2.3837655 49.0045987, 2.3836133 49.0050846, 2.3835377 49.0053283, 2.3834682 49.0055492, 2.3834579 49.0055822, 2.3834296 49.0056664)",,,
27175459,True,,residential,50,False,103.80900000000001,1,"LINESTRING (2.3838175 49.0047656, 2.3837919 49.0048355, 2.3837301 49.0050045, 2.3836441 49.0052602, 2.3835965 49.0054275, 2.3835622 49.0055628, 2.3835518 49.0055922, 2.3835377 49.0056393, 2.3835253 49.005679)",Allée de Chantilly,,
881267143,False,,residential,,True,23.121,,"LINESTRING (2.3838175 49.0047656, 2.3840439 49.0047956, 2.3841298 49.0047982)",Rue Aimé Logier,,
34131542,False,,residential,,False,146.167,,"LINESTRING (2.3907142 49.0046231, 2.3908202 49.0045925, 2.3917742 49.0043173, 2.3918962 49.0042842, 2.3920241 49.0042495, 2.3920956 49.0042295, 2.3924276 49.0041365, 2.3925533 49.0041013)",Boulevard Salvador Allende,,
34131542,False,,residential,,True,167.62399999999997,,"LINESTRING (2.3907142 49.0046231, 2.3906265 49.0046456, 2.3901182 49.0047759, 2.3900178 49.0048047, 2.389686 49.0048998, 2.3893558 49.004996, 2.3888243 49.0051564, 2.3888013 49.0051633, 2.3886984 49.0051934, 2.3886081 49.0052247)",Boulevard Salvador Allende,,
428913436,False,,residential,,True,24.593999999999998,,"LINESTRING (2.3907142 49.0046231, 2.3907653 49.0046657, 2.3909788 49.0047566)",La Humette,,
920886368,False,,residential,,True,72.922,,"LINESTRING (2.3907142 49.0046231, 2.3906943 49.0045952, 2.390675 49.0045665, 2.3903927 49.0041226, 2.3903282 49.0040182)",Rue Marie-Pape Carpantier,,
34131542,False,,residential,,False,167.624,,"LINESTRING (2.3886081 49.0052247, 2.3886984 49.0051934, 2.3888013 49.0051633, 2.3888243 49.0051564, 2.3893558 49.004996, 2.389686 49.0048998, 2.3900178 49.0048047, 2.3901182 49.0047759, 2.3906265 49.0046456, 2.3907142 49.0046231)",Boulevard Salvador Allende,,
34131544,False,,residential,,False,78.614,,"LINESTRING (2.3886081 49.0052247, 2.3888047 49.0052562, 2.388987 49.0052855, 2.3893577 49.005345, 2.3896566 49.0053881)",Rue Faidherbe,,
335205257,True,,residential,,False,105.39599999999999,,"LINESTRING (2.3886081 49.0052247, 2.3884697 49.0052583, 2.3882475 49.005319, 2.3873882 49.0056164, 2.3873125 49.0056419)",Place du Général Leclerc,,
27267718,False,,residential,,False,50.446,,"LINESTRING (2.3870816 49.0052143, 2.38711 49.0052722, 2.3872758 49.0055717, 2.3873125 49.0056419)",Rue de la République,,
27327057,False,,residential,,True,262.069,,"LINESTRING (2.3870816 49.0052143, 2.3869986 49.0052292, 2.3869156 49.0052441, 2.3860615 49.0053749, 2.3859778 49.005388, 2.3848454 49.0055513, 2.3848007 49.0055577, 2.3847268 49.0055654, 2.3836322 49.0056801, 2.383575 49.0056826, 2.3835633 49.0056818)",Rue du Docteur Rampont,,
34132134,False,,residential,,False,120.666,,"LINESTRING (2.3870816 49.0052143, 2.3870222 49.0051077, 2.3867694 49.0046129, 2.3865528 49.0041861)",Boulevard Carnot,,
280620392,True,,residential,,False,113.46499999999999,,"LINESTRING (2.3870816 49.0052143, 2.3871327 49.0051848, 2.3873966 49.0051551, 2.3876304 49.0051444, 2.3884483 49.0052116, 2.3886081 49.0052247)",Rue Faidherbe,,
335287861,True,,residential,,False,2.122,,"LINESTRING (2.39445 49.0074735, 2.394423 49.0074806)",Rue du Général Archinard,,
34131181,False,,residential,,False,84.411,,"LINESTRING (2.39445 49.0074735, 2.3944929 49.0075214, 2.3947721 49.0080572, 2.3948468 49.0081855)",Rue d'Hérivaux,,
335287861,True,,residential,,False,33.903,,"LINESTRING (2.3927189 49.0079595, 2.392292 49.0080801)",Rue du Général Archinard,,
27267727,False,,residential,,True,95.40799999999999,,"LINESTRING (2.3927189 49.0079595, 2.3925845 49.0077517, 2.3922367 49.007472, 2.3921813 49.007425, 2.39204 49.0072344)",Allée du Colombier,,
34131246,True,,residential,50,False,165.25400000000002,1,"LINESTRING (2.3900499 49.0079227, 2.3906918 49.0077598, 2.3910671 49.0076676, 2.3912831 49.0075846, 2.3914956 49.0074899, 2.3915957 49.0074427, 2.39204 49.0072344)",Rue Gambetta,,
169163892,False,D 370,residential,,False,82.84400000000001,,"LINESTRING (2.3900499 49.0079227, 2.3896997 49.0080156, 2.3896642 49.008026, 2.3896257 49.0080347, 2.3892689 49.0081236, 2.3891683 49.0081495, 2.3889961 49.0082001)",Rue Gambetta,,
169163892,False,D 370,residential,,True,82.844,,"LINESTRING (2.3889961 49.0082001, 2.3891683 49.0081495, 2.3892689 49.0081236, 2.3896257 49.0080347, 2.3896642 49.008026, 2.3896997 49.0080156, 2.3900499 49.0079227)",Rue Gambetta,,
504458259,True,D 370,residential,,False,14.672,,"LINESTRING (2.3889961 49.0082001, 2.388893 49.0082709, 2.3888556 49.0082945)",Rue Julien Boursier,,
27267721,True,,residential,,False,218.089,,"LINESTRING (2.3881682 49.0085848, 2.3881528 49.0086263, 2.388157 49.0086415, 2.3884292 49.0096234, 2.3886537 49.0105165)",Rue Joseph Guerbigny,,
504458259,True,D 370,residential,,False,82.735,,"LINESTRING (2.3881682 49.0085848, 2.3881259 49.0085953, 2.3880439 49.0086325, 2.3876052 49.0087546, 2.3875369 49.0087722, 2.3873927 49.0088092, 2.3873001 49.00885, 2.3872107 49.0089472)",Rue Julien Boursier,,
"[280599634, 27267007]",False,,residential,,False,72.811,,"LINESTRING (2.384668 49.0089349, 2.3845178 49.0089824, 2.3843461 49.009029, 2.3839706 49.0091091, 2.3838271 49.0091385, 2.3837985 49.0091429, 2.3837301 49.0091557)","['Ruelle Huet', 'Ruelle Dordet']",,
34131553,True,,residential,,False,150.662,,"LINESTRING (2.3948927 49.004463, 2.3948053 49.004485, 2.3929644 49.0049485)",Rue des Neuf Arpents,,
335204887,False,,residential,,True,95.357,,"LINESTRING (2.3948927 49.004463, 2.3948155 49.0043811, 2.3946383 49.0042125, 2.3945005 49.0040728, 2.3944865 49.0040586, 2.394402 49.0039729, 2.3942337 49.0038176, 2.3941626 49.0037519)",Boulevard Salvador Allende,,
34131542,False,,residential,,False,42.846,,"LINESTRING (2.3925533 49.0041013, 2.3926957 49.0040577, 2.3930856 49.0039384)",Boulevard Salvador Allende,,
34131542,False,,residential,,True,146.167,,"LINESTRING (2.3925533 49.0041013, 2.3924276 49.0041365, 2.3920956 49.0042295, 2.3920241 49.0042495, 2.3918962 49.0042842, 2.3917742 49.0043173, 2.3908202 49.0045925, 2.3907142 49.0046231)",Boulevard Salvador Allende,,
335205336,False,,residential,,True,64.726,,"LINESTRING (2.3879603 49.0070111, 2.3877123 49.0064522)",Rue de la République,,
34131539,False,,residential,,True,104.74300000000001,,"LINESTRING (2.3879603 49.0070111, 2.3880543 49.0069887, 2.3890702 49.0067625, 2.3890919 49.0067584, 2.3891552 49.0067463, 2.3893207 49.0067097)",Rue du Pressoir,,
335205336,False,,residential,,False,22.605,,"LINESTRING (2.3879603 49.0070111, 2.3879927 49.0070839, 2.3880395 49.0072076)",Rue de la République,,
27267002,False,D 370,residential,,True,30.826999999999998,,"LINESTRING (2.3872107 49.0089472, 2.3871637 49.008995, 2.3871206 49.0090389, 2.3869785 49.0091382, 2.3869422 49.0091595)",Rue Julien Boursier,,
280590573,False,,residential,,False,47.137,,"LINESTRING (2.3872107 49.0089472, 2.387213 49.0088523, 2.3871696 49.0087423, 2.3870873 49.0085338)",Rue Thomas Couture,,
545725780,True,,residential,,False,2.714,,"LINESTRING (2.3844269 49.0099897, 2.3843992 49.010006)",,,
27267002,False,D 370,residential,,False,143.353,,"LINESTRING (2.3844269 49.0099897, 2.3846099 49.0099261, 2.38497 49.0098109, 2.3850921 49.0097718, 2.3861903 49.0094205)",Rue Julien Boursier,,
"[120311889, 340693975]",False,,secondary,50,False,256.686,,"LINESTRING (2.3825052 49.0058088, 2.3824826 49.0057336, 2.3820911 49.0044867, 2.3819033 49.0039134, 2.381784 49.0035494)","['Avenue Marx Dormoy', 'Rue de Paris']",,
120311891,True,,residential,,False,234.138,,"LINESTRING (2.3825052 49.0058088, 2.3826384 49.0057881, 2.3829997 49.0057432, 2.3830475 49.0057343, 2.3830894 49.005721, 2.38314 49.0056824, 2.3831836 49.0056323, 2.3832589 49.0054546, 2.3836443 49.0045185, 2.383706 49.0043839, 2.3837368 49.0043091, 2.3837583 49.0042479, 2.3837703 49.0041925, 2.3837811 49.0041591, 2.3837978 49.0041243, 2.383827 49.0040876)",Allée de Creil,,
311837107,False,,secondary,50,True,60.616,,"LINESTRING (2.3825052 49.0058088, 2.3825311 49.0058824, 2.3826022 49.0060853, 2.3826599 49.0062217, 2.3826781 49.0062576, 2.3826948 49.0062903, 2.382726 49.0063332)",Rue de Paris,,
27267727,False,,residential,,False,95.40799999999999,,"LINESTRING (2.39204 49.0072344, 2.3921813 49.007425, 2.3922367 49.007472, 2.3925845 49.0077517, 2.3927189 49.0079595)",Allée du Colombier,,
255720090,True,D 370,residential,50,False,122.31099999999999,1,"LINESTRING (2.39204 49.0072344, 2.3920672 49.0072207, 2.3923043 49.0071179, 2.3923973 49.007078, 2.3924698 49.0070503, 2.3928724 49.0069014, 2.3931219 49.0068278, 2.3931401 49.0068228, 2.3932845 49.0067828, 2.3933277 49.0067708, 2.3935159 49.0067188)",Rue Gambetta,,
34131535,False,,residential,,False,104.25300000000001,,"LINESTRING (2.3936709 49.006695, 2.3937322 49.0067363, 2.3939462 49.0068805, 2.3940664 49.0069875, 2.3943874 49.0074307, 2.394423 49.0074806)",Rue du Lierre,,
34131180,False,,residential,,False,149.569,,"LINESTRING (2.3921976 49.0105939, 2.3923362 49.0105651, 2.3931697 49.0103932, 2.3939433 49.0102281, 2.3941507 49.0101839)",Boulevard Charles de Gaulle,,
335287863,False,,residential,,False,85.376,,"LINESTRING (2.3921976 49.0105939, 2.3921762 49.0105566, 2.392124 49.0104692, 2.3917758 49.0099598, 2.3917329 49.0098894)",Rue Jules Ferry,,
335287863,False,,residential,,True,85.376,,"LINESTRING (2.3917329 49.0098894, 2.3917758 49.0099598, 2.392124 49.0104692, 2.3921762 49.0105566, 2.3921976 49.0105939)",Rue Jules Ferry,,
