osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,width,junction,lanes
39580167,Rue du Carrefour,residential,False,False,94.94500000000002,"LINESTRING (-4.3257649 48.0900244, -4.32571 48.0900974, -4.3253129 48.0904112, -4.3252471 48.0904586, -4.3251968 48.09049, -4.3251358 48.0905124, -4.3248437 48.0905725)",,,,,
356622406,Rue Jean Jaurès,tertiary,False,True,65.955,"LINESTRING (-4.3257649 48.0900244, -4.3259015 48.0901155, -4.3260088 48.0901845, -4.3260893 48.0902463, -4.3261543 48.0902987, -4.3262261 48.0903636, -4.3263343 48.0904765)",,,,,
154808537,Rue Duguay-Trouin,tertiary,False,False,191.43899999999994,"LINESTRING (-4.3315494 48.0912585, -4.331539 48.0914278, -4.331521 48.0915387, -4.3315047 48.0915963, -4.3314776 48.0916612, -4.331393 48.0917982, -4.3313244 48.0918752, -4.3312297 48.0919608, -4.3311654 48.0920113, -4.3311004 48.0920583, -4.3310147 48.0921106, -4.3309133 48.0921644, -4.3308119 48.0922142, -4.3306691 48.0922822, -4.3305048 48.0923682, -4.3303643 48.0924406, -4.3301883 48.0925374, -4.3301678 48.0925554, -4.3301562 48.0925689, -4.3301486 48.0925949)",30,,,,
154808537,Rue Duguay-Trouin,tertiary,False,True,54.72500000000001,"LINESTRING (-4.3315494 48.0912585, -4.3315382 48.0911599, -4.3315211 48.0910936, -4.3314879 48.0910363, -4.3314187 48.0909261, -4.3313242 48.0907955)",30,,,,
1168346582,Rue Berthelot,residential,True,False,82.815,"LINESTRING (-4.3315494 48.0912585, -4.3314134 48.0912998, -4.3305344 48.0915668)",30,,,,
596555014,,tertiary,True,False,22.28,"LINESTRING (-4.3314298 48.090281, -4.3312397 48.0902981, -4.3311325 48.0903077)",30,D 207,,,
596555011,Rue Louis Pasteur,tertiary,True,False,20.391,"LINESTRING (-4.3307606 48.0902285, -4.3308154 48.0902763, -4.3309497 48.0903607)",30,D 207,,,
26801569,Rue Jean Barré,residential,True,False,52.93,"LINESTRING (-4.3331054 48.0919064, -4.3324143 48.0920226)",,,,,
26444787,Quai du Port Rhu,residential,False,False,91.787,"LINESTRING (-4.3331054 48.0919064, -4.3333315 48.0923091, -4.3333587 48.0923561, -4.3335369 48.0926799)",,,,,
26801570,Rue Anatole France,residential,False,False,14.312,"LINESTRING (-4.3289001 48.0931474, -4.3287501 48.0932282)",,,,,
39580171,Rue Jean Bart,residential,True,False,139.274,"LINESTRING (-4.3289001 48.0931474, -4.329227 48.0935565, -4.3297395 48.0941794, -4.329807 48.0942431)",,,,,
26444864,Rue Jean Jaurès,tertiary,True,False,93.059,"LINESTRING (-4.3281992 48.0922747, -4.3282418 48.092329, -4.3287909 48.0930124)",,,,,
39580109,Rue des Plomarc'h,residential,False,False,117.38900000000001,"LINESTRING (-4.3281992 48.0922747, -4.3281278 48.0922986, -4.3276015 48.0924917, -4.3269999 48.0927124, -4.3268476 48.0927317, -4.3267898 48.092739)",,,,,
39580143,Rue du Docteur Mével,residential,False,True,42.408,"LINESTRING (-4.3306666 48.0930797, -4.3307282 48.0930653, -4.3307513 48.0930579, -4.3307696 48.0930483, -4.3307943 48.0930264, -4.3308173 48.0929943, -4.3308413 48.0929385, -4.3308519 48.0929153, -4.3309052 48.0927981, -4.330922 48.0927625)",,,,,
"[39580185, 758815899, 39580133]",Rue Jean Barré,residential,False,False,66.855,"LINESTRING (-4.3306666 48.0930797, -4.3306486 48.0930575, -4.3306278 48.093037, -4.3305355 48.092958, -4.33041 48.092851, -4.330207 48.0926834, -4.330183 48.0926614, -4.3301696 48.0926492, -4.3301561 48.0926321, -4.3301487 48.0926132, -4.3301486 48.0925949)",,,,,
