osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,lanes,access
342104664,False,D 955A,Avenue du Maréchal Leclerc,secondary,30,True,54.384,"LINESTRING (2.9253309 47.4114095, 2.9254107 47.4118956)",,,,
38569343,True,D 33,Rue du Commerce,secondary,,False,50.248000000000005,"LINESTRING (2.9253309 47.4114095, 2.9256026 47.411388, 2.9258274 47.4113525, 2.9258637 47.4113421, 2.9259599 47.4112892)",,,,
155187326,True,D 955A,Rue Saint-Jacques,secondary,30,False,59.684,"LINESTRING (2.9253309 47.4114095, 2.9252722 47.4112899, 2.9251266 47.4110971, 2.9250251 47.4109627, 2.9249959 47.4109242)",,,,
656614643,False,D 955A,Avenue du Maréchal Leclerc,secondary,50,False,14.842,"LINESTRING (2.9262013 47.4157354, 2.9261711 47.4156035)",,,,
56044329,False,,Rue du Stade,secondary,,True,66.078,"LINESTRING (2.9262013 47.4157354, 2.9260707 47.415762, 2.9254008 47.4159776)",,,,
38569063,True,,,secondary,30,False,11.928,"LINESTRING (2.9244824 47.4101962, 2.9244191 47.4101979, 2.9243737 47.4101882, 2.9243349 47.4101696)",roundabout,,,
26026521,False,,Rue Alphonse Baudin,tertiary,,True,53.745,"LINESTRING (2.9225867 47.4109609, 2.9225731 47.4109775, 2.9224902 47.4110804, 2.9224833 47.4110909, 2.9224383 47.4111598, 2.9223694 47.4113054, 2.9223326 47.4113422, 2.9223132 47.4113558, 2.9222596 47.4113809)",,,,
64689985,False,,Rue Thème,residential,,True,79.50500000000001,"LINESTRING (2.9225867 47.4109609, 2.9225843 47.4109256, 2.9225524 47.4108977, 2.9225006 47.4108864, 2.9216476 47.4106969)",,,,
38569345,True,,Rond-Point du Pont de Loire,secondary,,False,21.874000000000002,"LINESTRING (2.9220503 47.4114422, 2.9220563 47.4114144, 2.9220756 47.4113895, 2.922106 47.4113704, 2.9221441 47.4113592, 2.9221856 47.4113573, 2.9222256 47.4113648, 2.9222596 47.4113809)",roundabout,,,
223894384,False,D 955A,Rue Saint-Agnan,secondary,30,False,21.060000000000002,"LINESTRING (2.9237484 47.4090503, 2.9236882 47.4089894, 2.9235421 47.4089285)",,,,
"[38569348, 38569349, 38569062, 223894383, 223894384, 656614644, 656614645, 656614646, 656614647]",False,D 955A,Rue Saint-Agnan,secondary,30,True,116.016,"LINESTRING (2.9237484 47.4090503, 2.9237706 47.4090857, 2.9238129 47.4091531, 2.9240135 47.4094727, 2.9240952 47.4096029, 2.9241253 47.4096509, 2.9241673 47.4097178, 2.9241852 47.4097464, 2.9242095 47.409785, 2.9242218 47.4098046, 2.924333 47.409966, 2.924363 47.410007)",,yes,2,
228979389,True,,Rue Traversière,residential,,False,86.975,"LINESTRING (2.9258474 47.4141591, 2.9251452 47.4139687, 2.9248667 47.413904, 2.9247619 47.4139001)",,,,
342104664,False,D 955A,Avenue du Maréchal Leclerc,secondary,30,False,121.188,"LINESTRING (2.9258474 47.4141591, 2.9258269 47.4140574, 2.9258157 47.4140007, 2.9256497 47.4131596, 2.9256357 47.4130787)",,,,
"[656614648, 656614643]",False,D 955A,Avenue du Maréchal Leclerc,secondary,"['30', '50']",True,162.446,"LINESTRING (2.9258474 47.4141591, 2.9259004 47.4143954, 2.9261711 47.4156035)",,,,
64682150,False,,Rue des Rivières Saint-Agnan,residential,,False,40.218,"LINESTRING (2.9247326 47.408591, 2.9251001 47.4083284)",,,,
223446910,True,,Rue Amiral de Boissoudy,residential,,False,32.758,"LINESTRING (2.9247326 47.408591, 2.9243742 47.4087582)",,,,
