osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,ref,tunnel,bridge
4623565,Rue de Rennes,residential,30,False,False,57.98799999999999,"LINESTRING (-0.550154 47.4760527, -0.5500781 47.4761508, -0.5499352 47.4762966, -0.5498447 47.4763889, -0.5498146 47.4764195, -0.5497423 47.4764932)",,,,,
31452300,Boulevard Ayrault,secondary,50,True,False,119.25,"LINESTRING (-0.550154 47.4760527, -0.5503053 47.4761133, -0.5512966 47.4765283, -0.5513568 47.4765525, -0.551502 47.4766182)",1,8,,,
48781701,Rue Maillé,living_street,,True,False,41.219,"LINESTRING (-0.5503079 47.4759137, -0.5503745 47.4758538, -0.5507035 47.4756588)",,4,,,
190433420,Boulevard Ayrault,secondary,50,True,False,91.625,"LINESTRING (-0.5503079 47.4759137, -0.5500906 47.4758258, -0.5493899 47.4755276, -0.5492733 47.4754779)",2,,,,
"[545019336, 1198778052, 533536533]",,"['trunk_link', 'residential']",30,True,False,205.786,"LINESTRING (-0.5550816 47.4755503, -0.5554909 47.4750997, -0.5557618 47.4747624, -0.5562556 47.4740611, -0.5562856 47.4739604, -0.5562781 47.4739392, -0.5562486 47.4739081)",1,,,,
145074922,Quai Gambetta,trunk,50,True,False,130.713,"LINESTRING (-0.5552157 47.4751574, -0.5551973 47.4751842, -0.5544051 47.4761974)",2,,D 323,,
49834947,Boulevard du Maréchal Joffre,residential,,False,False,18.347,"LINESTRING (-0.5461283 47.4722433, -0.5462142 47.4722763, -0.5462549 47.4722903, -0.546347 47.472316)",,,,,
149107916,Place Pierre Mendès France,secondary,,True,False,52.51,"LINESTRING (-0.5461283 47.4722433, -0.5460653 47.4723285, -0.5458195 47.4726669)",2,,,,
"[758801360, 758801358, 119368983]",Boulevard du Maréchal Joffre,residential,,False,False,29.195,"LINESTRING (-0.5461283 47.4722433, -0.5459918 47.4722113, -0.5458784 47.4721337, -0.5458231 47.4721148, -0.5458045 47.4721088)",3,,,,
5412386,Rue Boisnet,residential,30,True,False,6.291,"LINESTRING (-0.5497775 47.4750948, -0.5498564 47.4750759)",,4,,,
572704855,Rue du Commerce,residential,30,False,True,45.363,"LINESTRING (-0.5497775 47.4750948, -0.5497382 47.4750601, -0.5495786 47.4749184, -0.5493991 47.4747772)",,,,,
48781739,Place Louis Imbach,residential,30,True,False,23.704,"LINESTRING (-0.5465845 47.4734538, -0.546887 47.4735141)",,,,,
49422949,Rue Jules Guitton,residential,30,False,True,68.68,"LINESTRING (-0.5465845 47.4734538, -0.5463422 47.4734177, -0.5462281 47.473406, -0.5458176 47.4733278, -0.5457589 47.4733146, -0.5457002 47.4733013)",,,,,
49422949,Rue Jules Guitton,residential,30,False,False,68.68,"LINESTRING (-0.5457002 47.4733013, -0.5457589 47.4733146, -0.5458176 47.4733278, -0.5462281 47.473406, -0.5463422 47.4734177, -0.5465845 47.4734538)",,,,,
119802795,Place Pierre Mendès France,secondary,50,True,False,119.967,"LINESTRING (-0.5457002 47.4733013, -0.5457652 47.4731962, -0.5461597 47.4725582, -0.5462682 47.4724247, -0.5462807 47.4724027, -0.546347 47.472316)",,,,,
27133615,Rue du Mail,residential,30,False,False,19.474,"LINESTRING (-0.5468598 47.4713355, -0.546958 47.4713611, -0.5469983 47.4713712, -0.5471029 47.471396)",,,,,
"[119368977, 892249171]",Boulevard Bessonneau,secondary,,True,False,115.03,"LINESTRING (-0.5468598 47.4713355, -0.5467729 47.4714375, -0.5466881 47.4715229, -0.5466453 47.4715777, -0.5463609 47.4719261, -0.5462022 47.4721395, -0.5461283 47.4722433)",1,,,,
