osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,access,bridge,lanes,width
524339861,True,N 57,Avenue Aristide Briand,secondary,30,False,45.375,"LINESTRING (6.1606098 47.6229081, 6.1603463 47.622876, 6.1601803 47.62285, 6.1600251 47.622808)",,,,,
1212639711,True,,,secondary,,False,9.237,"LINESTRING (6.1598965 47.6227555, 6.1598948 47.6227278, 6.1599088 47.6227018, 6.1599364 47.6226813)",roundabout,,,,
35219183,True,,Rue Georges Genoux,tertiary,30,False,50.849,"LINESTRING (6.1557666 47.6220876, 6.1559466 47.6221243, 6.1562564 47.6221888, 6.1564177 47.6222157)",,,,,
"[321771728, 35588051]",True,,"[""Place de l'Église"", ""Rue d'Alsace-Lorraine""]",residential,30,False,156.181,"LINESTRING (6.1557666 47.6220876, 6.1557365 47.6221179, 6.1557137 47.6221647, 6.1557165 47.6222397, 6.1557808 47.622425, 6.1558482 47.622638, 6.1558577 47.6227921, 6.155874 47.6230282, 6.155887 47.6230989, 6.1559205 47.6232594, 6.1558995 47.6234125, 6.1559058 47.6234704)",,,,,
35219183,True,,Rue Georges Genoux,tertiary,30,False,43.091,"LINESTRING (6.1579585 47.6224634, 6.1585173 47.6225546)",,,,,
35593240,False,,Rue Simon Renard,living_street,,False,30.299,"LINESTRING (6.1579585 47.6224634, 6.1579497 47.6224856, 6.1578381 47.6227235)",,,,,
35219963,True,,Rue Derrière le Palais,living_street,,False,27.185,"LINESTRING (6.1583471 47.6234055, 6.158275 47.6233902, 6.1580026 47.623329)",,,,,
219710500,True,,Rue Leblond,residential,30,False,94.69000000000001,"LINESTRING (6.1583471 47.6234055, 6.1585057 47.6229143, 6.1586146 47.62261, 6.1586261 47.622575)",,,,,
35219185,False,,Rue de la Halle,residential,30,False,114.19900000000001,"LINESTRING (6.159232 47.6237419, 6.1593738 47.623357, 6.1594664 47.6231144, 6.1595017 47.6230218, 6.1595518 47.6228887, 6.1595976 47.6227835, 6.1596158 47.6227482)",,destination,,,
35219186,True,,Rue du Palais,residential,30,False,26.547,"LINESTRING (6.159232 47.6237419, 6.1594234 47.6237902, 6.1595482 47.6238461)",,,,,
35219185,False,,Rue de la Halle,residential,30,True,114.19899999999998,"LINESTRING (6.1596158 47.6227482, 6.1595976 47.6227835, 6.1595518 47.6228887, 6.1595017 47.6230218, 6.1594664 47.6231144, 6.1593738 47.623357, 6.159232 47.6237419)",,destination,,,
789963292,True,,Place de la République,tertiary,30,False,21.769,"LINESTRING (6.1596158 47.6227482, 6.15981 47.6227763, 6.1598965 47.6227555)",,,,,
219710501,True,,Rue Saint-Georges,residential,30,False,7.416,"LINESTRING (6.1595482 47.6238461, 6.1595274 47.6239113)",,,,,
35219186,True,,Rue du Palais,residential,30,False,73.237,"LINESTRING (6.1582898 47.6235673, 6.1583864 47.6235869, 6.159232 47.6237419)",,,,,
