osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel,bridge,junction,lanes
31798523,D 1120,Avenue de la Bastille,primary,False,True,223.611,"LINESTRING (1.7751506 45.2722871, 1.7752203 45.2722232, 1.7753052 45.2721118, 1.7753578 45.2719998, 1.7754261 45.2718299, 1.7754484 45.271766, 1.775477 45.2716842, 1.7754923 45.2715875, 1.7754871 45.2714589, 1.7754556 45.2713349, 1.7753704 45.271182, 1.775066 45.2708253, 1.7747469 45.2705202, 1.7747051 45.2704818)",,,,,
68804426,,,residential,False,False,198.10999999999999,"LINESTRING (1.7751506 45.2722871, 1.7751027 45.2722598, 1.7750718 45.2722392, 1.7750464 45.2722092, 1.7750353 45.2721717, 1.7750435 45.2720925, 1.7750725 45.27189, 1.7750739 45.2718409, 1.7750598 45.2717739, 1.7750338 45.2717156, 1.7749618 45.2716456, 1.7739777 45.2709467, 1.7739098 45.270923, 1.773838 45.2709221)",,,,,
"[1034569572, 43855735, 31746384, 649229775, 270338962, 934221783, 43855736]",D 940,Place Martial Brigouleix,"['living_street', 'secondary']",True,False,334.466,"LINESTRING (1.7700689 45.2657262, 1.7699942 45.265547, 1.7698877 45.2652916, 1.7696126 45.2649579, 1.7695322 45.2648766, 1.7694983 45.2648423, 1.7694663 45.2648212, 1.7694093 45.2647836, 1.7693345 45.2647374, 1.7691139 45.2646036, 1.7689751 45.264529, 1.7688915 45.2644841, 1.768828 45.2644168, 1.7686816 45.2643653, 1.7685926 45.2643429, 1.7684989 45.2643174, 1.7683061 45.2642638, 1.7681098 45.2642038, 1.7679577 45.2641595, 1.7677809 45.2641096, 1.7676044 45.2640589, 1.7674781 45.2640187, 1.7674156 45.2639977, 1.767318 45.2639794, 1.7672208 45.2640026, 1.7671415 45.2640216, 1.7669902 45.2640403)",20,yes,,,
31746329,D 940,Quai Alfred de Chammard,secondary,True,False,41.393,"LINESTRING (1.7718823 45.2671115, 1.7721268 45.2674416)",,,,,
30642889,,Rue Félix Vidalin,residential,False,False,281.184,"LINESTRING (1.7718823 45.2671115, 1.7718247 45.2667716, 1.7717994 45.2665844, 1.7718114 45.2664049, 1.7718297 45.2663109, 1.7718666 45.2662406, 1.7719468 45.2661423, 1.7720228 45.2660674, 1.7721617 45.2659162, 1.7723389 45.2657104, 1.7724197 45.2656695, 1.7725217 45.2656906, 1.7725599 45.2657682, 1.7724652 45.2659947, 1.7723093 45.2662467, 1.7722797 45.2663171, 1.7722752 45.2663841, 1.772278 45.2664414, 1.7722997 45.2664874, 1.7723458 45.2665082)",,,,,
30633608,,Rue Duhamel,residential,False,False,409.4380000000001,"LINESTRING (1.7723458 45.2665082, 1.7723633 45.2665638, 1.7725353 45.2667998, 1.7729544 45.267273, 1.7733165 45.267605, 1.7736593 45.2679144, 1.7741687 45.268376, 1.7743109 45.2685298, 1.7745761 45.2687745, 1.7747081 45.2688654, 1.7748572 45.2689682, 1.7751454 45.2692397, 1.7753267 45.2694552, 1.7753577 45.2694997)",,,,,
30642889,,Rue Félix Vidalin,residential,False,False,84.605,"LINESTRING (1.7723458 45.2665082, 1.772391 45.2664948, 1.7724157 45.2664603, 1.7724694 45.2663163, 1.7726049 45.2661484, 1.7727796 45.2659704, 1.772847 45.2659164, 1.772911 45.2658806)",,,,,
30642889,,Rue Félix Vidalin,residential,False,True,281.1840000000001,"LINESTRING (1.7723458 45.2665082, 1.7722997 45.2664874, 1.772278 45.2664414, 1.7722752 45.2663841, 1.7722797 45.2663171, 1.7723093 45.2662467, 1.7724652 45.2659947, 1.7725599 45.2657682, 1.7725217 45.2656906, 1.7724197 45.2656695, 1.7723389 45.2657104, 1.7721617 45.2659162, 1.7720228 45.2660674, 1.7719468 45.2661423, 1.7718666 45.2662406, 1.7718297 45.2663109, 1.7718114 45.2664049, 1.7717994 45.2665844, 1.7718247 45.2667716, 1.7718823 45.2671115)",,,,,
"[30633609, 30663062]","['D 9', 'D 8']",Rue Louis Mie,tertiary,False,False,561.1629999999999,"LINESTRING (1.772911 45.2658806, 1.7729337 45.2659391, 1.7729402 45.2659815, 1.7728066 45.2661958, 1.7727275 45.266321, 1.7726751 45.2664497, 1.7726831 45.2666217, 1.7728125 45.2668459, 1.7731814 45.2672243, 1.7735415 45.267508, 1.7739307 45.2678005, 1.7744092 45.2681812, 1.7746484 45.2683818, 1.7748274 45.2685315, 1.7751684 45.2687533, 1.7753062 45.2688575, 1.7754464 45.2688901, 1.775518 45.2689067, 1.7757771 45.268932, 1.7761211 45.2688448, 1.7764551 45.2687114, 1.7766764 45.2685867, 1.7769649 45.2683922)",50,,,,
30642889,,Rue Félix Vidalin,residential,False,True,84.605,"LINESTRING (1.772911 45.2658806, 1.772847 45.2659164, 1.7727796 45.2659704, 1.7726049 45.2661484, 1.7724694 45.2663163, 1.7724157 45.2664603, 1.772391 45.2664948, 1.7723458 45.2665082)",,,,,
