osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,width,access,junction,bridge
814111960,2,Rue du Val de Saire,secondary,False,True,12.594,"LINESTRING (-1.6190516 49.6390348, -1.6192253 49.639048)",,,,,
"[1097334056, 175297938]",2,Quai du Général Lawton-Collins,tertiary,False,True,41.94,"LINESTRING (-1.6190516 49.6390348, -1.6190468 49.6391155, -1.6190427 49.6391605, -1.6190152 49.6392712, -1.6189891 49.6393344, -1.6189663 49.6394067)",,,,,
121378196,3,Quai Alexandre III,primary,True,False,9.038,"LINESTRING (-1.6212373 49.638949, -1.6213307 49.6388947)",50,,,,
294950453,,Rue Maréchal Foch,residential,True,False,55.760000000000005,"LINESTRING (-1.6213307 49.6388947, -1.6215733 49.6388454, -1.6218322 49.6387794, -1.6220572 49.638722)",30,2.7,,,
"[8142689, 723772529]",2,Place Napoléon,primary,True,False,191.875,"LINESTRING (-1.621868 49.6421131, -1.62197 49.6421556, -1.6220525 49.6421804, -1.6221605 49.6422103, -1.6224838 49.6422831, -1.6227353 49.6423539, -1.6231404 49.6424804, -1.6232916 49.642536, -1.6236115 49.6426493, -1.6237798 49.6427244, -1.6240202 49.6428352, -1.6240568 49.642853, -1.6242056 49.6429242)",50,,,,
14167656,,Rue de la Marine,residential,True,False,32.583,"LINESTRING (-1.621868 49.6421131, -1.6219506 49.6421083, -1.6220337 49.6421374, -1.6220994 49.6421595, -1.6221437 49.642163, -1.6221759 49.6421565, -1.622289 49.6421257)",,,,,
800736801,2,Place Napoléon,primary,True,False,15.756,"LINESTRING (-1.6244866 49.6429218, -1.6243106 49.6428376)",50,,,,
"[800736802, 807861858]",,Place de la République,tertiary,True,False,105.715,"LINESTRING (-1.6244866 49.6429218, -1.624559 49.6428699, -1.6246391 49.6428228, -1.624661 49.6428099, -1.6248093 49.64273, -1.6249437 49.6426527, -1.6255107 49.6423118, -1.6255536 49.6422712)",30,,,,
11412237,2,Rue de la Brigantine,unclassified,False,False,12.239,"LINESTRING (-1.6259949 49.6437348, -1.625878 49.6438147)",,,,,
4366559,,Place Napoléon,primary,True,False,141.313,"LINESTRING (-1.6259949 49.6437348, -1.6258423 49.6436522, -1.6246695 49.6430149, -1.6246487 49.6430036, -1.6244866 49.6429218)",50,,,,
14172638,,Rue de l'Onglet,tertiary,False,True,10.958,"LINESTRING (-1.6270733 49.6444298, -1.6269589 49.6444948)",30,,,,
4366559,,Place Napoléon,primary,True,False,109.57300000000001,"LINESTRING (-1.6270733 49.6444298, -1.6269558 49.6443457, -1.6261714 49.6438442, -1.626129 49.6438171, -1.6259949 49.6437348)",50,,,,
800736803,,Rue de l'Onglet,tertiary,False,False,102.24500000000002,"LINESTRING (-1.6270733 49.6444298, -1.6271836 49.6443633, -1.6272157 49.6443433, -1.62802 49.6438424, -1.628057 49.6438195, -1.6280987 49.6437937)",30,,,,
"[1097334056, 175297938]",2,Quai du Général Lawton-Collins,tertiary,False,False,41.94,"LINESTRING (-1.6189663 49.6394067, -1.6189891 49.6393344, -1.6190152 49.6392712, -1.6190427 49.6391605, -1.6190468 49.6391155, -1.6190516 49.6390348)",,,,,
723994666,2,Quai du Général Lawton-Collins,tertiary,False,False,47.635999999999996,"LINESTRING (-1.6189663 49.6394067, -1.6188154 49.6395219, -1.6187219 49.6395941, -1.6186414 49.6396653, -1.6185639 49.6397458)",,,,,
"[1123092560, 1097334057, 723994668]",2,Quai du Général Lawton-Collins,tertiary,True,False,46.777,"LINESTRING (-1.6189663 49.6394067, -1.6190434 49.6393644, -1.6190756 49.6393353, -1.6191098 49.6392949, -1.6192169 49.6391669, -1.6192447 49.6391337, -1.6193087 49.6390538)",,,,,
441560397,2,Quai de Caligny,primary,False,True,115.42399999999999,"LINESTRING (-1.6212586 49.641133, -1.6214684 49.6401788, -1.6214805 49.640105)",50,,,,
"[1116575200, 732313372, 1116575199]",,Quai de Caligny,primary,True,False,125.99099999999999,"LINESTRING (-1.6212586 49.641133, -1.6212116 49.6412099, -1.6211989 49.6412828, -1.6212049 49.6413666, -1.6212156 49.64144, -1.6212284 49.6414986, -1.6212901 49.6416299, -1.6213172 49.6416897, -1.6213574 49.6417512, -1.6214491 49.6418401, -1.6215775 49.6419456, -1.6217092 49.6420341, -1.6218304 49.6420959, -1.621868 49.6421131)",50,,,,
11412237,2,Rue de la Brigantine,unclassified,False,True,12.239,"LINESTRING (-1.625878 49.6438147, -1.6259949 49.6437348)",,,,,
11412237,2,Rue de la Brigantine,unclassified,False,False,66.34199999999998,"LINESTRING (-1.625878 49.6438147, -1.6257376 49.6439199, -1.6257182 49.6439343, -1.625712 49.643938, -1.6255194 49.6440754, -1.6254167 49.644119, -1.6251773 49.6441836)",,,,,
808139358,,Place Napoléon,primary,True,False,108.53999999999999,"LINESTRING (-1.625878 49.6438147, -1.6260289 49.6439051, -1.6261824 49.6439945, -1.6268038 49.6443926, -1.6268395 49.6444169, -1.6269589 49.6444948)",50,,,,
723994666,2,Quai du Général Lawton-Collins,tertiary,False,True,47.635999999999996,"LINESTRING (-1.6185639 49.6397458, -1.6186414 49.6396653, -1.6187219 49.6395941, -1.6188154 49.6395219, -1.6189663 49.6394067)",,,,,
1123092561,,Rue Ingénieur Cachin,residential,True,False,21.997999999999998,"LINESTRING (-1.6185639 49.6397458, -1.6184821 49.6397197, -1.6184325 49.6397124, -1.6182692 49.639708)",,,,,
1270859797,2,Quai du Général Lawton-Collins,tertiary,False,False,11.025,"LINESTRING (-1.6185639 49.6397458, -1.6185297 49.6397912, -1.6185001 49.6398359)",,,,,
