osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,junction,tunnel,bridge
18944733,True,1,D 986,Avenue de Verdun,secondary,30,False,68.342,"LINESTRING (2.3338661 48.9356419, 2.3332775 48.9355984, 2.3330064 48.9355801, 2.332936 48.9355753)",,,,
18948808,False,,D 9,Rue Brandin,secondary,,True,16.434,"LINESTRING (2.3338661 48.9356419, 2.3338752 48.9355812, 2.333879 48.9355553, 2.333888 48.9354948)",,,,
332072971,False,4,D 9,Rue Brandin,secondary,,False,53.134,"LINESTRING (2.3338661 48.9356419, 2.3338558 48.9357214, 2.3338522 48.9357514, 2.3338151 48.9360581, 2.3338157 48.9361184)",,,,
332072961,False,,D 9,Boulevard Gallieni,secondary,,True,15.229000000000001,"LINESTRING (2.332936 48.9355753, 2.3329448 48.9355171, 2.3329486 48.9354917, 2.3329565 48.935439)",,,,
332072974,True,1,D 986,Avenue de Verdun,secondary,30,False,99.71799999999999,"LINESTRING (2.332936 48.9355753, 2.3327329 48.9355522, 2.3325248 48.9355395, 2.3317433 48.9354857, 2.3315796 48.9354767)",,,,
61094083,False,2,D 9,Boulevard Gallieni,secondary,,True,99.809,"LINESTRING (2.3329565 48.935439, 2.3329616 48.9353761, 2.3329648 48.9353362, 2.3329277 48.9350741, 2.332865 48.9347508, 2.3328247 48.934547)",,,,
332072961,False,,D 9,Boulevard Gallieni,secondary,,False,15.229,"LINESTRING (2.3329565 48.935439, 2.3329486 48.9354917, 2.3329448 48.9355171, 2.332936 48.9355753)",,,,
332072977,True,2,D 986,Avenue de Verdun,secondary,,False,68.32300000000001,"LINESTRING (2.3329565 48.935439, 2.3331047 48.935448, 2.3337316 48.9354859, 2.333888 48.9354948)",,,,
680016101,False,,,Avenue Jean Moulin,residential,,False,37.814,"LINESTRING (2.3319037 48.9369103, 2.3318844 48.9367187, 2.3318595 48.9366508, 2.3318474 48.936573)",,,,
680016101,False,,,Avenue Jean Moulin,residential,,True,115.863,"LINESTRING (2.3319037 48.9369103, 2.3319582 48.9374488, 2.3319561 48.9375095, 2.3318696 48.9379474)",,,,
"[18948720, 1131689228, 1131689229]",True,,,Rue Armand Blanchonnet,residential,,False,38.915000000000006,"LINESTRING (2.3319037 48.9369103, 2.3319855 48.9369171, 2.3323611 48.9369411, 2.332434 48.9369395)",delivery,,,
18948724,False,,,Rue de la Fosse aux Astres,residential,,False,56.778,"LINESTRING (2.332434 48.9369395, 2.3323219 48.9364989, 2.3323056 48.9364359)",,,,
18948724,False,,,Rue de la Fosse aux Astres,residential,,True,173.78099999999998,"LINESTRING (2.332434 48.9369395, 2.3325202 48.9372783, 2.3325214 48.9372829, 2.3326555 48.9378124, 2.3327346 48.9381604, 2.3327432 48.9382213, 2.3327508 48.9382754, 2.3327467 48.9383676, 2.332741 48.9383998, 2.3327316 48.9384537, 2.332722 48.9384847)",,,,
18948724,False,,,Rue de la Fosse aux Astres,residential,,True,56.778,"LINESTRING (2.3323056 48.9364359, 2.3323219 48.9364989, 2.332434 48.9369395)",,,,
18948725,False,2,D 9,Rue Henri Barbusse,secondary,,False,37.274,"LINESTRING (2.3323056 48.9364359, 2.3324174 48.936402, 2.3327084 48.9363234, 2.3327755 48.9363053)",,,,
332068871,False,2,D 9,Boulevard Charles de Gaulle,secondary,,True,36.778,"LINESTRING (2.3323056 48.9364359, 2.3319823 48.9365319, 2.3318474 48.936573)",,,,
18948725,False,2,D 9,Rue Henri Barbusse,secondary,,True,79.155,"LINESTRING (2.3338157 48.9361184, 2.3336895 48.9361267, 2.333669 48.9361284, 2.3335775 48.9361359, 2.3334112 48.9361585, 2.3332281 48.9361949, 2.3331804 48.9362049, 2.3328522 48.9362863, 2.3327755 48.9363053)",,,,
27949304,True,,,Rue Henri Barbusse,residential,,False,21.797,"LINESTRING (2.3338157 48.9361184, 2.3340506 48.9361193, 2.3341141 48.9361186)",,,,
332072971,False,4,D 9,Rue Brandin,secondary,,True,53.134,"LINESTRING (2.3338157 48.9361184, 2.3338151 48.9360581, 2.3338522 48.9357514, 2.3338558 48.9357214, 2.3338661 48.9356419)",,,,
24604262,True,,,Rue du 19 Mars 1962,residential,,False,23.098,"LINESTRING (2.338935 48.9368179, 2.3388539 48.9368203, 2.3386194 48.9368308)",,,,
