osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,tunnel,bridge,access
675513846,2,Rond-Point du Forum,secondary,50,roundabout,True,False,8.158000000000001,"LINESTRING (3.12692 50.6199829, 3.1269537 50.6199948, 3.1269848 50.6200092, 3.127013 50.6200259)",,,,
24595666,1,Boulevard de Valmy,secondary,50,,True,False,150.33800000000002,"LINESTRING (3.1269148 50.6209822, 3.1269271 50.6210227, 3.1269422 50.6210565, 3.1269576 50.6210902, 3.1269727 50.6211182, 3.1269896 50.6211419, 3.1270115 50.6211721, 3.1270417 50.6212039, 3.1270712 50.6212312, 3.1271048 50.6212581, 3.1271414 50.6212859, 3.1273556 50.6214262, 3.1279434 50.6217973, 3.1280038 50.6218377, 3.1280522 50.6218744, 3.1281236 50.6219616, 3.1281461 50.6220021, 3.1281574 50.6220463)",,,,
363177053,,,unclassified,,,True,False,11.937000000000001,"LINESTRING (3.1269148 50.6209822, 3.1268899 50.6210442, 3.1268725 50.6210623, 3.1268523 50.6210804)",,,,
148704756,2,Rue des Vétérans,secondary,50,,False,True,275.11600000000004,"LINESTRING (3.1282623 50.6228722, 3.1284189 50.6230062, 3.1284609 50.6230388, 3.1286168 50.6231658, 3.1290042 50.623475, 3.1290666 50.6235233, 3.1291113 50.6235531, 3.1291535 50.6235774, 3.1292091 50.6235975, 3.1292649 50.6236097, 3.1293169 50.6236156, 3.1293774 50.6236192, 3.1294564 50.6236204, 3.1295256 50.623617, 3.1296456 50.6236086, 3.1298086 50.6235948, 3.1309341 50.6235176, 3.1315545 50.6234781, 3.1316007 50.6234869)",M 941,,,
"[923221464, 923221465]",2,Boulevard de Valmy,secondary,50,,False,True,92.167,"LINESTRING (3.1282623 50.6228722, 3.1282426 50.6227891, 3.1282321 50.6227335, 3.1282275 50.6226914, 3.1281848 50.6223129, 3.1281694 50.6221574, 3.1281574 50.6220463)",,,,
"[265847626, 991725011]","['1', '2']",Rue des Époux Labrousse,secondary,50,,True,False,169.82000000000002,"LINESTRING (3.1282623 50.6228722, 3.1281364 50.6229167, 3.1280829 50.6229292, 3.1279801 50.6229501, 3.127737 50.6229992, 3.1276523 50.6230161, 3.1272641 50.6230938, 3.126998 50.6231493, 3.1269067 50.6231683, 3.1267919 50.6231952, 3.1266188 50.6232338, 3.1264197 50.6232798, 3.1261564 50.6233405, 3.1259939 50.6233784)",M 941,,,
"[27506476, 27506477, 690413030]",2,"['Rue des Fusillés', 'Rue des Victoires']",tertiary,30,,False,True,189.42800000000003,"LINESTRING (3.133368 50.6216603, 3.1334838 50.6216239, 3.1336154 50.6215864, 3.1343012 50.6214211, 3.1348907 50.6212855, 3.1349615 50.62127, 3.1350569 50.6212476, 3.1351584 50.6212209, 3.1352419 50.6211973, 3.1353401 50.6211635, 3.1354706 50.6211153, 3.135822 50.6209809)",,yes,,
155075738,2,Rue du Vivat,residential,,,False,False,25.125999999999998,"LINESTRING (3.133368 50.6216603, 3.1334071 50.6217127, 3.1334798 50.6218045, 3.1335017 50.6218362, 3.1335141 50.6218658)",,,,
721799021,2,Rue des Victoires,tertiary,30,,False,False,120.85599999999998,"LINESTRING (3.133368 50.6216603, 3.1332159 50.6217082, 3.1330905 50.6217385, 3.1329576 50.6217641, 3.1327581 50.6217996, 3.1325107 50.6218392, 3.1324832 50.6218433, 3.132348 50.6218635, 3.1322119 50.6218793, 3.132145 50.6218848, 3.1320711 50.6218908, 3.1319663 50.6218968, 3.1318066 50.6219054, 3.1317546 50.6219114, 3.1317132 50.6219162)",,,,
1205231729,2,Rue du Vercors,residential,30,,False,True,21.205,"LINESTRING (3.133368 50.6216603, 3.1333315 50.6216055, 3.1332538 50.6214839)",,,,
