osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction,tunnel
245206652,2,D 775,Quai Surcouf,primary,50,False,False,15.142,,"LINESTRING (-2.0876316 47.6486195, -2.0875344 47.6487389)",,
"[514761192, 61486044, 61486037, 61486038]",2,,Rue de l'Union,residential,50,False,False,64.44800000000001,movable,"LINESTRING (-2.0876316 47.6486195, -2.0875835 47.6486033, -2.0875659 47.6485974, -2.0875029 47.6485762, -2.0871885 47.6484739, -2.0870643 47.6484347, -2.0869996 47.648415, -2.0868545 47.6483709)",,
61490178,2,D 775,Quai Surcouf,primary,50,False,True,154.435,,"LINESTRING (-2.0876316 47.6486195, -2.0877556 47.6484396, -2.0880239 47.6480479, -2.0880678 47.6479838, -2.088221 47.6477562, -2.0884025 47.6474865, -2.0884898 47.6473567)",,
176677533,2,,Quai de Brest,tertiary,30,False,False,36.429,,"LINESTRING (-2.0870286 47.6490266, -2.0871513 47.6490782, -2.0874379 47.6492035)",,
"[245206652, 177353244, 44172284]",2,D 775,"['Pont des Douves', 'Quai Surcouf']",primary,"['30', '50']",False,True,50.054,yes,"LINESTRING (-2.0870286 47.6490266, -2.0870779 47.6490019, -2.0871122 47.6489845, -2.0874582 47.6488143, -2.0875344 47.6487389)",,
852038950,,D 164,Rue des Douves,secondary,30,False,False,23.419999999999998,,"LINESTRING (-2.0870286 47.6490266, -2.0868233 47.6490809, -2.0867518 47.64912)",,
1122582476,3,D 164,Quai de Brest,primary,30,False,True,29.162,,"LINESTRING (-2.0870286 47.6490266, -2.0868186 47.64894, -2.0866873 47.6489017)",,
852038950,,D 164,Rue des Douves,secondary,30,False,True,23.419999999999998,,"LINESTRING (-2.0867518 47.64912, -2.0868233 47.6490809, -2.0870286 47.6490266)",,
"[1122582475, 44820460]",,D 164,Rue des Douves,secondary,30,False,False,67.41799999999999,,"LINESTRING (-2.0867518 47.64912, -2.0866879 47.649164, -2.0866436 47.649213, -2.0864479 47.6496822)",,
61486040,,,Rue du Capitaine Martin,residential,30,False,False,97.90299999999999,,"LINESTRING (-2.0872488 47.6500423, -2.0872387 47.6500853, -2.0872039 47.6502099, -2.0871629 47.650355, -2.0871247 47.6505153, -2.0870901 47.6506493, -2.087044 47.6508259, -2.0870215 47.6508681, -2.0870111 47.6509074)",,
61486040,,,Rue du Capitaine Martin,residential,30,False,True,94.67399999999999,,"LINESTRING (-2.0872488 47.6500423, -2.0872723 47.6499457, -2.0873037 47.6497765, -2.0873266 47.6496257, -2.0873535 47.6494783, -2.0873786 47.6493405, -2.0873896 47.6492802, -2.0874379 47.6492035)",,
"[61486034, 61486052, 611276206]",3,D 775,"['Avenue Jean Burel', 'Rue de Saint-Nicolas']",primary,"['30', '50']",False,True,80.86000000000001,yes,"LINESTRING (-2.0844244 47.6483657, -2.0843518 47.648346, -2.0842736 47.6483235, -2.0836341 47.648122, -2.0836129 47.6481144, -2.0834486 47.6480555)",,
142786670,,,Quai Duguay-Trouin,residential,30,False,True,23.632,,"LINESTRING (-2.0844244 47.6483657, -2.0845068 47.6482922, -2.0845891 47.6481853)",,
188254146,3,D 164,Rue de Saint-Nicolas,primary,30,False,False,40.514,,"LINESTRING (-2.0844244 47.6483657, -2.0845382 47.6484049, -2.0848001 47.6484989, -2.0848176 47.6485046, -2.0848397 47.6485097, -2.0849118 47.6485193)",,
"[61486041, 919859202]",2,D 67,Quai Saint-Jacques,primary,50,False,False,147.09199999999998,,"LINESTRING (-2.0844244 47.6483657, -2.0842138 47.648572, -2.0840289 47.6487352, -2.083317 47.6493511, -2.0832368 47.6494187)",,
"[61486043, 61486046, 61486051]",,,"['Grande Rue', 'Pont de la Ville']",residential,50,False,True,71.68599999999999,yes,"LINESTRING (-2.0849118 47.6485193, -2.0849314 47.6484464, -2.0849683 47.6483541, -2.0851663 47.6480734, -2.0852495 47.6479597, -2.0852741 47.6479261)",,
61490190,2,D 164,Rue Grand'Cour,primary,30,False,False,58.699999999999996,,"LINESTRING (-2.0849118 47.6485193, -2.0850239 47.6485332, -2.0851781 47.6485519, -2.0853314 47.6485772, -2.0854709 47.6486034, -2.0856709 47.6486472)",,
188254146,3,D 164,Rue de Saint-Nicolas,primary,30,False,True,40.513999999999996,,"LINESTRING (-2.0849118 47.6485193, -2.0848397 47.6485097, -2.0848176 47.6485046, -2.0848001 47.6484989, -2.0845382 47.6484049, -2.0844244 47.6483657)",,
44819596,,D 65,Rue Joseph Desmars,residential,30,False,True,79.12100000000001,,"LINESTRING (-2.0815604 47.650388, -2.0815929 47.6504201, -2.0817087 47.6505061, -2.0819179 47.650623, -2.0823686 47.6508405)",,
"[155297224, 61486041]",2,D 67,Quai Saint-Jacques,primary,50,False,True,94.965,,"LINESTRING (-2.0815604 47.650388, -2.0819407 47.6502391, -2.0822214 47.6501241, -2.0824917 47.6500124, -2.0826359 47.6499373)",,
