osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,access,geometry,bridge,width,tunnel,junction
"[227755125, 691273566, 774848703]",True,2,Boulevard Henri Sellier,primary,50,False,44.016999999999996,D 985,yes,"LINESTRING (2.221411 48.8672085, 2.2215744 48.8674118, 2.2215912 48.8674305, 2.2217025 48.8675547)",,,,
"[773845106, 227755123, 125910685, 126813082]",True,2,Boulevard Henri Sellier,primary,50,False,48.574999999999996,,,"LINESTRING (2.2231003 48.8682564, 2.2232269 48.8682918, 2.2234183 48.8683142, 2.2234817 48.8683096, 2.2235938 48.8683044, 2.2237495 48.8682982)",,,,
"[4411090, 774848717]",True,3,Boulevard Henri Sellier,primary,50,False,73.256,,,"LINESTRING (2.2285757 48.8671119, 2.2282787 48.8672291, 2.2278415 48.8673525, 2.2277978 48.8673672, 2.2276749 48.8673958)",yes,,,
83724108,True,3,Boulevard Henri Sellier,primary,50,False,66.3,,,"LINESTRING (2.2271912 48.8675083, 2.2269056 48.8675363, 2.2266648 48.8675874, 2.2264833 48.8676464, 2.2264483 48.8676578, 2.2264086 48.8676707, 2.2263879 48.8676778, 2.2263387 48.8676947)",,,,
"[577720511, 4409703]",True,1,Rue des Bourets,residential,30,False,90.625,,,"LINESTRING (2.2263387 48.8676947, 2.2263827 48.8677558, 2.2264246 48.8678198, 2.2264505 48.867853, 2.2264866 48.8678962, 2.2266909 48.8681809, 2.2267498 48.8682427, 2.2269312 48.8683278, 2.2269879 48.8683706)",,,,
774848716,True,3,Boulevard Henri Sellier,primary,50,False,35.588,,,"LINESTRING (2.2263387 48.8676947, 2.2261215 48.8677661, 2.2260567 48.8677875, 2.2260252 48.8677979, 2.2260061 48.8678043, 2.2259038 48.8678382)",,,,
83724101,True,2,Avenue du Général Charles de Gaulle,primary,50,False,13.811,D 3,,"LINESTRING (2.2239423 48.8684431, 2.2239685 48.8685661)",,,,
83724125,True,2,Boulevard Henri Sellier,primary,50,False,16.37,,,"LINESTRING (2.2239423 48.8684431, 2.2237199 48.8684596)",,,,
4409647,True,2,,primary_link,50,False,18.886,,,"LINESTRING (2.2237199 48.8684596, 2.223708 48.8683978, 2.2237102 48.8683581, 2.2237148 48.8683278, 2.2237495 48.8682982)",,,,
"[125910684, 126812613]",True,2,Boulevard Henri Sellier,primary,50,False,72.97000000000001,,,"LINESTRING (2.2237199 48.8684596, 2.2235279 48.8684623, 2.223346 48.8684394, 2.2232512 48.8684138, 2.2231139 48.8683713, 2.2230144 48.8683378, 2.2229624 48.8683214, 2.2229186 48.8683061, 2.2229144 48.868305, 2.2227903 48.8682588)",,,,
4409652,False,1,Rue Jules Ferry,residential,,True,43.114999999999995,,,"LINESTRING (2.2252129 48.8698582, 2.2250708 48.8695399, 2.2250548 48.8694849)",,,,
4409666,False,,Rue Desbassayns de Richemont,residential,30,False,26.547,,,"LINESTRING (2.2252129 48.8698582, 2.2252946 48.8698419, 2.225428 48.8698165, 2.2255614 48.8697915)",,,,
125912447,False,,Rue Desbassayns de Richemont,residential,30,True,69.56200000000001,,,"LINESTRING (2.2252129 48.8698582, 2.2247562 48.8699388, 2.2243793 48.869979, 2.2243552 48.8699818, 2.2242844 48.8699901)",,,,
4409652,False,1,Rue Jules Ferry,residential,,False,43.114999999999995,,,"LINESTRING (2.2250548 48.8694849, 2.2250708 48.8695399, 2.2252129 48.8698582)",,,,
37849148,False,,Rue Fizeau,residential,30,False,87.12599999999999,,,"LINESTRING (2.2260802 48.8704967, 2.22605 48.8704507, 2.2260419 48.8704385, 2.2256453 48.8698969, 2.2255614 48.8697915)",,,,
672544051,True,,Rue du Mont Valérien,residential,30,False,86.93499999999999,,,"LINESTRING (2.2260802 48.8704967, 2.2270203 48.8701782, 2.2270511 48.8701664, 2.2271358 48.8701374)",,,,
37691329,False,2,Avenue Charles de Gaulle,residential,50,False,15.15,,,"LINESTRING (2.2247115 48.8709753, 2.2245916 48.8708642)",,,,
506219664,True,1,Avenue Franklin Roosevelt,residential,50,False,28.69,D 3,,"LINESTRING (2.2247115 48.8709753, 2.2243602 48.8710901)",,,,
4409664,True,,Rue du Mont Valérien,residential,30,False,113.38199999999999,,,"LINESTRING (2.2247115 48.8709753, 2.2248248 48.8709377, 2.2250735 48.8708468, 2.2251909 48.8708059, 2.2252249 48.8707941, 2.2258085 48.870594, 2.225991 48.8705287, 2.2260153 48.87052, 2.2260802 48.8704967)",,,,
"[1104694423, 775127438, 775127439]",False,3,Rue Carnot,residential,30,True,51.672,,,"LINESTRING (2.2247115 48.8709753, 2.2247713 48.871054, 2.2247904 48.8710791, 2.2249448 48.8712744, 2.225 48.8713432, 2.2250359 48.8713881)",,,,
431543474,False,4,Avenue du Général Charles de Gaulle,primary,50,True,6.527,,,"LINESTRING (2.2245469 48.8708134, 2.2245916 48.8708642)",,,,
"[4409649, 774848709, 774848710]",True,"['2', '3']",Avenue du Général Charles de Gaulle,primary,50,False,101.22699999999999,D 3,,"LINESTRING (2.2245469 48.8708134, 2.2244991 48.8707219, 2.2243451 48.8704376, 2.2242037 48.8701766, 2.2241712 48.8700769, 2.2241339 48.8699628, 2.2241288 48.8699471)",,,,
227753686,True,3,Avenue Franklin Roosevelt,primary,50,False,38.344,D 3,,"LINESTRING (2.2242074 48.8710761, 2.2244334 48.870905, 2.2244733 48.8708734, 2.2245469 48.8708134)",,,,
4409670,True,2,Avenue Franklin Roosevelt,residential,50,False,77.071,,,"LINESTRING (2.2223886 48.8716309, 2.2222422 48.8717475, 2.2221126 48.8718419, 2.2218018 48.8719581, 2.2217083 48.8719632, 2.221667 48.8719537, 2.2216256 48.8719442, 2.2215934 48.8719229, 2.2215774 48.8718946)",,,,
125912450,True,2,Avenue Franklin Roosevelt,primary,50,False,66.374,D 3,,"LINESTRING (2.2223886 48.8716309, 2.2220947 48.8717182, 2.2217872 48.8718042, 2.2216818 48.871848, 2.2216361 48.871867, 2.2215774 48.8718946)",,,,
