osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,maxspeed,width,tunnel,access
13868012,False,2,M 88,Cours Gambetta,secondary,False,15.725,"LINESTRING (4.6221176 45.5300734, 4.6222457 45.5301827)",,50,,,
13868012,False,2,M 88,Cours Gambetta,secondary,True,11.662,"LINESTRING (4.6221176 45.5300734, 4.6220213 45.5299931)",,50,,,
154519206,False,,,Rue du Bief de la Pomme,residential,True,14.751999999999999,"LINESTRING (4.6221176 45.5300734, 4.6220484 45.5301383, 4.6220043 45.5301797)",,,,,
13868013,True,,M 88,,secondary,False,4.821,"LINESTRING (4.6228537 45.5305769, 4.6229155 45.5305792)",roundabout,,,,
13868013,True,,M 88,,secondary,False,17.441000000000003,"LINESTRING (4.6230637 45.5306498, 4.6230928 45.5306979, 4.6230981 45.53075, 4.6230788 45.5308006)",roundabout,,,,
13868013,True,,M 88,,secondary,False,21.832,"LINESTRING (4.6229589 45.5308794, 4.6229132 45.530891, 4.6228368 45.5308915, 4.6227634 45.5308738, 4.6227028 45.5308398)",roundabout,,,,
13868013,True,,M 88,,secondary,False,16.063,"LINESTRING (4.6226508 45.5307601, 4.6226473 45.53075, 4.6226502 45.5307054, 4.6226708 45.5306631, 4.6227075 45.5306265)",roundabout,,,,
13868013,True,,M 88,,secondary,False,12.911,"LINESTRING (4.6227075 45.5306265, 4.6227499 45.5306017, 4.6227996 45.5305848, 4.6228537 45.5305769)",roundabout,,,,
148567848,True,1,M 88,Cours Gambetta,secondary,False,61.557,"LINESTRING (4.6227075 45.5306265, 4.6226611 45.5305421, 4.6224891 45.5303996, 4.6223383 45.5302803, 4.6222457 45.5301827)",,50,,,
168959325,False,2,M 30,,tertiary,True,118.72299999999998,"LINESTRING (4.6241167 45.5298653, 4.6241465 45.529759, 4.6240484 45.5291382, 4.6240213 45.5289413, 4.6240085 45.528864, 4.6240117 45.5288049)",,,,,
1066880527,True,,M 30,Rue Antoine Marrel,tertiary,False,9.308,"LINESTRING (4.6241167 45.5298653, 4.6241381 45.5298727, 4.624155 45.5298845, 4.6241659 45.5298994, 4.6241695 45.529916, 4.6241655 45.5299325)",roundabout,50,,,
154719082,False,,,Rue Anatole France,unclassified,True,5.996,"LINESTRING (4.6166272 45.5266298, 4.6165517 45.5266193)",,,,,
234753765,False,,,Rue Benoît Bouche,unclassified,True,32.627,"LINESTRING (4.6166272 45.5266298, 4.6167568 45.5266748, 4.6170024 45.5267602)",,,,,
154860353,False,,,Rue Jules Toussaint,unclassified,False,150.327,"LINESTRING (4.6170024 45.5267602, 4.6170088 45.5266595, 4.6169779 45.5265275, 4.616876 45.526007, 4.6168921 45.5259262, 4.6169457 45.525868, 4.6170182 45.5258229, 4.6170986 45.525806, 4.6172059 45.525806, 4.6172971 45.5258341, 4.6174787 45.525946)",,,,,
234753765,False,,,Rue Benoît Bouche,unclassified,False,32.627,"LINESTRING (4.6170024 45.5267602, 4.6167568 45.5266748, 4.6166272 45.5266298)",,,,,
234753765,False,,,Rue Benoît Bouche,unclassified,True,67.956,"LINESTRING (4.6170024 45.5267602, 4.6170522 45.5267939, 4.6172114 45.5270101, 4.6173894 45.5273041)",,,,,
234753765,False,,,Rue Benoît Bouche,unclassified,False,67.956,"LINESTRING (4.6173894 45.5273041, 4.6172114 45.5270101, 4.6170522 45.5267939, 4.6170024 45.5267602)",,,,,
234753767,False,,,Rue Léon Marrel,residential,False,21.572,"LINESTRING (4.6173894 45.5273041, 4.617503 45.5272822, 4.617619 45.5272604, 4.6176565 45.5272529)",,,,,
234753767,False,,,Rue Léon Marrel,residential,True,32.668,"LINESTRING (4.6173894 45.5273041, 4.6172574 45.5273417, 4.6171226 45.5273795, 4.616993 45.5273958)",,,,,
154719085,True,,,Rue Waldeck Rousseau,residential,False,6.415,"LINESTRING (4.616993 45.5273958, 4.6169107 45.5273979)",,,,,
30605917,False,,,Rue Victor Hugo,residential,True,88.53,"LINESTRING (4.616993 45.5273958, 4.6169994 45.527541, 4.6169891 45.5277229, 4.6169684 45.5278394, 4.616943 45.5279633, 4.6169229 45.5281173, 4.6169091 45.5281883)",,,,,
