osmid,name,highway,oneway,reversed,length,geometry,service,bridge,width
1022069942,Rue de l'Itany,residential,False,False,7.516,"LINESTRING (-54.0295013 3.6399638, -54.0294351 3.6399781)",,,
1022069942,Rue de l'Itany,residential,False,True,7.475,"LINESTRING (-54.0295013 3.6399638, -54.0295686 3.639961)",,,
95947832,,residential,False,True,69.77799999999999,"LINESTRING (-54.0295013 3.6399638, -54.029456 3.6393932, -54.029454 3.6393381)",,,
95947867,Rue Simon Sacapou,residential,False,False,84.749,"LINESTRING (-54.032538 3.6427158, -54.032516 3.6423497, -54.0324724 3.6419567)",,,
95947867,Rue Simon Sacapou,residential,False,True,173.522,"LINESTRING (-54.032538 3.6427158, -54.0326431 3.6437537, -54.0326965 3.6439884, -54.0326852 3.6441643, -54.0326725 3.6442639)",,,
95947869,Rue Amidoa Soutou,residential,False,True,135.218,"LINESTRING (-54.032538 3.6427158, -54.0326283 3.6426587, -54.0331506 3.6426828, -54.0332477 3.6426546, -54.0334267 3.6425561, -54.0336587 3.642394)",,,
95947912,Rue Malidor,residential,False,True,102.574,"LINESTRING (-54.0316024 3.6422043, -54.0317078 3.6421175, -54.0317825 3.6420763, -54.0319539 3.6420495, -54.0320589 3.6420466, -54.0321841 3.6420288, -54.0323302 3.6419968, -54.0324724 3.6419567)",,,
208398137,Avenue Léonard Domerger,residential,False,False,103.816,"LINESTRING (-54.0316024 3.6422043, -54.0314926 3.6420619, -54.0313734 3.6419211, -54.0311938 3.6417554, -54.0311029 3.6416754, -54.0310152 3.6416219, -54.0309816 3.6415989, -54.0309309 3.6415642)",,,
208398137,Avenue Léonard Domerger,residential,False,True,59.596,"LINESTRING (-54.0316024 3.6422043, -54.0316432 3.6423557, -54.031673 3.6424261, -54.0316957 3.6425357, -54.0317071 3.6427262)",,,
95947842,Rue Angélique,residential,False,True,88.783,"LINESTRING (-54.0295993 3.642842, -54.0296439 3.6431845, -54.0297197 3.6436312)",,,
95947906,Avenue des Émerillons,residential,False,False,62.097,"LINESTRING (-54.0295993 3.642842, -54.0292832 3.6428664, -54.0290455 3.6429145)",,,
95947906,Avenue des Émerillons,residential,False,True,234.347,"LINESTRING (-54.0295993 3.642842, -54.0300075 3.6428239, -54.0304925 3.642801, -54.0310986 3.6427849, -54.0317071 3.6427262)",,,
95947836,Rue du Maripa,residential,False,False,142.336,"LINESTRING (-54.0291978 3.6412789, -54.0290273 3.6400102)",,,
208398137,Avenue Léonard Domerger,residential,False,False,31.910999999999998,"LINESTRING (-54.0291978 3.6412789, -54.0290653 3.6412935, -54.0289134 3.6413203)",,,
208398137,Avenue Léonard Domerger,residential,False,True,44.203,"LINESTRING (-54.0291978 3.6412789, -54.0292534 3.6412604, -54.0294152 3.6412417, -54.0295915 3.6412279)",,,
