osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,junction
48048682,Boulevard du Lieutenant-Colonel Tourtet,residential,50,False,False,25.916,,"LINESTRING (-54.0287558 5.5008381, -54.0288897 5.5006469)",,
310702613,,primary,50,False,True,48.086,N 1,"LINESTRING (-54.0287558 5.5008381, -54.0284135 5.5005718)",,
48048682,Boulevard du Lieutenant-Colonel Tourtet,residential,50,False,True,70.634,,"LINESTRING (-54.0287558 5.5008381, -54.0284145 5.5013032, -54.0283816 5.5013526)",,
310702613,,primary,50,False,False,20.209,N 1,"LINESTRING (-54.0287558 5.5008381, -54.0288143 5.5008787, -54.0289054 5.5009423)",,
48048682,Boulevard du Lieutenant-Colonel Tourtet,residential,50,False,False,77.799,,"LINESTRING (-54.032845 5.4951983, -54.0332661 5.4946381)",,
48048682,Boulevard du Lieutenant-Colonel Tourtet,residential,50,False,True,67.235,,"LINESTRING (-54.032845 5.4951983, -54.0324748 5.4956777)",,
97546700,Rue des Frangipaniers,residential,,False,True,25.419,,"LINESTRING (-54.032845 5.4951983, -54.033032 5.495331)",,
97546700,Rue des Frangipaniers,residential,,False,False,117.451,,"LINESTRING (-54.032845 5.4951983, -54.0322846 5.4947982, -54.0319825 5.494583)",,
28937857,Rue Montravel,residential,50,False,False,119.465,,"LINESTRING (-54.0288906 5.5025004, -54.0280256 5.5018578)",,
28937857,Rue Montravel,residential,50,False,True,120.359,,"LINESTRING (-54.0288906 5.5025004, -54.0297658 5.5031428)",,
328660622,Avenue Félix Éboué,residential,,False,False,69.22,,"LINESTRING (-54.0288906 5.5025004, -54.0292596 5.5019978)",,
437386932,Avenue Félix Éboué,residential,50,False,True,72.066,,"LINESTRING (-54.0288906 5.5025004, -54.0284961 5.503016)",,
437386932,Avenue Félix Éboué,residential,50,False,False,72.066,,"LINESTRING (-54.0284961 5.503016, -54.0288906 5.5025004)",,
686994917,Rue du Lieutenant-Colonel Chandon,residential,50,False,False,7.324,,"LINESTRING (-54.0284961 5.503016, -54.0284427 5.5029771)",,
686994917,Rue du Lieutenant-Colonel Chandon,residential,50,False,True,10.334,,"LINESTRING (-54.0284961 5.503016, -54.0285718 5.5030704)",,
97546701,Avenue de la Marne,primary,50,False,True,119.307,N 1,"LINESTRING (-54.0347691 5.4943898, -54.0341639 5.4952276, -54.0341402 5.4952612)",,
32786913,Rue Auguste Boudinot,residential,,False,True,121.151,,"LINESTRING (-54.0342809 5.4969416, -54.0334134 5.4962772)",,
95828777,Avenue du Général de Gaulle,residential,,False,False,71.015,,"LINESTRING (-54.0342809 5.4969416, -54.0339192 5.4974691)",,
"[95828777, 97544639]","['Avenue du Général de Gaulle', 'Rue des Orchidées']",residential,,False,"[False, True]",179.723,,"LINESTRING (-54.0342809 5.4969416, -54.0343937 5.4967616, -54.0344635 5.4966303, -54.034503 5.4965475, -54.0345343 5.4964773, -54.0345431 5.4964408, -54.0345462 5.4964079, -54.0345444 5.4963817, -54.0345406 5.4963593, -54.0345362 5.4963422, -54.034532 5.4963314, -54.0345237 5.4963137, -54.0345096 5.4962972, -54.0337646 5.4957923)",,
32786913,Rue Auguste Boudinot,residential,,False,False,121.151,,"LINESTRING (-54.0334134 5.4962772, -54.0342809 5.4969416)",,
97546699,Rue Hector Rivierez,primary,50,False,False,21.771,N 1,"LINESTRING (-54.0334134 5.4962772, -54.0335262 5.4961168)",,
97546699,Rue Hector Rivierez,primary,50,False,True,75.755,N 1,"LINESTRING (-54.0334134 5.4962772, -54.0330173 5.4968328)",,
