osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,access,tunnel
349999477,False,2,D 186,Rue des États Généraux,primary,50,False,109.799,"LINESTRING (2.1332971 48.7995142, 2.1332467 48.799563, 2.1332238 48.7995843, 2.1324313 48.8003203)",,,
551069300,False,,,Avenue de Paris,primary,50,True,15.242,"LINESTRING (2.1308824 48.8020559, 2.1308129 48.8019267)",,,
9923183,False,3,,Place André Mignot,residential,50,False,34.07,"LINESTRING (2.1308824 48.8020559, 2.131004 48.8022494, 2.1310178 48.8022713, 2.1310603 48.802339)",,,
158078454,True,3,D 10,Avenue de Paris,primary,50,False,83.737,"LINESTRING (2.1308824 48.8020559, 2.1303471 48.8022004, 2.1303233 48.8022068, 2.1302738 48.8022201, 2.1298267 48.802345)",,,
"[895842322, 9923183]",False,"['2', '3']",,Place André Mignot,residential,50,True,141.649,"LINESTRING (2.1318001 48.803516, 2.1317398 48.8034201, 2.1312968 48.8027153, 2.1310603 48.802339)",,,
19786013,False,4,D 185,Avenue de Saint-Cloud,primary,50,True,32.943,"LINESTRING (2.1324944 48.8050401, 2.1320472 48.8050082)",,,
"[360408665, 360408535]",True,,,Rue Georges Clemenceau,residential,30,False,31.316,"LINESTRING (2.1324944 48.8050401, 2.1325107 48.8049515, 2.1325299 48.8048593, 2.1325515 48.804761)",,,
696354720,True,2,,Avenue de l'Europe,primary,50,False,9.628,"LINESTRING (2.1311571 48.8049025, 2.1311837 48.8049873)",,,
1071665281,True,2,D 185,Avenue de Saint-Cloud,primary,50,False,66.481,"LINESTRING (2.1311571 48.8049025, 2.1315351 48.8049244, 2.1315611 48.8049262, 2.131609 48.8049304, 2.1320472 48.8050082)",,,
"[19786721, 886940535]",True,1,,Avenue de Saint-Cloud,residential,30,False,113.576,"LINESTRING (2.1325515 48.804761, 2.132507 48.8047582, 2.1324248 48.804753, 2.1316373 48.8047031, 2.1312671 48.8046795, 2.1312291 48.8046773, 2.1311776 48.8046741, 2.1310079 48.8046627)",,,
133878040,True,,,Rue Georges Clemenceau,residential,30,False,149.209,"LINESTRING (2.1325515 48.804761, 2.1325427 48.8047073, 2.1325298 48.8046868, 2.1321962 48.8041568, 2.1320791 48.8039733, 2.1318291 48.8035683, 2.1318001 48.803516)",3.5,,
349999477,False,2,D 186,Rue des États Généraux,primary,50,True,71.772,"LINESTRING (2.1317136 48.8013372, 2.1321034 48.800745)",,,
"[713936773, 53215246]",False,,,Impasse des Gendarmes,living_street,20,False,176.1,"LINESTRING (2.1317136 48.8013372, 2.1316145 48.8013252, 2.1315077 48.8012776, 2.1310897 48.8006326, 2.1313626 48.8005646, 2.1314077 48.8005057, 2.1312097 48.8000511)",,destination,
"[534877557, 129225983]",True,,D 186,Rue des États Généraux,primary,50,False,38.067,"LINESTRING (2.1317136 48.8013372, 2.1317191 48.8013932, 2.1317135 48.8014763, 2.1317126 48.8014898, 2.1317118 48.8015194, 2.1318049 48.8016671)",,,
19786014,False,3,,Avenue de Nepveu Nord,primary,50,False,140.832,"LINESTRING (2.1243471 48.804444, 2.1244474 48.8044476, 2.1245713 48.8044554, 2.1253011 48.8045174, 2.1262571 48.8045893)",,,
550941901,True,2,,Avenue de Nepveu Nord,primary,50,False,35.733000000000004,"LINESTRING (2.1240331 48.8046728, 2.1240474 48.8046597, 2.124089 48.8046117, 2.1241391 48.8045529, 2.1241814 48.804511, 2.1242292 48.8044767, 2.1242761 48.8044554, 2.1243471 48.804444)",,,
684809689,False,4,D 186,Avenue Rockfeller,primary,50,False,15.582,"LINESTRING (2.1263714 48.8031166, 2.1264527 48.8032461)",,,
"[434722816, 19786008, 1025279938]",False,4,,Avenue Rockfeller,secondary,50,True,33.153,"LINESTRING (2.1263714 48.8031166, 2.1263267 48.8030465, 2.1262986 48.8029993, 2.1262624 48.8029457, 2.1262374 48.8029083, 2.1261934 48.8028425)",,,
"[58883040, 1136168313, 534877547, 545708342]",True,2,D 186,Avenue de Paris,primary,50,False,118.603,"LINESTRING (2.1263714 48.8031166, 2.1265932 48.8030556, 2.1266477 48.8030426, 2.1270681 48.8029778, 2.1276588 48.8028136, 2.1278891 48.8027527)",14,,
432866813,True,2,D 10,Avenue de Paris,primary,50,False,8.664,"LINESTRING (2.1296351 48.8022446, 2.1297433 48.8022131)",,,
